Step,Value
20480,190.0
40960,300.0
60416,160.0
80896,320.0
100352,320.0
120832,250.0
140288,170.0
160768,250.0
180224,210.0
200704,160.0
220160,210.0
240640,170.0
260096,240.0
280576,190.0
300032,20.0
320512,80.0
340992,550.0
360448,40.0
380928,270.0
400384,110.0
420864,190.0
440320,120.0
460800,270.0
480256,190.0
500736,210.0
520192,290.0
540672,530.0
560128,20.0
580608,390.0
600064,170.0
620544,120.0
640000,210.0
660480,90.0
680960,130.0
700416,140.0
720896,230.0
740352,180.0
760832,360.0
780288,390.0
800768,490.0
820224,190.0
840704,210.0
860160,210.0
880640,130.0
900096,250.0
920576,240.0
940032,150.0
960512,120.0
980992,210.0
1000448,240.0
1020928,380.0
1040384,230.0
1060864,330.0
1080320,290.0
1100800,320.0
1120256,230.0
1140736,390.0
1160192,260.0
1180672,220.0
1200128,320.0
1220608,190.0
1240064,160.0
1260544,210.0
1280000,430.0
1300480,170.0
1320960,220.0
1340416,180.0
1360896,180.0
1380352,110.0
1400832,210.0
1420288,340.0
1440768,140.0
1460224,280.0
1480704,270.0
1500160,260.0
1520640,300.0
1540096,120.0
1560576,220.0
1580032,380.0
1600512,430.0
1620992,230.0
1640448,330.0
1660928,260.0
1680384,120.0
1700864,480.0
1720320,60.0
1740800,210.0
1760256,200.0
1780736,150.0
1800192,160.0
1820672,150.0
1840128,180.0
1860608,360.0
1880064,120.0
1900544,240.0
1920000,240.0
1940480,210.0
1960960,190.0
1980416,220.0
2000896,360.0
2020352,200.0
2040832,410.0
2060288,310.0
2080768,290.0
2100224,180.0
2120704,240.0
2140160,260.0
2160640,370.0
2180096,310.0
2200576,240.0
2220032,390.0
2240512,360.0
2260992,310.0
2280448,380.0
2300928,370.0
2320384,390.0
2340864,250.0
2360320,440.0
2380800,300.0
2400256,280.0
2420736,320.0
2440192,310.0
2460672,190.0
2480128,350.0
2500608,410.0
2520064,160.0
2540544,370.0
2560000,380.0
2580480,120.0
2600960,140.0
2620416,400.0
2640896,450.0
2660352,380.0
2680832,330.0
2700288,360.0
2720768,460.0
2740224,640.0
2760704,160.0
2780160,380.0
2800640,270.0
2820096,420.0
2840576,200.0
2860032,180.0
2880512,230.0
2900992,190.0
2920448,440.0
2940928,260.0
2960384,170.0
2980864,210.0
3000320,230.0
3020800,370.0
3040256,320.0
3060736,170.0
3080192,380.0
3100672,260.0
3120128,420.0
3140608,300.0
3160064,400.0
3180544,490.0
3200000,400.0
3220480,530.0
3240960,540.0
3260416,450.0
3280896,380.0
3300352,570.0
3320832,160.0
3340288,310.0
3360768,220.0
3380224,380.0
3400704,400.0
3420160,460.0
3440640,520.0
3460096,140.0
3480576,480.0
3500032,370.0
3520512,350.0
3540992,410.0
3560448,450.0
3580928,390.0
3600384,440.0
3620864,240.0
3640320,390.0
3660800,340.0
3680256,80.0
3700736,360.0
3720192,410.0
3740672,460.0
3760128,450.0
3780608,190.0
3800064,430.0
3820544,340.0
3840000,550.0
3860480,370.0
3880960,520.0
3900416,500.0
3920896,210.0
3940352,140.0
3960832,380.0
3980288,420.0
4000768,220.0
4020224,620.0
4040704,470.0
4060160,260.0
4080640,150.0
4100096,270.0
4120576,390.0
4140032,570.0
4160512,360.0
4180992,140.0
4200448,370.0
4220928,370.0
4240384,290.0
4260864,470.0
4280320,570.0
4300800,350.0
4320256,310.0
4340736,550.0
4360192,310.0
4380672,400.0
4400128,300.0
4420608,370.0
4440064,420.0
4460544,370.0
4480000,400.0
4500480,450.0
4520960,550.0
4540416,300.0
4560896,320.0
4580352,550.0
4600832,260.0
4620288,320.0
4640768,350.0
4660224,410.0
4680704,380.0
4700160,510.0
4720640,140.0
4740096,380.0
4760576,280.0
4780032,230.0
4800512,350.0
4820992,400.0
4840448,380.0
4860928,510.0
4880384,710.0
4900864,490.0
4920320,330.0
4940800,190.0
4960256,250.0
4980736,360.0
5000192,370.0
