Step,Value
20480,-11.199999809265137
40960,-11.399999618530273
60416,-10.800000190734863
80896,-11.800000190734863
100352,-13.800000190734863
120832,-7.599999904632568
140288,-12.0
160768,-8.800000190734863
180224,-7.800000190734863
200704,-8.0
220160,-5.800000190734863
240640,-6.199999809265137
260096,-3.4000000953674316
280576,-4.800000190734863
300032,-6.199999809265137
320512,-6.0
340992,-9.199999809265137
360448,-7.0
380928,-4.800000190734863
400384,-3.799999952316284
420864,-5.199999809265137
440320,-4.599999904632568
460800,-4.400000095367432
480256,-5.400000095367432
500736,-5.800000190734863
520192,-7.599999904632568
540672,-3.799999952316284
560128,-6.599999904632568
580608,-6.800000190734863
600064,-8.0
620544,-4.800000190734863
640000,-4.800000190734863
660480,-5.599999904632568
680960,-5.800000190734863
700416,-5.800000190734863
720896,-4.199999809265137
740352,-3.200000047683716
760832,-7.199999809265137
780288,-7.199999809265137
800768,-3.200000047683716
820224,-8.199999809265137
840704,-4.400000095367432
860160,-4.0
880640,-6.400000095367432
900096,-6.0
920576,-7.0
940032,-6.800000190734863
960512,-4.599999904632568
980992,-6.400000095367432
1000448,-9.399999618530273
1020928,-7.800000190734863
1040384,-4.199999809265137
1060864,-7.800000190734863
1080320,-6.400000095367432
1100800,-3.5999999046325684
1120256,-3.200000047683716
1140736,-5.599999904632568
1160192,-7.800000190734863
1180672,-6.400000095367432
1200128,-9.600000381469727
1220608,-5.800000190734863
1240064,-5.800000190734863
1260544,-5.199999809265137
1280000,-6.800000190734863
1300480,-5.400000095367432
1320960,-5.400000095367432
1340416,-4.800000190734863
1360896,-3.0
1380352,-6.199999809265137
1400832,-6.0
1420288,-5.199999809265137
1440768,-6.800000190734863
1460224,-5.800000190734863
1480704,-4.0
1500160,-3.200000047683716
1520640,-5.599999904632568
1540096,-7.599999904632568
1560576,-7.0
1580032,-6.599999904632568
1600512,-7.0
1620992,-4.400000095367432
1640448,-7.800000190734863
1660928,-5.599999904632568
1680384,-6.599999904632568
1700864,-4.400000095367432
1720320,-5.0
1740800,-6.400000095367432
1760256,-3.4000000953674316
1780736,-7.800000190734863
1800192,-6.400000095367432
1820672,-5.599999904632568
1840128,-6.0
1860608,-5.199999809265137
1880064,-6.400000095367432
1900544,-6.199999809265137
1920000,-5.0
1940480,-5.800000190734863
1960960,-5.400000095367432
1980416,-4.400000095367432
2000896,-8.399999618530273
2020352,-4.599999904632568
2040832,-6.400000095367432
2060288,-6.400000095367432
2080768,-6.199999809265137
2100224,-7.199999809265137
2120704,-9.399999618530273
2140160,-5.800000190734863
2160640,-7.199999809265137
2180096,-3.799999952316284
2200576,-5.0
2220032,-4.0
2240512,-5.0
2260992,-5.199999809265137
2280448,-3.4000000953674316
2300928,-3.200000047683716
2320384,-5.199999809265137
2340864,-6.0
2360320,-3.4000000953674316
2380800,-5.400000095367432
2400256,-4.599999904632568
2420736,-3.799999952316284
2440192,-7.0
2460672,-5.0
2480128,-4.599999904632568
2500608,-4.0
2520064,-4.599999904632568
2540544,-4.599999904632568
2560000,-5.400000095367432
2580480,-5.400000095367432
2600960,-5.199999809265137
2620416,-5.199999809265137
2640896,-5.199999809265137
2660352,-3.5999999046325684
2680832,-4.599999904632568
