Step,Value
24576,80.0
40960,20.0
65536,30.0
81920,20.0
106496,20.0
122880,20.0
147456,30.0
163840,30.0
180224,0.0
204800,30.0
221184,60.0
245760,80.0
262144,50.0
286720,50.0
303104,100.0
319488,80.0
344064,210.0
360448,170.0
385024,140.0
401408,170.0
425984,190.0
442368,150.0
466944,180.0
483328,180.0
499712,170.0
524288,150.0
540672,160.0
565248,140.0
581632,200.0
606208,190.0
622592,250.0
638976,270.0
663552,210.0
679936,240.0
704512,260.0
720896,240.0
745472,310.0
761856,290.0
786432,270.0
802816,300.0
819200,280.0
843776,280.0
860160,320.0
884736,220.0
901120,300.0
925696,330.0
942080,310.0
958464,220.0
983040,290.0
999424,290.0
1024000,290.0
1040384,360.0
1064960,340.0
1081344,390.0
1105920,360.0
1122304,310.0
1138688,320.0
1163264,330.0
1179648,370.0
1204224,330.0
1220608,370.0
1245184,380.0
1261568,370.0
1277952,360.0
1302528,360.0
1318912,340.0
1343488,300.0
1359872,420.0
1384448,420.0
1400832,330.0
1425408,500.0
1441792,380.0
1458176,320.0
1482752,410.0
1499136,370.0
1523712,420.0
1540096,470.0
1564672,450.0
1581056,390.0
1597440,460.0
1622016,440.0
1638400,420.0
1662976,450.0
1679360,380.0
1703936,490.0
1720320,400.0
1744896,430.0
1761280,460.0
1777664,400.0
1802240,430.0
1818624,470.0
1843200,490.0
1859584,510.0
1884160,410.0
1900544,380.0
1916928,500.0
1941504,560.0
1957888,460.0
1982464,420.0
1998848,480.0
2023424,450.0
2039808,440.0
2064384,440.0
2080768,510.0
2097152,510.0
2121728,420.0
2138112,520.0
2162688,430.0
2179072,430.0
2203648,400.0
2220032,430.0
2236416,380.0
2260992,490.0
2277376,430.0
2301952,420.0
2318336,550.0
2342912,480.0
2359296,460.0
2383872,510.0
2400256,430.0
2416640,490.0
2441216,500.0
2457600,480.0
2482176,460.0
2498560,420.0
2523136,410.0
2539520,530.0
2555904,490.0
2580480,490.0
2596864,480.0
2621440,490.0
2637824,480.0
2662400,420.0
2678784,530.0
2703360,400.0
2719744,450.0
2736128,490.0
2760704,520.0
2777088,380.0
2801664,420.0
2818048,440.0
2842624,450.0
2859008,530.0
2875392,420.0
2899968,500.0
2916352,450.0
2940928,480.0
2957312,480.0
2981888,500.0
2998272,420.0
3022848,480.0
3039232,460.0
3055616,400.0
3080192,460.0
3096576,390.0
3121152,530.0
3137536,450.0
3162112,390.0
3178496,520.0
3194880,460.0
3219456,440.0
3235840,500.0
3260416,410.0
3276800,550.0
3301376,440.0
3317760,480.0
3342336,510.0
3358720,510.0
3375104,550.0
3399680,440.0
3416064,480.0
3440640,400.0
3457024,520.0
3481600,510.0
3497984,510.0
3514368,520.0
3538944,510.0
3555328,410.0
3579904,520.0
3596288,580.0
3620864,460.0
3637248,500.0
3661824,510.0
3678208,440.0
3694592,470.0
3719168,490.0
3735552,460.0
3760128,450.0
3776512,540.0
3801088,410.0
3817472,490.0
3833856,450.0
3858432,430.0
3874816,470.0
3899392,470.0
3915776,420.0
3940352,430.0
3956736,570.0
3981312,440.0
3997696,440.0
4014080,470.0
4038656,440.0
4055040,490.0
4079616,430.0
4096000,570.0
4120576,490.0
4136960,470.0
4153344,470.0
4177920,480.0
4194304,490.0
4218880,430.0
4235264,510.0
4259840,450.0
4276224,460.0
4300800,400.0
4317184,490.0
4333568,420.0
4358144,500.0
4374528,400.0
4399104,440.0
4415488,420.0
4440064,450.0
4456448,510.0
4472832,490.0
4497408,400.0
4513792,500.0
4538368,490.0
4554752,430.0
4579328,490.0
4595712,420.0
4620288,480.0
4636672,480.0
4653056,470.0
4677632,490.0
4694016,510.0
4718592,510.0
4734976,490.0
4759552,520.0
4775936,500.0
4792320,540.0
4816896,520.0
4833280,480.0
4857856,420.0
4874240,440.0
4898816,510.0
4915200,440.0
4939776,370.0
4956160,500.0
4972544,480.0
4997120,430.0
