Step,Value
20480,40.0
40960,0.0
60416,120.0
80896,40.0
100352,160.0
120832,40.0
140288,80.0
160768,120.0
180224,0.0
200704,80.0
220160,80.0
240640,40.0
260096,80.0
280576,200.0
300032,120.0
320512,40.0
340992,80.0
360448,40.0
380928,40.0
400384,40.0
420864,80.0
440320,80.0
460800,160.0
480256,120.0
500736,160.0
520192,120.0
540672,120.0
560128,120.0
580608,280.0
600064,520.0
620544,400.0
640000,400.0
660480,520.0
680960,480.0
700416,480.0
720896,520.0
740352,400.0
760832,280.0
780288,520.0
800768,400.0
820224,440.0
840704,320.0
860160,320.0
880640,400.0
900096,320.0
920576,400.0
940032,480.0
960512,600.0
980992,360.0
1000448,800.0
1020928,480.0
1040384,480.0
1060864,600.0
1080320,560.0
1100800,560.0
1120256,600.0
1140736,320.0
1160192,400.0
1180672,560.0
1200128,480.0
1220608,560.0
1240064,360.0
1260544,360.0
1280000,600.0
1300480,400.0
1320960,200.0
1340416,280.0
1360896,360.0
1380352,360.0
1400832,360.0
1420288,320.0
1440768,480.0
1460224,480.0
1480704,440.0
1500160,360.0
1520640,400.0
1540096,360.0
1560576,480.0
1580032,360.0
1600512,320.0
1620992,480.0
1640448,600.0
1660928,600.0
1680384,280.0
1700864,280.0
1720320,400.0
1740800,600.0
1760256,760.0
1780736,400.0
1800192,480.0
1820672,440.0
1840128,560.0
1860608,680.0
1880064,600.0
1900544,480.0
1920000,680.0
1940480,920.0
1960960,480.0
1980416,560.0
2000896,680.0
2020352,760.0
2040832,760.0
2060288,840.0
2080768,720.0
2100224,760.0
2120704,960.0
2140160,840.0
2160640,920.0
2180096,760.0
2200576,800.0
2220032,1200.0
2240512,1120.0
2260992,1400.0
2280448,1160.0
2300928,1560.0
2320384,1120.0
2340864,1240.0
2360320,1400.0
2380800,1440.0
2400256,1240.0
2420736,1480.0
2440192,1480.0
2460672,1760.0
2480128,1320.0
2500608,1120.0
2520064,1360.0
2540544,2080.0
2560000,1840.0
2580480,1440.0
2600960,1360.0
2620416,2440.0
2640896,1600.0
2660352,1720.0
2680832,1520.0
2700288,1680.0
2720768,1480.0
2740224,2040.0
2760704,1640.0
2780160,1280.0
2800640,1440.0
2820096,1280.0
2840576,2000.0
2860032,1880.0
2880512,1560.0
2900992,1000.0
2920448,2080.0
2940928,2400.0
2960384,1960.0
2980864,1960.0
3000320,2840.0
3020800,2000.0
3040256,3160.0
3060736,1840.0
3080192,2240.0
3100672,2840.0
3120128,1760.0
3140608,1920.0
3160064,2600.0
3180544,2240.0
3200000,3520.0
3220480,2320.0
3240960,2720.0
3260416,1360.0
3280896,2640.0
3300352,1840.0
3320832,2280.0
3340288,2480.0
3360768,2240.0
3380224,2480.0
3400704,2360.0
3420160,2520.0
3440640,2240.0
3460096,3080.0
3480576,2240.0
3500032,2320.0
3520512,2680.0
3540992,2400.0
3560448,2520.0
3580928,2160.0
3600384,3480.0
3620864,2400.0
3640320,2840.0
3660800,2600.0
3680256,3440.0
3700736,3240.0
3720192,3160.0
3740672,4000.0
3760128,3520.0
3780608,4240.0
3800064,1920.0
3820544,4320.0
3840000,3120.0
3860480,3440.0
3880960,5000.0
3900416,2600.0
3920896,3720.0
3940352,3560.0
3960832,3720.0
3980288,4400.0
4000768,4200.0
4020224,2880.0
4040704,3960.0
4060160,3720.0
4080640,5040.0
4100096,2400.0
4120576,3240.0
4140032,3880.0
4160512,4720.0
4180992,3600.0
4200448,4320.0
4220928,2800.0
4240384,2920.0
4260864,3560.0
4280320,4240.0
4300800,3640.0
4320256,4480.0
4340736,4920.0
4360192,2960.0
4380672,3640.0
4400128,4360.0
4420608,3160.0
4440064,4560.0
4460544,3720.0
4480000,3640.0
4500480,3720.0
4520960,4000.0
4540416,5140.0
4560896,2480.0
4580352,4400.0
4600832,4640.0
4620288,4120.0
4640768,4720.0
4660224,4600.0
4680704,5360.0
4700160,5080.0
4720640,3080.0
4740096,4000.0
4760576,4720.0
4780032,2800.0
4800512,7980.0
4820992,4760.0
4840448,5080.0
4860928,4440.0
4880384,4240.0
4900864,4320.0
4920320,3720.0
4940800,5620.0
4960256,3680.0
4980736,3800.0
5000192,4120.0
