Step,Value
20480,2525.39990234375
40960,2909.39990234375
60416,3090.800048828125
80896,2826.60009765625
100352,3134.39990234375
120832,3295.199951171875
140288,2378.39990234375
160768,3192.60009765625
180224,2893.199951171875
200704,3253.800048828125
220160,3441.0
240640,3394.199951171875
260096,3102.0
280576,3286.800048828125
300032,3268.199951171875
320512,2795.800048828125
340992,3181.199951171875
360448,3158.39990234375
380928,3042.0
400384,2903.800048828125
420864,2486.39990234375
440320,3136.0
460800,3474.0
480256,3580.0
500736,3100.800048828125
520192,3051.60009765625
540672,3583.800048828125
560128,3546.800048828125
580608,3906.800048828125
600064,3301.199951171875
620544,3448.800048828125
640000,2958.0
660480,3159.800048828125
680960,2962.0
700416,3364.800048828125
720896,3224.39990234375
740352,3360.199951171875
760832,3313.800048828125
780288,3231.0
800768,3409.0
820224,3344.0
840704,3367.39990234375
860160,3403.0
880640,3381.800048828125
900096,3348.0
920576,3466.39990234375
940032,3535.800048828125
960512,2902.39990234375
980992,3546.800048828125
1000448,3724.60009765625
1020928,3257.199951171875
1040384,3843.39990234375
1060864,3246.39990234375
1080320,3547.199951171875
1100800,3768.0
1120256,3202.39990234375
1140736,3446.199951171875
1160192,3281.199951171875
1180672,3642.60009765625
1200128,3709.199951171875
1220608,3484.0
1240064,3713.199951171875
1260544,3497.800048828125
1280000,3291.0
1300480,3816.800048828125
1320960,3373.199951171875
1340416,2707.39990234375
1360896,3657.0
1380352,3237.0
1400832,3641.0
1420288,3763.199951171875
1440768,3065.39990234375
1460224,3325.800048828125
1480704,3339.39990234375
1500160,3352.199951171875
1520640,3504.60009765625
1540096,4060.60009765625
1560576,3423.0
1580032,4062.60009765625
1600512,3492.39990234375
1620992,3103.800048828125
1640448,3247.199951171875
1660928,3912.39990234375
1680384,3475.0
1700864,3458.39990234375
1720320,3777.800048828125
1740800,3467.39990234375
1760256,3474.60009765625
1780736,3437.199951171875
1800192,3642.60009765625
1820672,3483.60009765625
1840128,3238.800048828125
1860608,3204.60009765625
1880064,3995.60009765625
1900544,3532.60009765625
1920000,3852.39990234375
1940480,3918.39990234375
1960960,3374.800048828125
1980416,3993.60009765625
2000896,3593.800048828125
2020352,3863.60009765625
2040832,3511.0
2060288,3456.60009765625
2080768,3946.39990234375
2100224,3663.0
2120704,3556.199951171875
2140160,2966.39990234375
2160640,4113.39990234375
2180096,3704.800048828125
2200576,3931.199951171875
2220032,3333.60009765625
2240512,3834.39990234375
2260992,3938.0
2280448,3784.0
2300928,3820.199951171875
2320384,3657.199951171875
2340864,3875.199951171875
2360320,3352.800048828125
2380800,3820.39990234375
2400256,3790.0
2420736,3613.60009765625
2440192,3302.199951171875
2460672,3588.800048828125
2480128,4217.0
2500608,4006.0
2520064,3769.0
2540544,3943.800048828125
2560000,3567.39990234375
2580480,3772.199951171875
2600960,3972.0
2620416,3177.60009765625
2640896,3740.800048828125
2660352,3639.199951171875
2680832,3132.60009765625
2700288,3901.60009765625
2720768,4121.39990234375
2740224,3283.60009765625
2760704,2522.39990234375
2780160,2056.800048828125
2800640,3080.60009765625
2820096,3887.39990234375
2840576,3685.199951171875
2860032,4093.0
2880512,3370.0
2900992,3958.39990234375
2920448,3816.60009765625
2940928,3798.199951171875
2960384,3802.800048828125
2980864,4230.0
3000320,3197.800048828125
3020800,3682.0
3040256,3868.800048828125
3060736,3778.0
3080192,3765.39990234375
3100672,3905.60009765625
3120128,3167.199951171875
3140608,3719.60009765625
3160064,3647.39990234375
3180544,3752.0
3200000,4283.60009765625
3220480,3789.199951171875
3240960,4140.60009765625
3260416,3828.0
3280896,4041.800048828125
3300352,3608.199951171875
3320832,3985.199951171875
3340288,3703.800048828125
3360768,4262.39990234375
3380224,4163.7998046875
3400704,4025.800048828125
3420160,3954.39990234375
3440640,4181.60009765625
3460096,3871.0
3480576,3795.199951171875
3500032,4123.60009765625
3520512,3650.39990234375
3540992,3782.0
3560448,3858.39990234375
3580928,4450.7998046875
3600384,3829.60009765625
3620864,4036.0
3640320,4496.39990234375
3660800,4058.60009765625
3680256,4312.2001953125
3700736,4499.60009765625
3720192,4408.2001953125
3740672,4394.60009765625
3760128,4496.7998046875
3780608,4208.7998046875
3800064,4573.7998046875
3820544,3969.199951171875
3840000,3502.39990234375
3860480,4455.7998046875
3880960,4138.60009765625
3900416,4149.2001953125
3920896,4372.60009765625
3940352,4317.2001953125
3960832,4504.39990234375
3980288,4740.7998046875
4000768,4398.0
4020224,4449.2001953125
4040704,4306.60009765625
4060160,4656.2001953125
4080640,4120.60009765625
4100096,4415.2001953125
4120576,4710.0
4140032,4379.2001953125
4160512,4438.60009765625
4180992,4661.39990234375
4200448,3958.199951171875
4220928,4839.2001953125
4240384,4413.60009765625
4260864,4976.60009765625
4280320,4159.39990234375
4300800,4781.2001953125
4320256,4541.0
4340736,4727.39990234375
4360192,4254.60009765625
4380672,4121.60009765625
4400128,4588.2001953125
4420608,4638.2001953125
4440064,4533.39990234375
4460544,4775.7998046875
4480000,4413.2001953125
4500480,4797.39990234375
4520960,4617.0
4540416,4976.2001953125
4560896,4815.7998046875
4580352,4750.2001953125
4600832,4374.0
4620288,4699.39990234375
4640768,4682.2001953125
4660224,4915.7998046875
4680704,4428.7998046875
4700160,4805.0
4720640,4432.0
4740096,5063.2001953125
4760576,4652.39990234375
4780032,4139.39990234375
4800512,4553.0
4820992,4916.60009765625
4840448,5154.7998046875
4860928,4446.7998046875
4880384,5062.0
4900864,4441.0
4920320,5035.2001953125
4940800,4780.7998046875
4960256,4446.7998046875
4980736,4300.39990234375
5000192,4949.0
