Step,Value
20480,1560.0
40960,2000.0
60416,3040.0
80896,2620.0
100352,2540.0
120832,2660.0
140288,2340.0
160768,3760.0
180224,4400.0
200704,3320.0
220160,4380.0
240640,4000.0
260096,5780.0
280576,4960.0
300032,3980.0
320512,4380.0
340992,6820.0
360448,6960.0
380928,8900.0
400384,8320.0
420864,8160.0
440320,12900.0
460800,11340.0
480256,13640.0
500736,11660.0
520192,12340.0
540672,16140.0
560128,17640.0
580608,9680.0
600064,9860.0
620544,14120.0
640000,13200.0
660480,11440.0
680960,11140.0
700416,9540.0
720896,10540.0
740352,10440.0
760832,8720.0
780288,7400.0
800768,9060.0
820224,8500.0
840704,10780.0
860160,10160.0
880640,9460.0
900096,7900.0
920576,9560.0
940032,10060.0
960512,8000.0
980992,10100.0
1000448,10880.0
1020928,8420.0
1040384,10140.0
1060864,10000.0
1080320,8660.0
1100800,12520.0
1120256,12520.0
1140736,16840.0
1160192,16560.0
1180672,14920.0
1200128,13220.0
1220608,11700.0
1240064,13500.0
1260544,10300.0
1280000,11720.0
1300480,11780.0
1320960,9740.0
1340416,14560.0
1360896,12620.0
1380352,12740.0
1400832,10300.0
1420288,12020.0
1440768,12280.0
1460224,12640.0
1480704,12680.0
1500160,14380.0
1520640,10400.0
1540096,11520.0
1560576,13040.0
1580032,13160.0
1600512,18660.0
1620992,15760.0
1640448,10340.0
1660928,14900.0
1680384,14740.0
1700864,11120.0
1720320,11860.0
1740800,13460.0
1760256,13020.0
1780736,12440.0
1800192,10700.0
1820672,17560.0
1840128,14300.0
1860608,17340.0
1880064,12120.0
1900544,15760.0
1920000,14540.0
1940480,16360.0
1960960,10760.0
1980416,13320.0
2000896,16780.0
2020352,14080.0
2040832,13880.0
2060288,15680.0
2080768,8920.0
2100224,11740.0
2120704,13060.0
2140160,15300.0
2160640,19000.0
2180096,13700.0
2200576,16440.0
2220032,19160.0
2240512,15420.0
2260992,15000.0
2280448,17160.0
2300928,15740.0
2320384,18080.0
2340864,14860.0
2360320,18160.0
2380800,14360.0
2400256,19620.0
2420736,17080.0
2440192,12180.0
2460672,12700.0
2480128,14000.0
2500608,17380.0
2520064,15640.0
2540544,13820.0
2560000,14680.0
2580480,18500.0
2600960,22140.0
2620416,17320.0
2640896,18720.0
2660352,21900.0
2680832,17080.0
2700288,20260.0
2720768,22760.0
2740224,21580.0
2760704,20700.0
2780160,17500.0
2800640,14280.0
2820096,22780.0
2840576,18580.0
2860032,19660.0
2880512,17960.0
2900992,15760.0
2920448,15240.0
2940928,16800.0
2960384,18340.0
2980864,19480.0
3000320,17760.0
3020800,18040.0
3040256,21720.0
3060736,18040.0
3080192,20880.0
3100672,20980.0
3120128,16420.0
3140608,22380.0
3160064,16720.0
3180544,20920.0
3200000,19440.0
3220480,18400.0
3240960,20840.0
3260416,19600.0
3280896,17060.0
3300352,24220.0
3320832,21100.0
3340288,24720.0
3360768,18400.0
3380224,19800.0
3400704,15060.0
3420160,23580.0
3440640,15480.0
3460096,21260.0
3480576,24440.0
3500032,17660.0
3520512,19100.0
3540992,16600.0
3560448,19380.0
3580928,16280.0
3600384,22900.0
3620864,23600.0
3640320,23880.0
3660800,25020.0
3680256,21680.0
3700736,17080.0
3720192,23480.0
3740672,24160.0
3760128,21900.0
3780608,28020.0
3800064,28060.0
3820544,23200.0
3840000,25200.0
3860480,29800.0
3880960,26560.0
3900416,22480.0
3920896,21520.0
3940352,25300.0
3960832,20860.0
3980288,27740.0
4000768,21980.0
4020224,22820.0
4040704,25800.0
4060160,23260.0
4080640,25980.0
4100096,18320.0
4120576,24040.0
4140032,17840.0
4160512,24160.0
4180992,24380.0
4200448,23280.0
4220928,21320.0
4240384,21460.0
4260864,21840.0
4280320,18800.0
4300800,19340.0
4320256,27600.0
4340736,26240.0
4360192,28760.0
4380672,28280.0
4400128,27060.0
4420608,33940.0
4440064,26740.0
4460544,25280.0
4480000,25880.0
4500480,28440.0
4520960,23980.0
4540416,26640.0
4560896,31420.0
4580352,28040.0
4600832,30700.0
4620288,26220.0
4640768,24640.0
4660224,23580.0
4680704,22660.0
4700160,30380.0
4720640,22680.0
4740096,26640.0
4760576,24580.0
4780032,23920.0
4800512,27800.0
4820992,27460.0
4840448,24200.0
4860928,30380.0
4880384,32060.0
4900864,26040.0
4920320,30780.0
4940800,24000.0
4960256,28180.0
4980736,28900.0
5000192,20340.0
