Step,Value
20480,318.0
40960,490.0
60416,484.0
80896,356.0
100352,398.0
120832,590.0
140288,610.0
160768,1362.0
180224,670.0
200704,572.0
220160,798.0
240640,732.0
260096,636.0
280576,712.0
300032,444.0
320512,1010.0
340992,520.0
360448,508.0
380928,498.0
400384,686.0
420864,788.0
440320,630.0
460800,632.0
480256,742.0
500736,628.0
520192,680.0
540672,586.0
560128,648.0
580608,434.0
600064,684.0
620544,782.0
640000,490.0
660480,544.0
680960,700.0
700416,620.0
720896,906.0
740352,518.0
760832,610.0
780288,798.0
800768,768.0
820224,562.0
840704,848.0
860160,1130.0
880640,810.0
900096,936.0
920576,614.0
940032,386.0
960512,1070.0
980992,798.0
1000448,744.0
1020928,876.0
1040384,808.0
1060864,536.0
1080320,596.0
1100800,676.0
1120256,720.0
1140736,574.0
1160192,496.0
1180672,602.0
1200128,654.0
1220608,684.0
1240064,812.0
1260544,924.0
1280000,668.0
1300480,652.0
1320960,948.0
1340416,446.0
1360896,570.0
1380352,608.0
1400832,632.0
1420288,504.0
1440768,618.0
1460224,710.0
1480704,764.0
1500160,950.0
1520640,550.0
1540096,642.0
1560576,528.0
1580032,730.0
1600512,506.0
1620992,682.0
1640448,770.0
1660928,826.0
1680384,656.0
1700864,556.0
1720320,1080.0
1740800,782.0
1760256,694.0
1780736,780.0
1800192,980.0
1820672,860.0
1840128,754.0
1860608,804.0
1880064,600.0
1900544,648.0
1920000,608.0
1940480,490.0
1960960,490.0
1980416,584.0
2000896,780.0
2020352,566.0
2040832,890.0
2060288,528.0
2080768,586.0
2100224,552.0
2120704,452.0
2140160,880.0
2160640,608.0
2180096,732.0
2200576,938.0
2220032,364.0
2240512,578.0
2260992,692.0
2280448,944.0
2300928,684.0
2320384,930.0
2340864,756.0
2360320,630.0
2380800,494.0
2400256,934.0
2420736,664.0
2440192,610.0
2460672,548.0
2480128,484.0
2500608,644.0
2520064,476.0
2540544,1010.0
2560000,626.0
2580480,822.0
2600960,554.0
2620416,714.0
2640896,782.0
2660352,520.0
2680832,630.0
2700288,794.0
2720768,766.0
2740224,600.0
2760704,538.0
2780160,678.0
2800640,906.0
2820096,658.0
2840576,800.0
2860032,906.0
2880512,604.0
2900992,688.0
2920448,534.0
2940928,500.0
2960384,668.0
2980864,642.0
3000320,516.0
3020800,740.0
3040256,458.0
3060736,554.0
3080192,876.0
3100672,796.0
3120128,378.0
3140608,588.0
3160064,540.0
3180544,474.0
3200000,404.0
3220480,586.0
3240960,866.0
3260416,572.0
3280896,578.0
3300352,408.0
3320832,662.0
3340288,532.0
3360768,614.0
3380224,484.0
3400704,596.0
3420160,848.0
3440640,488.0
3460096,444.0
3480576,438.0
3500032,732.0
3520512,518.0
3540992,620.0
3560448,664.0
3580928,720.0
3600384,424.0
3620864,842.0
3640320,524.0
3660800,584.0
3680256,636.0
3700736,568.0
3720192,664.0
3740672,772.0
3760128,904.0
3780608,788.0
3800064,870.0
3820544,848.0
3840000,650.0
3860480,670.0
3880960,510.0
3900416,804.0
3920896,824.0
3940352,556.0
3960832,616.0
3980288,732.0
4000768,708.0
4020224,504.0
4040704,644.0
4060160,916.0
4080640,1070.0
4100096,790.0
4120576,592.0
4140032,674.0
4160512,854.0
4180992,792.0
4200448,1124.0
4220928,518.0
4240384,884.0
4260864,636.0
4280320,704.0
4300800,720.0
4320256,508.0
4340736,578.0
4360192,606.0
4380672,614.0
4400128,726.0
4420608,866.0
4440064,594.0
4460544,900.0
4480000,566.0
4500480,850.0
4520960,852.0
4540416,876.0
4560896,830.0
4580352,878.0
4600832,780.0
4620288,740.0
4640768,988.0
4660224,602.0
4680704,934.0
4700160,504.0
4720640,752.0
4740096,680.0
4760576,1022.0
4780032,510.0
4800512,900.0
4820992,608.0
4840448,844.0
4860928,618.0
4880384,602.0
4900864,670.0
4920320,1198.0
4940800,830.0
4960256,772.0
4980736,790.0
5000192,804.0
