Step,Value
20480,2220.0
40960,2018.0
60416,1682.0
80896,2594.0
100352,2674.0
120832,1990.0
140288,3086.0
160768,1932.0
180224,1396.0
200704,2994.0
220160,2020.0
240640,2210.0
260096,2838.0
280576,1716.0
300032,2410.0
320512,2162.0
340992,2174.0
360448,2164.0
380928,3478.0
400384,2612.0
420864,2766.0
440320,2530.0
460800,2382.0
480256,2394.0
500736,2498.0
520192,2992.0
540672,2164.0
560128,2544.0
580608,2118.0
600064,2862.0
620544,2888.0
640000,3064.0
660480,2240.0
680960,2236.0
700416,3140.0
720896,1988.0
740352,2004.0
760832,3156.0
780288,2398.0
800768,2498.0
820224,2994.0
840704,2510.0
860160,2592.0
880640,2080.0
900096,2804.0
920576,2392.0
940032,3108.0
960512,2958.0
980992,2362.0
1000448,3326.0
1020928,4316.0
1040384,2962.0
1060864,3320.0
1080320,4708.0
1100800,3542.0
1120256,4076.0
1140736,3924.0
1160192,3798.0
1180672,3744.0
1200128,4058.0
1220608,4312.0
1240064,4638.0
1260544,4698.0
1280000,3510.0
1300480,4932.0
1320960,5156.0
1340416,5158.0
1360896,5242.0
1380352,5150.0
1400832,4306.0
1420288,4752.0
1440768,4206.0
1460224,4294.0
1480704,4976.0
1500160,4900.0
1520640,4696.0
1540096,4740.0
1560576,4628.0
1580032,4796.0
1600512,5292.0
1620992,5520.0
1640448,5022.0
1660928,5034.0
1680384,4480.0
1700864,4494.0
1720320,5024.0
1740800,5334.0
1760256,5434.0
1780736,5614.0
1800192,5398.0
1820672,5358.0
1840128,4948.0
1860608,4532.0
1880064,4922.0
1900544,5544.0
1920000,4878.0
1940480,5558.0
1960960,4872.0
1980416,5108.0
2000896,5908.0
2020352,5446.0
2040832,5320.0
2060288,5618.0
2080768,5894.0
2100224,4608.0
2120704,4922.0
2140160,5252.0
2160640,5352.0
2180096,5494.0
2200576,5178.0
2220032,5240.0
2240512,5752.0
2260992,5048.0
2280448,5442.0
2300928,5004.0
2320384,5292.0
2340864,5756.0
2360320,5498.0
2380800,4726.0
2400256,5700.0
2420736,5596.0
2440192,5826.0
2460672,4974.0
2480128,5526.0
2500608,5742.0
2520064,4638.0
2540544,4378.0
2560000,4970.0
2580480,5114.0
2600960,5482.0
2620416,4726.0
2640896,5810.0
2660352,5044.0
2680832,5316.0
2700288,5768.0
2720768,5374.0
2740224,5752.0
2760704,5794.0
2780160,5448.0
2800640,5154.0
2820096,5600.0
2840576,5472.0
2860032,4952.0
2880512,4394.0
2900992,4754.0
2920448,4926.0
2940928,5614.0
2960384,5160.0
2980864,4820.0
3000320,5360.0
3020800,5052.0
3040256,5354.0
3060736,5616.0
3080192,4598.0
3100672,5802.0
3120128,5146.0
3140608,5032.0
3160064,5280.0
3180544,5710.0
3200000,5478.0
3220480,5056.0
3240960,5888.0
3260416,5960.0
3280896,5836.0
3300352,5230.0
3320832,5772.0
3340288,5910.0
3360768,5254.0
3380224,5674.0
3400704,5354.0
3420160,5172.0
3440640,5960.0
3460096,5790.0
3480576,5310.0
3500032,5956.0
3520512,5080.0
3540992,5694.0
3560448,5420.0
3580928,5674.0
3600384,5018.0
3620864,5222.0
3640320,5798.0
3660800,5404.0
3680256,5972.0
3700736,5736.0
3720192,5814.0
3740672,5368.0
3760128,6012.0
3780608,6334.0
3800064,5830.0
3820544,5782.0
3840000,6096.0
3860480,4930.0
3880960,4726.0
3900416,6216.0
3920896,6104.0
3940352,5416.0
3960832,5476.0
3980288,4538.0
4000768,5304.0
4020224,5366.0
4040704,5936.0
4060160,5296.0
4080640,5958.0
4100096,5660.0
4120576,5190.0
4140032,5842.0
4160512,5228.0
4180992,5704.0
4200448,4746.0
4220928,6482.0
4240384,6318.0
4260864,5448.0
4280320,4876.0
4300800,5308.0
4320256,4912.0
4340736,5426.0
4360192,5270.0
4380672,4958.0
4400128,5210.0
4420608,5814.0
4440064,5926.0
4460544,5160.0
4480000,5392.0
4500480,5856.0
4520960,5318.0
4540416,5538.0
4560896,5592.0
4580352,5920.0
4600832,5974.0
4620288,5346.0
4640768,5454.0
4660224,5402.0
4680704,5708.0
4700160,5696.0
4720640,5914.0
4740096,5570.0
4760576,5872.0
4780032,5492.0
4800512,6014.0
4820992,5636.0
4840448,5862.0
4860928,4918.0
4880384,5872.0
4900864,4536.0
4920320,5604.0
4940800,5676.0
4960256,5686.0
4980736,5710.0
5000192,5770.0
