Step,Value
20480,-500.0
40960,-29.200000762939453
60416,-3.200000047683716
80896,-2.200000047683716
100352,-50.599998474121094
120832,-35.599998474121094
140288,-0.20000000298023224
160768,-27.600000381469727
180224,-14.800000190734863
200704,-40.0
220160,-7.800000190734863
240640,-74.5999984741211
260096,-4.0
280576,-48.79999923706055
300032,-27.399999618530273
320512,-8.199999809265137
340992,-4.800000190734863
360448,-3.4000000953674316
380928,-30.600000381469727
400384,-14.800000190734863
420864,-2.0
440320,-7.199999809265137
460800,-7.599999904632568
480256,-45.400001525878906
500736,-65.80000305175781
520192,-210.1999969482422
540672,-1.600000023841858
560128,0.0
580608,-4.400000095367432
600064,-10.800000190734863
620544,-36.20000076293945
640000,-5.599999904632568
660480,-16.399999618530273
680960,-6.800000190734863
700416,-11.199999809265137
720896,-211.1999969482422
740352,-140.60000610351562
760832,-1.7999999523162842
780288,-4.199999809265137
800768,-30.399999618530273
820224,-8.0
840704,0.0
860160,-3.5999999046325684
880640,-16.0
900096,-75.0
920576,0.0
940032,-8.199999809265137
960512,-111.5999984741211
980992,-18.600000381469727
1000448,-1.0
1020928,-13.600000381469727
1040384,-15.600000381469727
1060864,-3.5999999046325684
1080320,-13.800000190734863
1100800,-9.399999618530273
1120256,-6.599999904632568
1140736,-0.4000000059604645
1160192,0.0
1180672,-3.5999999046325684
1200128,-8.800000190734863
1220608,-1.600000023841858
1240064,-6.400000095367432
1260544,-160.0
1280000,-5.199999809265137
1300480,-4.0
1320960,-1.600000023841858
1340416,-6.0
1360896,-7.400000095367432
1380352,-40.0
1400832,0.0
1420288,-5.800000190734863
1440768,0.0
1460224,-28.799999237060547
1480704,-4.0
1500160,-27.0
1520640,-9.199999809265137
1540096,-41.79999923706055
1560576,0.0
1580032,-12.0
1600512,-4.199999809265137
1620992,-10.399999618530273
1640448,-9.800000190734863
1660928,-7.599999904632568
1680384,-4.400000095367432
1700864,0.0
1720320,-40.0
1740800,-3.5999999046325684
1760256,-88.4000015258789
1780736,-44.0
1800192,-53.599998474121094
1820672,-80.0
1840128,0.0
1860608,-24.399999618530273
1880064,-13.600000381469727
1900544,0.0
1920000,0.0
1940480,0.0
1960960,-35.79999923706055
1980416,0.0
2000896,0.0
2020352,0.0
2040832,0.0
2060288,-11.800000190734863
2080768,0.0
2100224,-111.5999984741211
2120704,-20.0
2140160,-40.0
2160640,-20.0
2180096,0.0
2200576,0.0
2220032,-40.0
2240512,-85.5999984741211
2260992,-1.2000000476837158
2280448,-40.0
2300928,-60.0
2320384,0.0
2340864,0.0
2360320,0.0
2380800,0.0
2400256,-20.0
2420736,-20.0
2440192,0.0
2460672,0.0
2480128,0.0
2500608,0.0
2520064,0.0
2540544,0.0
2560000,0.0
2580480,0.0
2600960,0.0
2620416,0.0
2640896,0.0
2660352,0.0
2680832,0.0
2700288,0.0
2720768,0.0
2740224,0.0
2760704,0.0
2780160,0.0
2800640,0.0
2820096,0.0
2840576,0.0
2860032,0.0
2880512,0.0
2900992,0.0
2920448,0.0
2940928,0.0
2960384,0.0
2980864,0.0
3000320,0.0
3020800,0.0
3040256,0.0
3060736,0.0
3080192,0.0
3100672,0.0
3120128,0.0
3140608,0.0
3160064,0.0
3180544,0.0
3200000,0.0
3220480,0.0
3240960,0.0
3260416,-60.0
3280896,-24.0
3300352,0.0
3320832,0.0
3340288,0.0
3360768,0.0
3380224,0.0
3400704,0.0
3420160,0.0
3440640,0.0
3460096,0.0
3480576,0.0
3500032,0.0
3520512,0.0
3540992,0.0
3560448,0.0
3580928,0.0
3600384,0.0
3620864,0.0
3640320,0.0
3660800,0.0
3680256,0.0
3700736,0.0
3720192,0.0
3740672,0.0
3760128,0.0
3780608,0.0
3800064,0.0
3820544,0.0
3840000,0.0
3860480,0.0
3880960,0.0
3900416,0.0
3920896,0.0
3940352,0.0
3960832,0.0
3980288,0.0
4000768,0.0
4020224,0.0
4040704,0.0
4060160,0.0
4080640,0.0
4100096,0.0
4120576,0.0
4140032,0.0
4160512,0.0
4180992,0.0
4200448,0.0
4220928,0.0
4240384,0.0
4260864,0.0
4280320,0.0
4300800,0.0
4320256,0.0
4340736,0.0
4360192,0.0
4380672,0.0
4400128,0.0
4420608,0.0
4440064,0.0
4460544,0.0
4480000,0.0
4500480,0.0
4520960,-40.0
4540416,0.0
4560896,0.0
4580352,0.0
4600832,0.0
4620288,0.0
4640768,0.0
4660224,0.0
4680704,0.0
4700160,0.0
4720640,0.0
4740096,0.0
4760576,0.0
4780032,0.0
4800512,0.0
4820992,0.0
4840448,0.0
4860928,0.0
4880384,0.0
4900864,0.0
4920320,0.0
4940800,0.0
4960256,0.0
4980736,0.0
5000192,0.0
