Step,Value
20480,-267.3999938964844
40960,-25.200000762939453
60416,-41.0
80896,-34.400001525878906
100352,-65.19999694824219
120832,-17.399999618530273
140288,-26.399999618530273
160768,-25.799999237060547
180224,-27.200000762939453
200704,-4.599999904632568
220160,-24.0
240640,-46.79999923706055
260096,-8.800000190734863
280576,-17.799999237060547
300032,-148.60000610351562
320512,-0.800000011920929
340992,-2.200000047683716
360448,-7.0
380928,-13.800000190734863
400384,-33.20000076293945
420864,-8.399999618530273
440320,-78.80000305175781
460800,-3.799999952316284
480256,-1.7999999523162842
500736,0.0
520192,-28.200000762939453
540672,-3.4000000953674316
560128,-24.200000762939453
580608,-182.8000030517578
600064,-20.0
620544,-16.600000381469727
640000,-21.600000381469727
660480,-5.0
680960,-4.0
700416,-9.800000190734863
720896,-3.200000047683716
740352,-26.600000381469727
760832,-40.0
780288,-59.79999923706055
800768,-3.799999952316284
820224,-16.399999618530273
840704,-9.0
860160,-164.1999969482422
880640,-156.8000030517578
900096,0.0
920576,-45.400001525878906
940032,-26.0
960512,-25.200000762939453
980992,-64.4000015258789
1000448,-13.199999809265137
1020928,0.0
1040384,-7.0
1060864,-13.600000381469727
1080320,-40.0
1100800,-20.0
1120256,0.0
1140736,-30.399999618530273
1160192,-20.0
1180672,-4.199999809265137
1200128,-80.0
1220608,-11.399999618530273
1240064,-41.400001525878906
1260544,-20.0
1280000,-9.600000381469727
1300480,-3.4000000953674316
1320960,-29.600000381469727
1340416,-5.199999809265137
1360896,-5.199999809265137
1380352,-40.0
1400832,-1.399999976158142
1420288,0.0
1440768,0.0
1460224,-8.0
1480704,-1.0
1500160,0.0
1520640,-4.0
1540096,0.0
1560576,-26.0
1580032,0.0
1600512,0.0
1620992,-13.199999809265137
1640448,-4.800000190734863
1660928,-16.799999237060547
1680384,-9.0
1700864,-5.199999809265137
1720320,0.0
1740800,-44.20000076293945
1760256,-52.400001525878906
1780736,-32.400001525878906
1800192,-8.399999618530273
1820672,0.0
1840128,-6.400000095367432
1860608,-9.0
1880064,-2.5999999046325684
1900544,-6.800000190734863
1920000,-7.0
1940480,-1.0
1960960,-6.0
1980416,0.0
2000896,-182.60000610351562
2020352,-147.60000610351562
2040832,0.0
2060288,-23.600000381469727
2080768,-45.599998474121094
2100224,-120.19999694824219
2120704,-6.199999809265137
2140160,-80.0
2160640,0.0
2180096,-4.599999904632568
2200576,-5.199999809265137
2220032,-18.799999237060547
2240512,-7.199999809265137
2260992,0.0
2280448,0.0
2300928,0.0
2320384,-0.800000011920929
2340864,-7.199999809265137
2360320,-11.0
2380800,0.0
2400256,0.0
2420736,0.0
2440192,0.0
2460672,-9.600000381469727
2480128,-8.600000381469727
2500608,-170.60000610351562
2520064,0.0
2540544,-16.600000381469727
2560000,-9.199999809265137
2580480,-7.800000190734863
2600960,0.0
2620416,0.0
2640896,-0.20000000298023224
2660352,-13.199999809265137
2680832,0.0
2700288,0.0
2720768,0.0
2740224,0.0
2760704,0.0
2780160,0.0
2800640,-20.0
2820096,-140.0
2840576,-158.8000030517578
2860032,-20.0
2880512,-20.0
2900992,0.0
2920448,-94.80000305175781
2940928,0.0
2960384,0.0
2980864,-40.0
3000320,-20.0
3020800,0.0
3040256,-20.0
3060736,0.0
3080192,0.0
3100672,0.0
3120128,-20.0
3140608,0.0
3160064,0.0
3180544,-20.0
3200000,-60.0
3220480,-23.200000762939453
3240960,0.0
3260416,0.0
3280896,-42.0
3300352,0.0
3320832,0.0
3340288,-20.0
3360768,0.0
3380224,0.0
3400704,0.0
3420160,0.0
3440640,-20.0
3460096,0.0
3480576,0.0
3500032,0.0
3520512,0.0
3540992,0.0
3560448,0.0
3580928,0.0
3600384,0.0
3620864,0.0
3640320,0.0
3660800,0.0
3680256,0.0
3700736,0.0
3720192,0.0
3740672,0.0
3760128,0.0
3780608,0.0
3800064,0.0
3820544,0.0
3840000,0.0
3860480,0.0
3880960,0.0
3900416,0.0
3920896,0.0
3940352,0.0
3960832,0.0
3980288,0.0
4000768,0.0
4020224,0.0
4040704,0.0
4060160,0.0
4080640,0.0
4100096,0.0
4120576,0.0
4140032,0.0
4160512,0.0
4180992,0.0
4200448,0.0
4220928,0.0
4240384,0.0
4260864,0.0
4280320,0.0
4300800,0.0
4320256,0.0
4340736,0.0
4360192,0.0
4380672,0.0
4400128,0.0
4420608,0.0
4440064,0.0
4460544,0.0
4480000,0.0
4500480,0.0
4520960,0.0
4540416,0.0
4560896,0.0
4580352,0.0
4600832,0.0
4620288,0.0
4640768,0.0
4660224,0.0
4680704,0.0
4700160,0.0
4720640,0.0
4740096,0.0
4760576,0.0
4780032,0.0
4800512,0.0
4820992,0.0
4840448,0.0
4860928,0.0
4880384,0.0
4900864,0.0
4920320,0.0
4940800,0.0
4960256,0.0
4980736,0.0
5000192,0.0
