Step,Value
20480,93.19999694824219
40960,-4.0
60416,-60.0
80896,-495.0
100352,-863.4000244140625
120832,100.0
140288,80.0
160768,80.0
180224,40.0
200704,100.0
220160,-123.5999984741211
240640,0.0
260096,0.0
280576,0.0
300032,0.0
320512,80.0
340992,100.0
360448,100.0
380928,100.0
400384,20.0
420864,-27.399999618530273
440320,0.0
460800,0.0
480256,-200.0
500736,40.0
520192,-60.0
540672,60.0
560128,-169.39999389648438
580608,100.0
600064,100.0
620544,100.0
640000,100.0
660480,100.0
680960,100.0
700416,100.0
720896,100.0
740352,100.0
760832,100.0
780288,100.0
800768,113.19999694824219
820224,100.0
840704,100.0
860160,100.0
880640,100.0
900096,100.0
920576,100.0
940032,100.0
960512,100.0
980992,100.0
1000448,100.0
1020928,100.0
1040384,-120.0
1060864,80.0
1080320,100.0
1100800,100.0
1120256,100.0
1140736,100.0
1160192,100.0
1180672,100.0
1200128,80.0
1220608,100.0
1240064,100.0
1260544,100.0
1280000,100.0
1300480,100.0
1320960,100.0
1340416,100.0
1360896,100.0
1380352,95.5999984741211
1400832,100.0
1420288,100.0
1440768,-120.0
1460224,100.0
1480704,100.0
1500160,100.0
1520640,100.0
1540096,100.0
1560576,80.0
1580032,100.0
1600512,100.0
1620992,100.0
1640448,100.0
1660928,100.0
1680384,100.0
1700864,100.0
1720320,100.0
1740800,100.0
1760256,100.0
1780736,100.0
1800192,100.0
1820672,100.0
1840128,-320.0
1860608,40.0
1880064,80.0
1900544,100.0
1920000,100.0
1940480,100.0
1960960,100.0
1980416,100.0
2000896,100.0
2020352,80.0
2040832,100.0
2060288,100.0
2080768,100.0
2100224,100.0
2120704,100.0
2140160,100.0
2160640,100.0
2180096,100.0
2200576,100.0
2220032,100.0
2240512,100.0
2260992,100.0
2280448,100.0
2300928,100.0
2320384,100.0
2340864,100.0
2360320,100.0
2380800,100.0
2400256,100.0
2420736,100.0
2440192,100.0
2460672,100.0
2480128,100.0
2500608,100.0
2520064,100.0
2540544,100.0
2560000,100.0
2580480,100.0
2600960,100.0
2620416,100.0
2640896,100.0
2660352,100.0
2680832,100.0
2700288,100.0
2720768,100.0
2740224,100.0
2760704,100.0
2780160,100.0
2800640,40.0
2820096,100.0
2840576,100.0
2860032,100.0
2880512,100.0
2900992,100.0
2920448,100.0
2940928,100.0
2960384,100.0
2980864,100.0
3000320,100.0
3020800,100.0
3040256,100.0
3060736,100.0
3080192,100.0
3100672,100.0
3120128,100.0
3140608,100.0
3160064,100.0
3180544,100.0
3200000,100.0
3220480,100.0
3240960,100.0
3260416,100.0
3280896,100.0
3300352,100.0
3320832,100.0
3340288,100.0
3360768,100.0
3380224,100.0
3400704,100.0
3420160,100.0
3440640,100.0
3460096,100.0
3480576,100.0
3500032,100.0
3520512,100.0
3540992,100.0
3560448,100.0
3580928,100.0
3600384,100.0
3620864,100.0
3640320,100.0
3660800,100.0
3680256,100.0
3700736,80.0
3720192,100.0
3740672,100.0
3760128,100.0
3780608,100.0
3800064,100.0
3820544,100.0
3840000,100.0
3860480,100.0
3880960,100.0
3900416,100.0
3920896,100.0
3940352,100.0
3960832,100.0
3980288,-120.0
4000768,100.0
4020224,100.0
4040704,100.0
4060160,-20.0
4080640,100.0
4100096,100.0
4120576,100.0
4140032,100.0
4160512,100.0
4180992,100.0
4200448,100.0
4220928,100.0
4240384,100.0
4260864,100.0
4280320,100.0
4300800,100.0
4320256,-120.0
4340736,100.0
4360192,100.0
4380672,100.0
4400128,100.0
4420608,100.0
4440064,100.0
4460544,100.0
4480000,100.0
4500480,100.0
4520960,100.0
4540416,100.0
4560896,100.0
4580352,100.0
4600832,100.0
4620288,100.0
4640768,100.0
4660224,100.0
4680704,100.0
4700160,100.0
4720640,100.0
4740096,100.0
4760576,100.0
4780032,100.0
4800512,100.0
4820992,100.0
4840448,100.0
4860928,100.0
4880384,100.0
4900864,100.0
4920320,100.0
4940800,100.0
4960256,100.0
4980736,100.0
5000192,100.0
