Step,Value
20480,130.0
40960,255.0
60416,295.0
80896,265.0
100352,255.0
120832,290.0
140288,255.0
160768,315.0
180224,300.0
200704,275.0
220160,315.0
240640,255.0
260096,280.0
280576,310.0
300032,275.0
320512,300.0
340992,290.0
360448,310.0
380928,270.0
400384,305.0
420864,260.0
440320,340.0
460800,400.0
480256,425.0
500736,315.0
520192,380.0
540672,435.0
560128,540.0
580608,520.0
600064,460.0
620544,430.0
640000,350.0
660480,435.0
680960,530.0
700416,355.0
720896,555.0
740352,325.0
760832,495.0
780288,345.0
800768,415.0
820224,460.0
840704,400.0
860160,470.0
880640,435.0
900096,620.0
920576,605.0
940032,615.0
960512,580.0
980992,575.0
1000448,625.0
1020928,695.0
1040384,570.0
1060864,660.0
1080320,575.0
1100800,615.0
1120256,760.0
1140736,465.0
1160192,645.0
1180672,680.0
1200128,675.0
1220608,670.0
1240064,655.0
1260544,680.0
1280000,830.0
1300480,730.0
1320960,690.0
1340416,875.0
1360896,795.0
1380352,715.0
1400832,705.0
1420288,875.0
1440768,850.0
1460224,760.0
1480704,730.0
1500160,765.0
1520640,690.0
1540096,845.0
1560576,850.0
1580032,875.0
1600512,905.0
1620992,880.0
1640448,775.0
1660928,790.0
1680384,1545.0
1700864,915.0
1720320,640.0
1740800,775.0
1760256,805.0
1780736,1455.0
1800192,2115.0
1820672,1320.0
1840128,900.0
1860608,675.0
1880064,800.0
1900544,720.0
1920000,1395.0
1940480,705.0
1960960,785.0
1980416,735.0
2000896,765.0
2020352,1390.0
2040832,1395.0
2060288,1460.0
2080768,880.0
2100224,1410.0
2120704,1970.0
2140160,765.0
2160640,2065.0
2180096,1440.0
2200576,1400.0
2220032,1380.0
2240512,800.0
2260992,1535.0
2280448,795.0
2300928,720.0
2320384,755.0
2340864,1500.0
2360320,705.0
2380800,1475.0
2400256,1480.0
2420736,2125.0
2440192,2855.0
2460672,3565.0
2480128,1455.0
2500608,1400.0
2520064,800.0
2540544,2085.0
2560000,1465.0
2580480,905.0
2600960,2770.0
2620416,3490.0
2640896,2860.0
2660352,3520.0
2680832,2800.0
2700288,3525.0
2720768,2785.0
2740224,2735.0
2760704,2135.0
2780160,2840.0
2800640,1305.0
2820096,1475.0
2840576,1485.0
2860032,805.0
2880512,2080.0
2900992,2280.0
2920448,4085.0
2940928,2905.0
2960384,2760.0
2980864,2120.0
3000320,800.0
3020800,2795.0
3040256,2925.0
3060736,2295.0
3080192,2260.0
3100672,2165.0
3120128,4125.0
3140608,2835.0
3160064,2840.0
3180544,3435.0
3200000,2805.0
3220480,3540.0
3240960,2150.0
3260416,2785.0
3280896,2150.0
3300352,3680.0
3320832,2125.0
3340288,2825.0
3360768,2815.0
3380224,2890.0
3400704,2170.0
3420160,3485.0
3440640,3510.0
3460096,2845.0
3480576,2805.0
3500032,2855.0
3520512,4185.0
3540992,2855.0
3560448,4155.0
3580928,4175.0
3600384,3510.0
3620864,2880.0
3640320,4190.0
3660800,2855.0
3680256,4225.0
3700736,4220.0
3720192,4245.0
3740672,2840.0
3760128,4950.0
3780608,4330.0
3800064,4330.0
3820544,4330.0
3840000,3545.0
3860480,3585.0
3880960,4285.0
3900416,3705.0
3920896,3585.0
3940352,4345.0
3960832,3650.0
3980288,3045.0
4000768,4335.0
4020224,2920.0
4040704,4505.0
4060160,4465.0
4080640,3600.0
4100096,4300.0
4120576,4405.0
4140032,4355.0
4160512,4395.0
4180992,3685.0
4200448,4375.0
4220928,4345.0
4240384,3650.0
4260864,4335.0
4280320,4420.0
4300800,3655.0
4320256,4345.0
4340736,2845.0
4360192,4330.0
4380672,4495.0
4400128,4385.0
4420608,4430.0
4440064,4470.0
4460544,4530.0
4480000,4415.0
4500480,4375.0
4520960,4410.0
4540416,4490.0
4560896,4415.0
4580352,4395.0
4600832,4450.0
4620288,4390.0
4640768,4425.0
4660224,4390.0
4680704,3665.0
4700160,4345.0
4720640,4490.0
4740096,5135.0
4760576,4370.0
4780032,4475.0
4800512,3750.0
4820992,4430.0
4840448,4415.0
4860928,4595.0
4880384,3650.0
4900864,5305.0
4920320,4555.0
4940800,3705.0
4960256,4415.0
4980736,4365.0
5000192,4585.0
