Step,Value
20480,1138.0
40960,1944.0
60416,1270.0
80896,1548.0
100352,1718.0
120832,1878.0
140288,1912.0
160768,1728.0
180224,1862.0
200704,1770.0
220160,2088.0
240640,1972.0
260096,2212.0
280576,1962.0
300032,2522.0
320512,2264.0
340992,2298.0
360448,2190.0
380928,2280.0
400384,2432.0
420864,2060.0
440320,2538.0
460800,2274.0
480256,2138.0
500736,2438.0
520192,2220.0
540672,2206.0
560128,2254.0
580608,2308.0
600064,2588.0
620544,2350.0
640000,2308.0
660480,2362.0
680960,2434.0
700416,2446.0
720896,2318.0
740352,2484.0
760832,2436.0
780288,2522.0
800768,2512.0
820224,2272.0
840704,2448.0
860160,2544.0
880640,2482.0
900096,2962.0
920576,2816.0
940032,2706.0
960512,2308.0
980992,2808.0
1000448,2688.0
1020928,2508.0
1040384,2976.0
1060864,2634.0
1080320,2708.0
1100800,2842.0
1120256,2606.0
1140736,2640.0
1160192,3182.0
1180672,2724.0
1200128,2818.0
1220608,2838.0
1240064,2858.0
1260544,2808.0
1280000,2856.0
1300480,2920.0
1320960,2896.0
1340416,2802.0
1360896,2916.0
1380352,2890.0
1400832,3038.0
1420288,2652.0
1440768,2984.0
1460224,2822.0
1480704,2898.0
1500160,3280.0
1520640,3064.0
1540096,3098.0
1560576,2954.0
1580032,3184.0
1600512,3064.0
1620992,3318.0
1640448,3134.0
1660928,3092.0
1680384,3382.0
1700864,3100.0
1720320,3064.0
1740800,3510.0
1760256,3296.0
1780736,3092.0
1800192,3230.0
1820672,3090.0
1840128,3208.0
1860608,2990.0
1880064,3278.0
1900544,3352.0
1920000,3446.0
1940480,3660.0
1960960,3754.0
1980416,3466.0
2000896,3552.0
2020352,3548.0
2040832,3532.0
2060288,3544.0
2080768,3410.0
2100224,3726.0
2120704,3720.0
2140160,3544.0
2160640,3780.0
2180096,3494.0
2200576,3594.0
2220032,3678.0
2240512,3840.0
2260992,4212.0
2280448,3500.0
2300928,3824.0
2320384,3736.0
2340864,4392.0
2360320,4406.0
2380800,3602.0
2400256,3396.0
2420736,4330.0
2440192,3936.0
2460672,3316.0
2480128,4122.0
2500608,4046.0
2520064,4356.0
2540544,4086.0
2560000,4210.0
2580480,4172.0
2600960,4440.0
2620416,4728.0
2640896,3698.0
2660352,4182.0
2680832,4818.0
2700288,4464.0
2720768,4742.0
2740224,4152.0
2760704,3180.0
2780160,4536.0
2800640,4490.0
2820096,4292.0
2840576,4394.0
2860032,4624.0
2880512,3642.0
2900992,4786.0
2920448,5332.0
2940928,5074.0
2960384,3818.0
2980864,4426.0
3000320,4624.0
3020800,4780.0
3040256,5214.0
3060736,4740.0
3080192,5234.0
3100672,5044.0
3120128,5194.0
3140608,5734.0
3160064,5702.0
3180544,5080.0
3200000,6166.0
3220480,5482.0
3240960,5564.0
3260416,5740.0
3280896,6200.0
3300352,5720.0
3320832,4910.0
3340288,5176.0
3360768,5478.0
3380224,6170.0
3400704,5716.0
3420160,5606.0
3440640,5168.0
3460096,5380.0
3480576,4800.0
3500032,5292.0
3520512,5858.0
3540992,5702.0
3560448,6372.0
3580928,5484.0
3600384,5752.0
3620864,4852.0
3640320,5358.0
3660800,5056.0
3680256,5428.0
3700736,5884.0
3720192,5120.0
3740672,6158.0
3760128,5542.0
3780608,4920.0
3800064,4628.0
3820544,5040.0
3840000,5426.0
3860480,5410.0
3880960,5782.0
3900416,6008.0
3920896,4650.0
3940352,6034.0
3960832,4462.0
3980288,6858.0
4000768,5308.0
4020224,5308.0
4040704,5432.0
4060160,5164.0
4080640,5498.0
4100096,5536.0
4120576,5190.0
4140032,5724.0
4160512,6500.0
4180992,4892.0
4200448,4776.0
4220928,4924.0
4240384,5464.0
4260864,5864.0
4280320,5044.0
4300800,6170.0
4320256,4990.0
4340736,6238.0
4360192,6208.0
4380672,5656.0
4400128,6330.0
4420608,6068.0
4440064,5508.0
4460544,5910.0
4480000,5338.0
4500480,5494.0
4520960,5900.0
4540416,5752.0
4560896,6416.0
4580352,6452.0
4600832,5550.0
4620288,7014.0
4640768,4208.0
4660224,4968.0
4680704,5380.0
4700160,5328.0
4720640,4938.0
4740096,4972.0
4760576,5922.0
4780032,5058.0
4800512,6078.0
4820992,6006.0
4840448,4930.0
4860928,5914.0
4880384,5046.0
4900864,6416.0
4920320,5798.0
4940800,5576.0
4960256,5582.0
4980736,6354.0
5000192,5452.0
