Step,Value
20480,620.0
40960,2480.0
60416,1060.0
80896,1100.0
100352,1480.0
120832,1100.0
140288,2220.0
160768,1780.0
180224,2380.0
200704,1940.0
220160,2120.0
240640,2380.0
260096,2180.0
280576,2160.0
300032,2380.0
320512,2000.0
340992,1940.0
360448,1880.0
380928,3140.0
400384,2820.0
420864,740.0
440320,1840.0
460800,2360.0
480256,2420.0
500736,3180.0
520192,2920.0
540672,3640.0
560128,3800.0
580608,3520.0
600064,2880.0
620544,2340.0
640000,3540.0
660480,3320.0
680960,4100.0
700416,5060.0
720896,5080.0
740352,4820.0
760832,4900.0
780288,6160.0
800768,7220.0
820224,7040.0
840704,7420.0
860160,8440.0
880640,10820.0
900096,11000.0
920576,8180.0
940032,11780.0
960512,13680.0
980992,11760.0
1000448,11940.0
1020928,10840.0
1040384,13720.0
1060864,11320.0
1080320,13640.0
1100800,11460.0
1120256,13920.0
1140736,13440.0
1160192,14320.0
1180672,14620.0
1200128,14840.0
1220608,13400.0
1240064,13900.0
1260544,15100.0
1280000,14540.0
1300480,15720.0
1320960,15340.0
1340416,13640.0
1360896,12880.0
1380352,12020.0
1400832,14360.0
1420288,13480.0
1440768,15640.0
1460224,15240.0
1480704,15940.0
1500160,16280.0
1520640,13620.0
1540096,14240.0
1560576,14580.0
1580032,15860.0
1600512,16780.0
1620992,15760.0
1640448,16900.0
1660928,18180.0
1680384,16480.0
1700864,17560.0
1720320,21080.0
1740800,19160.0
1760256,18440.0
1780736,16560.0
1800192,19760.0
1820672,13880.0
1840128,23840.0
1860608,20300.0
1880064,21360.0
1900544,15480.0
1920000,15420.0
1940480,20740.0
1960960,18080.0
1980416,26200.0
2000896,24700.0
2020352,23420.0
2040832,22440.0
2060288,24220.0
2080768,22020.0
2100224,22320.0
2120704,27780.0
2140160,21140.0
2160640,25900.0
2180096,20260.0
2200576,21980.0
2220032,25120.0
2240512,22340.0
2260992,23480.0
2280448,25180.0
2300928,23960.0
2320384,22860.0
2340864,25040.0
2360320,23260.0
2380800,21740.0
2400256,22500.0
2420736,22000.0
2440192,22480.0
2460672,21740.0
2480128,27840.0
2500608,31880.0
2520064,29040.0
2540544,22720.0
2560000,27860.0
2580480,24660.0
2600960,25380.0
2620416,25120.0
2640896,26820.0
2660352,25360.0
2680832,25580.0
2700288,24960.0
2720768,30680.0
2740224,30040.0
2760704,25440.0
2780160,26660.0
2800640,24460.0
2820096,25380.0
2840576,28640.0
2860032,27260.0
2880512,29160.0
2900992,25840.0
2920448,25060.0
2940928,29880.0
2960384,31120.0
2980864,26160.0
3000320,26360.0
3020800,30140.0
3040256,27300.0
3060736,29380.0
3080192,22360.0
3100672,31220.0
3120128,32540.0
3140608,28640.0
3160064,32800.0
3180544,24860.0
3200000,27960.0
3220480,30780.0
3240960,34300.0
3260416,29540.0
3280896,33620.0
3300352,28200.0
3320832,31100.0
3340288,26060.0
3360768,27060.0
3380224,31560.0
3400704,32000.0
3420160,31560.0
3440640,29960.0
3460096,31280.0
3480576,32140.0
3500032,27940.0
3520512,29240.0
3540992,25360.0
3560448,27100.0
3580928,31280.0
3600384,34340.0
3620864,28440.0
3640320,31420.0
3660800,28200.0
3680256,26760.0
3700736,27700.0
3720192,33700.0
3740672,29920.0
3760128,30980.0
3780608,34120.0
3800064,30480.0
3820544,29300.0
3840000,27420.0
3860480,31320.0
3880960,28240.0
3900416,33900.0
3920896,27720.0
3940352,33900.0
3960832,31520.0
3980288,35740.0
4000768,34700.0
4020224,32800.0
4040704,31100.0
4060160,28620.0
4080640,37300.0
4100096,33940.0
4120576,34260.0
4140032,30120.0
4160512,29940.0
4180992,36680.0
4200448,32680.0
4220928,33420.0
4240384,32760.0
4260864,39060.0
4280320,32740.0
4300800,29640.0
4320256,28480.0
4340736,31840.0
4360192,32620.0
4380672,32780.0
4400128,39820.0
4420608,29580.0
4440064,31560.0
4460544,38440.0
4480000,37680.0
4500480,28420.0
4520960,33020.0
4540416,36920.0
4560896,33800.0
4580352,34660.0
4600832,31360.0
4620288,37200.0
4640768,33540.0
4660224,24660.0
4680704,35540.0
4700160,31100.0
4720640,38640.0
4740096,35120.0
4760576,32320.0
4780032,33100.0
4800512,37780.0
4820992,38020.0
4840448,41300.0
4860928,32080.0
4880384,38000.0
4900864,39480.0
4920320,35280.0
4940800,37640.0
4960256,35080.0
4980736,39000.0
5000192,38640.0
