Step,Value
20480,144.0
40960,144.0
60416,144.0
80896,144.0
100352,144.0
120832,144.0
140288,144.0
160768,144.0
180224,144.0
200704,144.0
220160,144.0
240640,144.0
260096,144.0
280576,144.0
300032,144.0
320512,144.0
340992,144.0
360448,144.0
380928,144.0
400384,144.0
420864,144.0
440320,144.0
460800,144.0
480256,144.0
500736,144.0
520192,144.0
540672,144.0
560128,144.0
580608,144.0
600064,144.0
620544,144.0
640000,144.0
660480,144.0
680960,144.0
700416,144.0
720896,144.0
740352,144.0
760832,144.0
780288,144.0
800768,144.0
820224,144.0
840704,144.0
860160,144.0
880640,144.0
900096,144.0
920576,144.0
940032,144.0
960512,144.0
980992,144.0
1000448,144.0
1020928,144.0
1040384,144.0
1060864,144.0
1080320,144.0
1100800,144.0
1120256,144.0
1140736,144.0
1160192,144.0
1180672,144.0
1200128,144.0
1220608,144.0
1240064,144.0
1260544,144.0
1280000,144.0
1300480,144.0
1320960,144.0
1340416,144.0
1360896,144.0
1380352,144.0
1400832,144.0
1420288,144.0
1440768,144.0
1460224,144.0
1480704,144.0
1500160,144.0
1520640,144.0
1540096,144.0
1560576,144.0
1580032,144.0
1600512,144.0
1620992,144.0
1640448,144.0
1660928,144.0
1680384,144.0
1700864,144.0
1720320,144.0
1740800,144.0
1760256,144.0
1780736,144.0
1800192,144.0
1820672,144.0
1840128,144.0
1860608,144.0
1880064,144.0
1900544,144.0
1920000,144.0
1940480,144.0
1960960,144.0
1980416,144.0
2000896,144.0
2020352,144.0
2040832,144.0
2060288,144.0
2080768,144.0
2100224,144.0
2120704,144.0
2140160,144.0
2160640,144.0
2180096,144.0
2200576,144.0
2220032,144.0
2240512,144.0
2260992,144.0
2280448,144.0
2300928,144.0
2320384,144.0
2340864,144.0
2360320,144.0
2380800,144.0
2400256,144.0
2420736,144.0
2440192,144.0
2460672,144.0
2480128,144.0
2500608,144.0
2520064,144.0
2540544,144.0
2560000,144.0
2580480,144.0
2600960,144.0
2620416,144.0
2640896,144.0
2660352,144.0
2680832,144.0
2700288,144.0
2720768,144.0
2740224,144.0
2760704,144.0
2780160,144.0
2800640,144.0
2820096,144.0
2840576,144.0
2860032,144.0
2880512,144.0
2900992,144.0
2920448,144.0
2940928,144.0
2960384,144.0
2980864,144.0
3000320,144.0
3020800,144.0
3040256,144.0
3060736,144.0
3080192,144.0
3100672,144.0
3120128,144.0
3140608,144.0
3160064,144.0
3180544,144.0
3200000,144.0
3220480,144.0
3240960,144.0
3260416,144.0
3280896,144.0
3300352,144.0
3320832,144.0
3340288,144.0
3360768,144.0
3380224,144.0
3400704,144.0
3420160,144.0
3440640,144.0
3460096,144.0
3480576,144.0
3500032,144.0
3520512,144.0
3540992,144.0
3560448,144.0
3580928,144.0
3600384,144.0
3620864,144.0
