Step,Value
20480,268.0
40960,448.0
60416,440.0
80896,352.0
100352,464.0
120832,372.0
140288,436.0
160768,408.0
180224,484.0
200704,508.0
220160,508.0
240640,408.0
260096,536.0
280576,500.0
300032,436.0
320512,392.0
340992,544.0
360448,560.0
380928,664.0
400384,636.0
420864,592.0
440320,704.0
460800,680.0
480256,760.0
500736,728.0
520192,768.0
540672,744.0
560128,772.0
580608,736.0
600064,768.0
620544,756.0
640000,768.0
660480,772.0
680960,756.0
700416,772.0
720896,780.0
740352,796.0
760832,700.0
780288,804.0
800768,788.0
820224,820.0
840704,812.0
860160,844.0
880640,852.0
900096,844.0
920576,832.0
940032,836.0
960512,824.0
980992,852.0
1000448,792.0
1020928,856.0
1040384,864.0
1060864,844.0
1080320,876.0
1100800,872.0
1120256,860.0
1140736,832.0
1160192,876.0
1180672,876.0
1200128,872.0
1220608,868.0
1240064,864.0
1260544,852.0
1280000,868.0
1300480,848.0
1320960,872.0
1340416,876.0
1360896,864.0
1380352,880.0
1400832,880.0
1420288,880.0
1440768,880.0
1460224,884.0
1480704,872.0
1500160,884.0
1520640,880.0
1540096,884.0
1560576,872.0
1580032,888.0
1600512,884.0
1620992,888.0
1640448,876.0
1660928,884.0
1680384,860.0
1700864,880.0
1720320,880.0
1740800,888.0
1760256,904.0
1780736,892.0
1800192,900.0
1820672,856.0
1840128,896.0
1860608,856.0
1880064,856.0
1900544,888.0
1920000,884.0
1940480,932.0
1960960,888.0
1980416,892.0
2000896,896.0
2020352,884.0
2040832,888.0
2060288,880.0
2080768,892.0
2100224,872.0
2120704,884.0
2140160,884.0
2160640,888.0
2180096,884.0
2200576,852.0
2220032,896.0
2240512,884.0
2260992,868.0
2280448,892.0
2300928,852.0
2320384,900.0
2340864,884.0
2360320,888.0
2380800,896.0
2400256,888.0
2420736,904.0
2440192,888.0
2460672,888.0
2480128,888.0
2500608,904.0
2520064,896.0
2540544,884.0
2560000,900.0
2580480,900.0
2600960,908.0
2620416,888.0
2640896,904.0
2660352,896.0
2680832,892.0
2700288,900.0
2720768,904.0
2740224,900.0
2760704,892.0
2780160,904.0
2800640,912.0
2820096,904.0
2840576,896.0
2860032,892.0
2880512,908.0
2900992,872.0
2920448,900.0
2940928,884.0
2960384,900.0
2980864,908.0
3000320,900.0
3020800,896.0
3040256,896.0
3060736,888.0
3080192,904.0
3100672,892.0
3120128,912.0
3140608,900.0
3160064,900.0
3180544,896.0
3200000,892.0
3220480,888.0
3240960,896.0
3260416,900.0
3280896,896.0
3300352,896.0
3320832,900.0
3340288,888.0
3360768,900.0
3380224,900.0
3400704,904.0
3420160,888.0
3440640,888.0
3460096,900.0
3480576,896.0
3500032,888.0
3520512,896.0
3540992,900.0
3560448,904.0
3580928,892.0
3600384,904.0
3620864,900.0
3640320,904.0
3660800,908.0
3680256,896.0
3700736,908.0
3720192,904.0
3740672,892.0
3760128,896.0
3780608,904.0
3800064,900.0
3820544,908.0
3840000,908.0
3860480,904.0
3880960,908.0
3900416,904.0
3920896,908.0
3940352,920.0
3960832,900.0
3980288,908.0
4000768,900.0
4020224,900.0
4040704,912.0
4060160,900.0
4080640,924.0
4100096,908.0
4120576,900.0
4140032,920.0
4160512,916.0
4180992,908.0
4200448,904.0
4220928,904.0
4240384,900.0
4260864,912.0
4280320,900.0
4300800,924.0
4320256,924.0
4340736,912.0
4360192,908.0
4380672,904.0
4400128,916.0
4420608,888.0
4440064,924.0
4460544,904.0
4480000,888.0
4500480,908.0
4520960,908.0
4540416,916.0
4560896,920.0
4580352,912.0
4600832,928.0
4620288,916.0
4640768,916.0
4660224,924.0
4680704,924.0
4700160,904.0
4720640,892.0
4740096,920.0
4760576,908.0
4780032,908.0
4800512,924.0
4820992,920.0
4840448,920.0
4860928,920.0
4880384,928.0
4900864,924.0
4920320,920.0
4940800,912.0
4960256,928.0
4980736,928.0
5000192,928.0
