Step,Value
20480,278.0
40960,240.0
60416,218.0
80896,209.0
100352,234.0
120832,219.0
140288,305.0
160768,210.0
180224,280.0
200704,336.0
220160,278.0
240640,262.0
260096,327.0
280576,222.0
300032,321.0
320512,214.0
340992,194.0
360448,150.0
380928,256.0
400384,236.0
420864,272.0
440320,283.0
460800,415.0
480256,269.0
500736,217.0
520192,387.0
540672,286.0
560128,240.0
580608,270.0
600064,346.0
620544,267.0
640000,231.0
660480,351.0
680960,428.0
700416,311.0
720896,452.0
740352,372.0
760832,248.0
780288,421.0
800768,284.0
820224,347.0
840704,397.0
860160,464.0
880640,394.0
900096,509.0
920576,379.0
940032,402.0
960512,379.0
980992,482.0
1000448,450.0
1020928,335.0
1040384,178.0
1060864,308.0
1080320,432.0
1100800,405.0
1120256,440.0
1140736,336.0
1160192,496.0
1180672,462.0
1200128,443.0
1220608,434.0
1240064,466.0
1260544,424.0
1280000,456.0
1300480,542.0
1320960,394.0
1340416,497.0
1360896,506.0
1380352,792.0
1400832,533.0
1420288,498.0
1440768,433.0
1460224,514.0
1480704,464.0
1500160,654.0
1520640,741.0
1540096,474.0
1560576,371.0
1580032,301.0
1600512,548.0
1620992,634.0
1640448,527.0
1660928,505.0
1680384,637.0
1700864,761.0
1720320,666.0
1740800,742.0
1760256,595.0
1780736,620.0
1800192,627.0
1820672,685.0
1840128,646.0
1860608,790.0
1880064,1169.0
1900544,835.0
1920000,519.0
1940480,799.0
1960960,589.0
1980416,889.0
2000896,752.0
2020352,822.0
2040832,694.0
2060288,745.0
2080768,542.0
2100224,641.0
2120704,683.0
2140160,551.0
2160640,669.0
2180096,908.0
2200576,790.0
2220032,564.0
2240512,793.0
2260992,1053.0
2280448,1118.0
2300928,606.0
2320384,867.0
2340864,852.0
2360320,866.0
2380800,659.0
2400256,892.0
2420736,775.0
2440192,984.0
2460672,940.0
2480128,876.0
2500608,683.0
2520064,829.0
2540544,642.0
2560000,645.0
2580480,822.0
2600960,838.0
2620416,876.0
2640896,518.0
2660352,691.0
2680832,607.0
2700288,667.0
2720768,895.0
2740224,636.0
2760704,628.0
2780160,820.0
2800640,613.0
2820096,825.0
2840576,703.0
2860032,771.0
2880512,663.0
2900992,622.0
2920448,1165.0
2940928,841.0
2960384,726.0
2980864,818.0
3000320,859.0
3020800,746.0
3040256,597.0
3060736,917.0
3080192,658.0
3100672,621.0
3120128,1139.0
3140608,1278.0
3160064,736.0
3180544,1074.0
3200000,729.0
3220480,860.0
3240960,941.0
3260416,688.0
3280896,986.0
3300352,628.0
3320832,633.0
3340288,612.0
3360768,919.0
3380224,900.0
3400704,664.0
3420160,707.0
3440640,603.0
3460096,996.0
3480576,603.0
3500032,608.0
3520512,777.0
3540992,970.0
3560448,809.0
3580928,727.0
3600384,750.0
3620864,696.0
3640320,907.0
3660800,544.0
3680256,673.0
3700736,963.0
3720192,1053.0
3740672,865.0
3760128,657.0
3780608,662.0
3800064,1148.0
3820544,750.0
3840000,756.0
3860480,1056.0
3880960,824.0
3900416,865.0
3920896,987.0
3940352,1318.0
3960832,667.0
3980288,928.0
4000768,1272.0
4020224,962.0
4040704,680.0
4060160,611.0
4080640,866.0
4100096,1120.0
4120576,839.0
4140032,1044.0
4160512,728.0
4180992,684.0
4200448,872.0
4220928,1070.0
4240384,1098.0
4260864,824.0
4280320,810.0
4300800,818.0
4320256,802.0
4340736,1191.0
4360192,689.0
4380672,1053.0
4400128,1069.0
4420608,581.0
4440064,995.0
4460544,614.0
4480000,736.0
4500480,970.0
4520960,778.0
4540416,656.0
4560896,830.0
4580352,650.0
4600832,859.0
4620288,620.0
4640768,834.0
4660224,941.0
4680704,786.0
4700160,994.0
4720640,575.0
4740096,1053.0
4760576,942.0
4780032,1185.0
4800512,772.0
4820992,810.0
4840448,743.0
4860928,729.0
4880384,675.0
4900864,872.0
4920320,846.0
4940800,780.0
4960256,656.0
4980736,638.0
5000192,700.0
