Step,Value
20480,400.0
40960,520.0
60416,620.0
80896,640.0
100352,1000.0
120832,1440.0
140288,1000.0
160768,820.0
180224,1260.0
200704,960.0
220160,1120.0
240640,1140.0
260096,1460.0
280576,1080.0
300032,1240.0
320512,1560.0
340992,1120.0
360448,1900.0
380928,1180.0
400384,1440.0
420864,1580.0
440320,1420.0
460800,2340.0
480256,1320.0
500736,1520.0
520192,1420.0
540672,1420.0
560128,1680.0
580608,1060.0
600064,2680.0
620544,1600.0
640000,1700.0
660480,1680.0
680960,1920.0
700416,1920.0
720896,1760.0
740352,1720.0
760832,1500.0
780288,2700.0
800768,2220.0
820224,1320.0
840704,2000.0
860160,1740.0
880640,2680.0
900096,2660.0
920576,1820.0
940032,1980.0
960512,2480.0
980992,2080.0
1000448,1940.0
1020928,2320.0
1040384,1720.0
1060864,2200.0
1080320,1860.0
1100800,2120.0
1120256,2100.0
1140736,2220.0
1160192,1620.0
1180672,2100.0
1200128,2360.0
1220608,2080.0
1240064,2340.0
1260544,1920.0
1280000,2220.0
1300480,2220.0
1320960,3140.0
1340416,3060.0
1360896,2140.0
1380352,2260.0
1400832,2920.0
1420288,2560.0
1440768,1900.0
1460224,3140.0
1480704,2280.0
1500160,3100.0
1520640,3300.0
1540096,2400.0
1560576,2840.0
1580032,2580.0
1600512,2400.0
1620992,2420.0
1640448,3120.0
1660928,2880.0
1680384,2620.0
1700864,3380.0
1720320,3140.0
1740800,2200.0
1760256,3340.0
1780736,2680.0
1800192,3480.0
1820672,3480.0
1840128,2580.0
1860608,3380.0
1880064,2120.0
1900544,2820.0
1920000,4160.0
1940480,4120.0
1960960,3240.0
1980416,3220.0
2000896,3520.0
2020352,2960.0
2040832,3020.0
2060288,3300.0
2080768,2800.0
2100224,3120.0
2120704,2980.0
2140160,3340.0
2160640,3040.0
2180096,4020.0
2200576,2040.0
2220032,3140.0
2240512,3760.0
2260992,4080.0
2280448,3580.0
2300928,2860.0
2320384,2680.0
2340864,3260.0
2360320,3260.0
2380800,4780.0
2400256,4000.0
2420736,3280.0
2440192,3560.0
2460672,5020.0
2480128,3240.0
2500608,2600.0
2520064,4440.0
2540544,3420.0
2560000,3860.0
2580480,4420.0
2600960,4160.0
2620416,3420.0
2640896,3440.0
2660352,5880.0
2680832,3960.0
2700288,4340.0
2720768,3140.0
2740224,4960.0
2760704,4380.0
2780160,4480.0
2800640,5220.0
2820096,5340.0
2840576,4360.0
2860032,7440.0
2880512,4800.0
2900992,4020.0
2920448,5860.0
2940928,3580.0
2960384,6020.0
2980864,4320.0
3000320,4420.0
3020800,5200.0
3040256,5880.0
3060736,5360.0
3080192,3800.0
3100672,8520.0
3120128,6780.0
3140608,5920.0
3160064,10540.0
3180544,7060.0
3200000,6480.0
3220480,9800.0
3240960,7680.0
3260416,8460.0
3280896,7520.0
3300352,9620.0
3320832,6300.0
3340288,6620.0
3360768,9800.0
3380224,8140.0
3400704,5280.0
3420160,8160.0
3440640,8740.0
3460096,10540.0
3480576,6120.0
3500032,9040.0
3520512,6380.0
3540992,10600.0
3560448,9740.0
3580928,7920.0
3600384,5620.0
3620864,9360.0
3640320,11720.0
3660800,12400.0
3680256,6400.0
3700736,8340.0
3720192,10100.0
3740672,11460.0
3760128,10700.0
3780608,7220.0
3800064,9100.0
3820544,12420.0
3840000,5420.0
3860480,14760.0
3880960,11800.0
3900416,10600.0
3920896,9600.0
3940352,14280.0
3960832,11260.0
3980288,7940.0
4000768,8220.0
4020224,9040.0
4040704,10400.0
4060160,6860.0
4080640,11300.0
4100096,7220.0
4120576,7040.0
4140032,10400.0
4160512,9900.0
4180992,10660.0
4200448,11560.0
4220928,8460.0
4240384,8100.0
4260864,5440.0
4280320,11220.0
4300800,8280.0
4320256,10300.0
4340736,9900.0
4360192,8840.0
4380672,14360.0
4400128,6420.0
4420608,7500.0
4440064,11500.0
4460544,11400.0
4480000,7280.0
4500480,14140.0
4520960,9000.0
4540416,12020.0
4560896,10620.0
4580352,8400.0
4600832,13140.0
4620288,10960.0
4640768,13460.0
4660224,11060.0
4680704,14160.0
4700160,10040.0
4720640,7560.0
4740096,15320.0
4760576,7520.0
4780032,11480.0
4800512,12360.0
4820992,7960.0
4840448,10420.0
4860928,7240.0
4880384,8440.0
4900864,14800.0
4920320,8840.0
4940800,11360.0
4960256,9420.0
4980736,12500.0
5000192,7860.0
