Step,Value
24576,-23.799999237060547
40960,-23.399999618530273
65536,-24.0
81920,-24.0
106496,-23.799999237060547
122880,-23.799999237060547
147456,-23.600000381469727
163840,-23.799999237060547
180224,-24.0
204800,-24.0
221184,-23.799999237060547
245760,-23.799999237060547
262144,-24.0
286720,-23.799999237060547
303104,-23.799999237060547
319488,-24.0
344064,-22.600000381469727
360448,-22.200000762939453
385024,-18.200000762939453
401408,-19.200000762939453
425984,-23.399999618530273
442368,-21.200000762939453
466944,-21.200000762939453
483328,-21.399999618530273
499712,-21.200000762939453
524288,-19.600000381469727
540672,-23.600000381469727
565248,-24.0
581632,-24.0
606208,-23.600000381469727
622592,-24.0
638976,-19.200000762939453
663552,-21.0
679936,-23.600000381469727
704512,-20.600000381469727
720896,-23.799999237060547
745472,-23.600000381469727
761856,-17.0
786432,-23.799999237060547
802816,-19.600000381469727
819200,-17.799999237060547
843776,-17.799999237060547
860160,-22.799999237060547
884736,-23.200000762939453
901120,-23.399999618530273
925696,-21.0
942080,-22.200000762939453
958464,-19.399999618530273
983040,-16.399999618530273
999424,-23.600000381469727
1024000,-17.399999618530273
1040384,-23.0
1064960,-21.799999237060547
1081344,-22.399999618530273
1105920,-17.399999618530273
1122304,-23.200000762939453
1138688,-18.0
1163264,-23.200000762939453
1179648,-16.200000762939453
1204224,-19.200000762939453
1220608,-8.0
1245184,-14.0
1261568,-23.0
1277952,-16.200000762939453
1302528,-13.199999809265137
1318912,-13.399999618530273
1343488,-19.0
1359872,-11.399999618530273
1384448,-19.0
1400832,-18.200000762939453
1425408,-17.799999237060547
1441792,-18.799999237060547
1458176,-14.600000381469727
1482752,-18.399999618530273
1499136,-21.0
1523712,-22.399999618530273
1540096,-17.799999237060547
1564672,-14.0
1581056,-10.800000190734863
1597440,-18.600000381469727
1622016,-9.0
1638400,-18.0
1662976,-19.600000381469727
1679360,-22.0
1703936,-22.799999237060547
1720320,-18.600000381469727
1744896,-23.0
1761280,-21.799999237060547
1777664,-19.799999237060547
1802240,-17.399999618530273
1818624,-18.0
1843200,-17.600000381469727
1859584,-18.0
1884160,-22.399999618530273
1900544,-22.799999237060547
1916928,-22.799999237060547
1941504,-22.0
1957888,-22.600000381469727
1982464,-18.0
1998848,-21.399999618530273
2023424,-17.0
2039808,-21.399999618530273
2064384,-21.200000762939453
2080768,-18.399999618530273
2097152,-18.799999237060547
2121728,-23.600000381469727
2138112,-17.0
2162688,-12.800000190734863
2179072,-18.799999237060547
2203648,-17.600000381469727
2220032,-18.799999237060547
2236416,-20.600000381469727
2260992,-19.799999237060547
2277376,-18.399999618530273
2301952,-22.799999237060547
2318336,-18.0
2342912,-22.600000381469727
2359296,-22.200000762939453
2383872,-23.600000381469727
2400256,-19.399999618530273
2416640,-23.200000762939453
2441216,-24.0
2457600,-23.799999237060547
2482176,-20.799999237060547
2498560,-22.600000381469727
2523136,-23.799999237060547
2539520,-24.0
2555904,-23.600000381469727
