Step,Value
20480,2920.0
40960,3600.0
60416,3680.0
80896,3040.0
100352,3780.0
120832,3500.0
140288,2980.0
160768,2120.0
180224,2900.0
200704,3020.0
220160,4080.0
240640,2360.0
260096,2660.0
280576,2860.0
300032,2800.0
320512,1460.0
340992,1640.0
360448,3620.0
380928,3600.0
400384,2240.0
420864,4460.0
440320,2760.0
460800,4340.0
480256,2960.0
500736,2860.0
520192,4920.0
540672,3040.0
560128,2860.0
580608,2180.0
600064,2900.0
620544,1400.0
640000,3480.0
660480,4900.0
680960,4440.0
700416,3660.0
720896,4260.0
740352,3780.0
760832,3660.0
780288,3600.0
800768,5860.0
820224,3000.0
840704,2800.0
860160,4600.0
880640,4220.0
900096,2940.0
920576,4320.0
940032,4360.0
960512,4400.0
980992,3740.0
1000448,2720.0
1020928,3800.0
1040384,2820.0
1060864,2880.0
1080320,2840.0
1100800,3560.0
1120256,2900.0
1140736,2800.0
1160192,3780.0
1180672,3540.0
1200128,3540.0
1220608,2520.0
1240064,5120.0
1260544,2920.0
1280000,3520.0
1300480,3500.0
1320960,2080.0
1340416,3880.0
1360896,3520.0
1380352,4240.0
1400832,3620.0
1420288,4320.0
1440768,2360.0
1460224,3540.0
1480704,2620.0
1500160,4520.0
1520640,2900.0
1540096,3380.0
1560576,3620.0
1580032,2680.0
1600512,4340.0
1620992,2240.0
1640448,3540.0
1660928,4920.0
1680384,4280.0
1700864,3580.0
1720320,4260.0
1740800,4360.0
1760256,2920.0
1780736,5160.0
1800192,3580.0
1820672,4120.0
1840128,2920.0
1860608,3400.0
1880064,4380.0
1900544,3160.0
1920000,2960.0
1940480,3000.0
1960960,2980.0
1980416,4460.0
2000896,4200.0
2020352,2180.0
2040832,4060.0
2060288,3000.0
2080768,3540.0
2100224,4440.0
2120704,5100.0
2140160,5040.0
2160640,2140.0
2180096,3500.0
2200576,2360.0
2220032,2080.0
2240512,3580.0
2260992,3520.0
2280448,3800.0
2300928,5140.0
2320384,3620.0
2340864,4420.0
2360320,3620.0
2380800,3580.0
2400256,3540.0
2420736,2980.0
2440192,1560.0
2460672,3700.0
2480128,3660.0
2500608,3060.0
2520064,3700.0
2540544,3560.0
2560000,5080.0
2580480,3640.0
2600960,3760.0
2620416,2720.0
2640896,3560.0
2660352,3580.0
2680832,2900.0
2700288,4440.0
2720768,4200.0
2740224,3540.0
2760704,3580.0
2780160,2860.0
2800640,3540.0
2820096,4860.0
2840576,4440.0
2860032,2940.0
2880512,4500.0
2900992,4220.0
2920448,2880.0
2940928,4020.0
2960384,3660.0
2980864,3720.0
3000320,5740.0
3020800,4160.0
3040256,3540.0
3060736,4140.0
3080192,2780.0
3100672,4140.0
3120128,3760.0
3140608,3640.0
3160064,4280.0
3180544,4320.0
3200000,4100.0
3220480,3400.0
3240960,2860.0
3260416,2200.0
3280896,2880.0
3300352,2860.0
3320832,3660.0
3340288,4240.0
3360768,4420.0
3380224,4920.0
3400704,2880.0
3420160,3480.0
3440640,4880.0
3460096,5200.0
3480576,3460.0
3500032,4980.0
3520512,4420.0
3540992,4080.0
3560448,4120.0
3580928,3480.0
3600384,5080.0
3620864,5580.0
3640320,4280.0
3660800,4920.0
3680256,3900.0
3700736,5140.0
3720192,3520.0
3740672,2960.0
3760128,2960.0
3780608,3620.0
3800064,5180.0
3820544,5160.0
3840000,3540.0
3860480,5060.0
3880960,4400.0
3900416,4460.0
3920896,3520.0
3940352,4980.0
3960832,3600.0
3980288,2780.0
4000768,3640.0
4020224,2820.0
4040704,4200.0
4060160,5920.0
4080640,7220.0
4100096,3600.0
4120576,2980.0
4140032,4220.0
4160512,3540.0
4180992,3540.0
4200448,3640.0
4220928,3700.0
4240384,2400.0
4260864,2920.0
4280320,4300.0
4300800,4220.0
4320256,3660.0
4340736,3580.0
4360192,5000.0
4380672,3660.0
4400128,5140.0
4420608,3500.0
4440064,4360.0
4460544,4240.0
4480000,4700.0
4500480,1420.0
4520960,2980.0
4540416,4440.0
4560896,4860.0
4580352,4940.0
4600832,4160.0
4620288,4300.0
4640768,4260.0
4660224,3020.0
4680704,2440.0
4700160,3700.0
4720640,4160.0
4740096,4160.0
4760576,4220.0
4780032,6580.0
4800512,3780.0
4820992,5940.0
4840448,4340.0
4860928,5740.0
4880384,4200.0
4900864,3780.0
4920320,2240.0
4940800,4300.0
4960256,2920.0
4980736,5680.0
5000192,3040.0
