Step,Value
20480,1020.0
40960,1540.0
60416,906.0
80896,1578.0
100352,860.0
120832,1496.0
140288,2614.0
160768,1162.0
180224,1624.0
200704,2214.0
220160,2278.0
240640,1660.0
260096,1296.0
280576,1618.0
300032,2656.0
320512,2668.0
340992,2036.0
360448,3008.0
380928,2530.0
400384,1768.0
420864,1926.0
440320,3480.0
460800,2054.0
480256,2842.0
500736,1906.0
520192,2348.0
540672,2488.0
560128,2364.0
580608,2978.0
600064,2082.0
620544,3780.0
640000,1870.0
660480,3262.0
680960,4606.0
700416,3890.0
720896,2950.0
740352,3552.0
760832,3674.0
780288,2416.0
800768,2312.0
820224,3104.0
840704,4626.0
860160,1892.0
880640,3414.0
900096,3456.0
920576,1854.0
940032,3196.0
960512,1774.0
980992,3382.0
1000448,2670.0
1020928,2050.0
1040384,1852.0
1060864,2482.0
1080320,2122.0
1100800,2560.0
1120256,3318.0
1140736,3614.0
1160192,3328.0
1180672,1830.0
1200128,2952.0
1220608,5400.0
1240064,3932.0
1260544,7486.0
1280000,4568.0
1300480,10664.0
1320960,9046.0
1340416,14256.0
1360896,33376.0
1380352,19524.0
1400832,19030.0
1420288,19912.0
1440768,62288.0
1460224,44230.0
1480704,33496.0
1500160,47550.0
1520640,29842.0
1540096,31046.0
1560576,28146.0
1580032,16110.0
1600512,29298.0
1620992,96890.0
1640448,84674.0
1660928,68570.0
1680384,60804.0
1700864,52054.0
1720320,65826.0
1740800,70900.0
1760256,71016.0
1780736,74312.0
1800192,57554.0
1820672,59518.0
1840128,64134.0
1860608,48692.0
1880064,60326.0
1900544,29920.0
1920000,58920.0
1940480,43802.0
1960960,32026.0
1980416,26982.0
2000896,55828.0
2020352,41178.0
2040832,25026.0
2060288,64232.0
2080768,48932.0
2100224,44722.0
2120704,15654.0
2140160,57116.0
2160640,43882.0
2180096,38086.0
2200576,56512.0
2220032,134618.0
2240512,108866.0
2260992,137316.0
2280448,179754.0
2300928,179210.0
2320384,135420.0
2340864,91748.0
2360320,67750.0
2380800,95676.0
2400256,72706.0
2420736,138552.0
2440192,114970.0
2460672,127722.0
2480128,88362.0
2500608,114582.0
2520064,76352.0
2540544,49934.0
2560000,91380.0
2580480,95336.0
2600960,75258.0
2620416,91470.0
2640896,44386.0
2660352,42682.0
2680832,97044.0
2700288,131728.0
2720768,121994.0
2740224,120556.0
2760704,126948.0
2780160,33662.0
2800640,113028.0
2820096,124428.0
2840576,58122.0
2860032,91590.0
2880512,20752.0
2900992,44214.0
2920448,78366.0
2940928,63450.0
2960384,55148.0
2980864,54540.0
3000320,43928.0
3020800,80552.0
3040256,33848.0
3060736,36262.0
3080192,60814.0
3100672,65714.0
3120128,48352.0
3140608,46044.0
3160064,79406.0
3180544,51246.0
3200000,39554.0
3220480,57770.0
3240960,21490.0
3260416,31926.0
3280896,25780.0
3300352,38040.0
3320832,64460.0
3340288,55260.0
3360768,66914.0
3380224,61096.0
3400704,59754.0
3420160,82848.0
3440640,56254.0
3460096,87208.0
3480576,51466.0
3500032,45544.0
3520512,76586.0
3540992,42082.0
3560448,48010.0
3580928,57410.0
3600384,48876.0
3620864,102256.0
3640320,51084.0
3660800,50402.0
3680256,53874.0
3700736,101964.0
3720192,65446.0
3740672,69382.0
3760128,91554.0
3780608,66902.0
3800064,94408.0
3820544,118930.0
3840000,69970.0
3860480,85096.0
3880960,84276.0
3900416,89042.0
3920896,77162.0
3940352,71062.0
3960832,88838.0
3980288,104674.0
4000768,106352.0
4020224,52914.0
4040704,53160.0
4060160,89536.0
4080640,53962.0
4100096,49070.0
4120576,65576.0
4140032,54688.0
4160512,82200.0
4180992,39500.0
4200448,66352.0
4220928,37512.0
4240384,64254.0
4260864,36234.0
4280320,42702.0
4300800,43614.0
4320256,49584.0
4340736,50938.0
4360192,67712.0
4380672,31682.0
4400128,32140.0
4420608,26036.0
4440064,37974.0
4460544,52000.0
4480000,43900.0
4500480,48268.0
4520960,53648.0
4540416,27330.0
4560896,41468.0
4580352,41090.0
4600832,19828.0
4620288,42370.0
4640768,30408.0
4660224,42562.0
4680704,32898.0
4700160,33958.0
4720640,31204.0
4740096,29444.0
4760576,37202.0
4780032,26428.0
4800512,30910.0
4820992,41600.0
4840448,32888.0
4860928,28646.0
4880384,37196.0
4900864,32104.0
4920320,27142.0
4940800,28076.0
4960256,41380.0
4980736,43734.0
5000192,25140.0
