Step,Value
20480,29371.0
40960,37553.3984375
60416,23707.0
80896,23819.599609375
100352,31157.599609375
120832,47154.0
140288,21971.0
160768,22072.0
180224,62732.6015625
200704,52272.19921875
220160,26357.599609375
240640,20850.19921875
260096,29700.19921875
280576,22062.0
300032,11253.2001953125
320512,23121.80078125
340992,56636.3984375
360448,31588.19921875
380928,24661.400390625
400384,20176.80078125
420864,24341.599609375
440320,21575.599609375
460800,23975.80078125
480256,34813.0
500736,60158.80078125
520192,40325.3984375
540672,29840.0
560128,13306.599609375
580608,29887.80078125
600064,21058.80078125
620544,19423.80078125
640000,22550.400390625
660480,32108.80078125
680960,46620.6015625
700416,32841.6015625
720896,26000.599609375
740352,17222.80078125
760832,21393.0
780288,19161.400390625
800768,16452.599609375
820224,26693.599609375
840704,38913.80078125
860160,20358.0
880640,35892.19921875
900096,28635.0
920576,35270.0
940032,45367.19921875
960512,15234.2001953125
980992,26593.0
1000448,27920.400390625
1020928,25776.599609375
1040384,34561.3984375
1060864,16071.2001953125
1080320,17406.80078125
1100800,21098.19921875
1120256,23267.80078125
1140736,35765.3984375
1160192,17304.19921875
1180672,10462.0
1200128,22115.19921875
1220608,28575.80078125
1240064,23517.19921875
1260544,64217.0
1280000,24817.19921875
1300480,27522.400390625
1320960,18185.0
1340416,18487.80078125
1360896,10102.599609375
1380352,24873.599609375
1400832,17273.599609375
1420288,29869.400390625
1440768,30866.19921875
1460224,24697.599609375
1480704,23412.19921875
1500160,21184.19921875
1520640,40210.0
1540096,20499.599609375
1560576,45449.3984375
1580032,21936.0
1600512,19889.80078125
1620992,26317.80078125
1640448,44670.0
1660928,29862.19921875
1680384,31392.400390625
1700864,28786.19921875
1720320,19674.599609375
1740800,17786.19921875
1760256,18901.80078125
1780736,10199.599609375
1800192,12465.7998046875
1820672,25818.80078125
1840128,16544.80078125
1860608,18265.0
1880064,29294.400390625
1900544,25673.599609375
1920000,17085.0
1940480,23913.400390625
1960960,16028.400390625
1980416,14185.7998046875
2000896,26773.19921875
2020352,10348.599609375
2040832,32818.19921875
2060288,9929.2001953125
2080768,6015.2001953125
2100224,23248.400390625
2120704,25294.19921875
2140160,13642.2001953125
2160640,26608.80078125
2180096,18413.80078125
2200576,25836.19921875
2220032,10604.0
2240512,45051.19921875
2260992,14323.0
2280448,33360.3984375
2300928,31660.400390625
2320384,12024.0
2340864,31584.19921875
2360320,22307.599609375
2380800,18249.0
2400256,27318.19921875
2420736,17334.400390625
2440192,22670.80078125
2460672,15133.2001953125
2480128,31809.0
2500608,14120.0
2520064,21408.80078125
2540544,17129.19921875
2560000,21424.400390625
2580480,29239.0
2600960,21091.80078125
2620416,18032.0
2640896,28318.400390625
2660352,29264.80078125
2680832,33418.0
2700288,12517.0
2720768,20916.0
2740224,23812.400390625
2760704,22635.0
2780160,21195.400390625
2800640,39094.3984375
2820096,40429.0
2840576,29416.0
2860032,24495.599609375
2880512,19520.0
2900992,48240.3984375
2920448,18986.80078125
2940928,44910.80078125
2960384,28498.19921875
2980864,38319.6015625
3000320,35516.0
3020800,39689.6015625
3040256,27375.80078125
3060736,19138.0
3080192,48708.19921875
3100672,26560.599609375
3120128,26874.80078125
3140608,25918.80078125
3160064,12326.2001953125
3180544,18084.400390625
3200000,20934.599609375
3220480,19520.400390625
3240960,10737.599609375
3260416,28198.80078125
3280896,17970.400390625
3300352,48567.3984375
3320832,24341.599609375
3340288,36701.19921875
3360768,23903.80078125
3380224,23159.80078125
3400704,13524.400390625
3420160,12979.400390625
3440640,16086.599609375
3460096,16090.0
3480576,18726.400390625
3500032,29136.599609375
3520512,12510.599609375
3540992,29580.400390625
3560448,31754.400390625
3580928,29501.19921875
3600384,20196.80078125
3620864,26149.599609375
3640320,18947.400390625
3660800,25721.400390625
3680256,26231.0
3700736,34537.3984375
3720192,20112.400390625
3740672,19730.400390625
3760128,23300.80078125
3780608,29769.80078125
3800064,28748.80078125
3820544,38402.80078125
3840000,21785.400390625
3860480,19153.599609375
3880960,38157.6015625
3900416,56550.0
3920896,15981.400390625
3940352,14564.7998046875
3960832,24517.80078125
3980288,46649.80078125
4000768,16731.80078125
4020224,34912.6015625
4040704,27461.400390625
4060160,27875.80078125
4080640,21231.19921875
4100096,23559.0
4120576,30401.80078125
4140032,37168.19921875
4160512,31445.80078125
4180992,38744.80078125
4200448,18707.80078125
4220928,15186.599609375
4240384,46286.0
4260864,24009.80078125
4280320,18890.80078125
4300800,37174.6015625
4320256,58766.0
4340736,25399.19921875
4360192,30538.0
4380672,18970.599609375
4400128,19434.19921875
4420608,15877.400390625
4440064,32780.0
4460544,40392.80078125
4480000,18969.80078125
4500480,26198.400390625
4520960,24694.0
4540416,38542.0
4560896,7751.0
4580352,20755.599609375
4600832,24755.19921875
4620288,9983.400390625
4640768,20790.599609375
4660224,47496.0
4680704,53234.0
4700160,22528.80078125
4720640,18632.80078125
4740096,27429.0
4760576,20502.400390625
4780032,17441.599609375
4800512,28669.80078125
4820992,45645.19921875
4840448,22790.0
4860928,50469.19921875
4880384,27473.80078125
4900864,48223.0
4920320,32139.80078125
4940800,69129.0
4960256,43322.6015625
4980736,37012.80078125
5000192,33722.6015625
