Step,Value
20480,660.0
40960,560.0
60416,1840.0
80896,660.0
100352,800.0
120832,720.0
140288,960.0
160768,1720.0
180224,1180.0
200704,580.0
220160,660.0
240640,780.0
260096,580.0
280576,780.0
300032,660.0
320512,440.0
340992,1680.0
360448,280.0
380928,1200.0
400384,880.0
420864,640.0
440320,940.0
460800,540.0
480256,680.0
500736,620.0
520192,700.0
540672,540.0
560128,1100.0
580608,700.0
600064,1340.0
620544,1080.0
640000,840.0
660480,660.0
680960,1280.0
700416,1120.0
720896,1020.0
740352,1680.0
760832,720.0
780288,1260.0
800768,1480.0
820224,600.0
840704,660.0
860160,1240.0
880640,760.0
900096,2320.0
920576,1540.0
940032,1220.0
960512,880.0
980992,1180.0
1000448,1060.0
1020928,2160.0
1040384,1360.0
1060864,1340.0
1080320,1460.0
1100800,1140.0
1120256,1200.0
1140736,2260.0
1160192,1280.0
1180672,1740.0
1200128,2300.0
1220608,1740.0
1240064,1720.0
1260544,1780.0
1280000,2160.0
1300480,1340.0
1320960,1820.0
1340416,1940.0
1360896,1040.0
1380352,1300.0
1400832,1400.0
1420288,1640.0
1440768,1440.0
1460224,1640.0
1480704,1340.0
1500160,1160.0
1520640,1840.0
1540096,1940.0
1560576,1040.0
1580032,1600.0
1600512,1900.0
1620992,1460.0
1640448,1860.0
1660928,1880.0
1680384,1520.0
1700864,1900.0
1720320,2320.0
1740800,2540.0
1760256,1360.0
1780736,1320.0
1800192,2120.0
1820672,1300.0
1840128,1860.0
1860608,2440.0
1880064,2200.0
1900544,1220.0
1920000,1320.0
1940480,1400.0
1960960,2140.0
1980416,1620.0
2000896,1820.0
2020352,1920.0
2040832,1820.0
2060288,1900.0
2080768,2700.0
2100224,2340.0
2120704,2300.0
2140160,1780.0
2160640,2920.0
2180096,4000.0
2200576,1800.0
2220032,1660.0
2240512,2860.0
2260992,1580.0
2280448,2800.0
2300928,1680.0
2320384,2000.0
2340864,1800.0
2360320,1940.0
2380800,2660.0
2400256,1700.0
2420736,2420.0
2440192,1380.0
2460672,2120.0
2480128,1540.0
2500608,1280.0
2520064,2520.0
2540544,1360.0
2560000,1680.0
2580480,3800.0
2600960,2220.0
2620416,1280.0
2640896,1120.0
2660352,2580.0
2680832,2800.0
2700288,1500.0
2720768,1620.0
2740224,1820.0
2760704,2720.0
2780160,2400.0
2800640,1340.0
2820096,2960.0
2840576,1740.0
2860032,2560.0
2880512,2960.0
2900992,2340.0
2920448,2060.0
2940928,2180.0
2960384,1720.0
2980864,2880.0
3000320,2260.0
3020800,2320.0
3040256,2400.0
3060736,2680.0
3080192,1420.0
3100672,1980.0
3120128,1940.0
3140608,1840.0
3160064,1780.0
3180544,1480.0
3200000,3140.0
3220480,2880.0
3240960,1800.0
3260416,1880.0
3280896,2760.0
3300352,2300.0
3320832,1900.0
3340288,2840.0
3360768,1860.0
3380224,2680.0
3400704,2200.0
3420160,1360.0
3440640,1780.0
3460096,1860.0
3480576,2240.0
3500032,1820.0
3520512,2340.0
3540992,2860.0
3560448,1940.0
3580928,1400.0
3600384,2100.0
3620864,1160.0
3640320,2240.0
3660800,1860.0
3680256,2080.0
3700736,1640.0
3720192,2200.0
3740672,1860.0
3760128,1520.0
3780608,2080.0
3800064,2420.0
3820544,1160.0
3840000,1700.0
3860480,2060.0
3880960,2040.0
3900416,1140.0
3920896,1640.0
3940352,1940.0
3960832,2180.0
3980288,5120.0
4000768,1860.0
4020224,1940.0
4040704,2300.0
4060160,2060.0
4080640,2720.0
4100096,2640.0
4120576,2420.0
4140032,2680.0
4160512,1560.0
4180992,1860.0
4200448,1440.0
4220928,3540.0
4240384,2380.0
4260864,2000.0
4280320,2060.0
4300800,3540.0
4320256,1760.0
4340736,1860.0
4360192,2300.0
4380672,1780.0
4400128,1660.0
4420608,2320.0
4440064,2000.0
4460544,3980.0
4480000,1980.0
4500480,1620.0
4520960,2880.0
4540416,1360.0
4560896,1920.0
4580352,2740.0
4600832,2820.0
4620288,1680.0
4640768,3280.0
4660224,1840.0
4680704,1940.0
4700160,1920.0
4720640,2660.0
4740096,1380.0
4760576,1980.0
4780032,2620.0
4800512,1920.0
4820992,2720.0
4840448,1380.0
4860928,1860.0
4880384,3380.0
4900864,1580.0
4920320,1960.0
4940800,1480.0
4960256,2240.0
4980736,2200.0
5000192,2180.0
