Step,Value
20480,0.0
40960,0.0
60416,280.0
80896,0.0
100352,80.0
120832,360.0
140288,320.0
160768,200.0
180224,280.0
200704,520.0
220160,160.0
240640,520.0
260096,580.0
280576,240.0
300032,40.0
320512,0.0
340992,120.0
360448,580.0
380928,40.0
400384,120.0
420864,0.0
440320,80.0
460800,360.0
480256,560.0
500736,760.0
520192,320.0
540672,0.0
560128,0.0
580608,0.0
600064,0.0
620544,0.0
640000,0.0
660480,0.0
680960,0.0
700416,0.0
720896,0.0
740352,0.0
760832,0.0
780288,0.0
800768,0.0
820224,0.0
840704,0.0
860160,0.0
880640,0.0
900096,0.0
920576,120.0
940032,0.0
960512,0.0
980992,160.0
1000448,0.0
1020928,0.0
1040384,0.0
1060864,0.0
1080320,0.0
1100800,0.0
1120256,0.0
1140736,0.0
1160192,0.0
1180672,0.0
1200128,0.0
1220608,0.0
1240064,420.0
1260544,180.0
1280000,80.0
1300480,380.0
1320960,120.0
1340416,820.0
1360896,0.0
1380352,0.0
1400832,0.0
1420288,0.0
1440768,0.0
1460224,0.0
1480704,0.0
1500160,0.0
1520640,0.0
1540096,0.0
1560576,0.0
1580032,0.0
1600512,0.0
1620992,0.0
1640448,0.0
1660928,0.0
1680384,0.0
1700864,120.0
1720320,360.0
1740800,200.0
1760256,580.0
1780736,480.0
1800192,240.0
1820672,480.0
1840128,980.0
1860608,280.0
1880064,320.0
1900544,320.0
1920000,200.0
1940480,0.0
1960960,0.0
1980416,40.0
2000896,240.0
2020352,100.0
2040832,40.0
2060288,0.0
2080768,280.0
2100224,280.0
2120704,320.0
2140160,820.0
2160640,400.0
2180096,460.0
2200576,760.0
2220032,400.0
2240512,280.0
2260992,160.0
2280448,160.0
2300928,1000.0
2320384,160.0
2340864,740.0
2360320,600.0
2380800,520.0
2400256,560.0
2420736,1040.0
2440192,1240.0
2460672,480.0
2480128,720.0
2500608,640.0
2520064,460.0
2540544,860.0
2560000,820.0
2580480,860.0
2600960,680.0
2620416,980.0
2640896,500.0
2660352,1000.0
2680832,900.0
2700288,680.0
2720768,1280.0
2740224,200.0
2760704,880.0
2780160,1240.0
2800640,360.0
2820096,420.0
2840576,440.0
2860032,420.0
2880512,600.0
2900992,600.0
2920448,560.0
2940928,0.0
2960384,800.0
2980864,560.0
3000320,280.0
3020800,40.0
3040256,40.0
3060736,440.0
3080192,0.0
3100672,1900.0
3120128,200.0
3140608,220.0
3160064,0.0
3180544,0.0
3200000,640.0
3220480,0.0
3240960,0.0
3260416,0.0
3280896,0.0
3300352,0.0
3320832,0.0
3340288,0.0
3360768,0.0
3380224,0.0
3400704,0.0
3420160,0.0
3440640,0.0
3460096,1260.0
3480576,1000.0
3500032,1400.0
3520512,860.0
3540992,1200.0
3560448,1120.0
3580928,1500.0
3600384,3180.0
3620864,2000.0
3640320,1420.0
3660800,340.0
3680256,1160.0
3700736,700.0
3720192,1180.0
3740672,680.0
3760128,740.0
3780608,1000.0
3800064,3300.0
3820544,2300.0
3840000,900.0
3860480,560.0
3880960,260.0
3900416,1660.0
3920896,2300.0
3940352,900.0
3960832,1040.0
3980288,520.0
4000768,2340.0
4020224,1820.0
4040704,3100.0
4060160,2400.0
4080640,1160.0
4100096,1340.0
4120576,1620.0
4140032,2860.0
4160512,3960.0
4180992,2080.0
4200448,2900.0
4220928,2880.0
4240384,2160.0
4260864,2760.0
4280320,2620.0
4300800,3400.0
4320256,3220.0
4340736,1900.0
4360192,3080.0
4380672,2940.0
4400128,3680.0
4420608,3120.0
4440064,3600.0
4460544,1560.0
4480000,2560.0
4500480,3660.0
4520960,1820.0
4540416,2180.0
4560896,2660.0
4580352,4140.0
4600832,3280.0
4620288,2280.0
4640768,3380.0
4660224,3500.0
4680704,1820.0
4700160,3040.0
4720640,2340.0
4740096,2480.0
4760576,2720.0
4780032,1920.0
4800512,3920.0
4820992,3660.0
4840448,3560.0
4860928,3840.0
4880384,3800.0
4900864,3720.0
4920320,4220.0
4940800,3360.0
4960256,3660.0
4980736,3160.0
5000192,4480.0
