NoAttn,SelfAttn,rvuAttn,CrossAttn,self%better,Rvu%better,Cross%better
1382.67,1556,1580,1151.33,0.125358907,0.142716628,-0.167313965
311.33,307.47,442.93,318.27,-0.01239842,0.422702599,0.022291459
3332.6,3292.53,6376.6,4336.27,-0.012023645,0.913400948,0.301167257
3473.33,3360,4046.67,2670,-0.03262863,0.165069256,-0.231285251
2665.33,2346,2556.67,2286.67,-0.119808804,-0.040767935,-0.142068712
3100726.67,3269080,3315923.33,3464386.67,0.054294799,0.069402009,0.117282185
594,661.33,1240.67,1076.67,0.113350168,1.088670034,0.812575758
29200,26466.67,25400,21266.67,-0.093607192,-0.130136986,-0.271689384
3696.27,3241.87,2780.53,2259.33,-0.122934742,-0.247747053,-0.388754068
63.27,66,84.67,60.77,0.043148412,0.33823297,-0.039513197
49.93,48.4,34.6,15.47,-0.0306429,-0.307029842,-0.690166233
301.67,320.2,368.93,231.7,0.061424736,0.222958862,-0.231942188
5940.07,6548.6,6133.87,6493,0.102444921,0.032625878,0.093084762
1560,1473.33,1346.67,1480,-0.055557692,-0.13675,-0.051282051
114746.67,116200,111606.67,106586.67,0.012665553,-0.027364629,-0.071113175
7326,12035.67,21809,12296.33,0.642870598,1.976931477,0.678450723
-1.47,-2.67,-0.93,-7.87,0.816326531,-0.367346939,4.353741497
0,0,0,0,0,0,0
-60.73,-65.8,-65.8,-73.53,0.083484275,0.083484275,0.210768977
21.67,29.33,32.47,30.13,0.353484079,0.498384864,0.390401477
350,293.33,287.33,349,-0.161914286,-0.179057143,-0.002857143
1785.33,1692,1657.33,1577.33,-0.05227605,-0.071695429,-0.116505072
733.33,733.33,743.33,733.33,0,0.013636426,0
-1.93,-2.13,-2.13,-2.27,0.103626943,0.103626943,0.176165803
586.67,595,646.67,1040,0.014198783,0.102272146,0.7727172
3380,2840,6226.67,2453.33,-0.159763314,0.842210059,-0.274162722
5021,5819.13,6849.73,5481.6,0.158958375,0.364216292,0.091734714
29580,33640,25266.67,17833.33,0.137254902,-0.145819135,-0.397115281
13.33,40,40,33.33,0,0,0
1474.67,1334.67,1424,1300.67,-0.094936494,-0.03436023,-0.1179925
6555.33,6226.67,5824.67,4993.67,-0.050136301,-0.111460445,-0.238227519
0,0,-5.73,0,0,0,0
21,21,21,20.6,0,0,-0.019047619
766.53,3757.67,2395.33,2750.8,0,0,0
4613.33,3160,4720,2206.67,-0.315028407,0.023122127,-0.521675232
5848,4666,6186.67,4856.67,-0.202120383,0.057912107,-0.169516074
35286.67,23166.67,27820,24813.33,-0.343472478,-0.211600301,-0.296807265
144,144,144,144,0,0,0
941.33,926.67,933.33,933.33,-0.01557371,-0.008498614,-0.008498614
1316.67,1622,1400.33,1362.33,0.231895615,0.06353908,0.034678393
22533.33,20666.67,26046.67,21693.33,-0.082839953,0.155917479,-0.037278112
-4.2,-5,-2.47,-2.87,0.19047619,-0.411904762,-0.316666667
6546.67,6933.33,6346.67,6586.67,0.059062088,-0.030549883,0.006109977
159.8,157.4,179.93,158.67,-0.015018773,0.125969962,-0.007071339
102378.67,39558.67,46596,28900,-0.613604377,-0.544866133,-0.717714637
0,13.33,73.33,13.33,0,0,0
75671.73,127294.8,93780.4,103508.2,0.682197566,0.239305617,0.367858248
4446.67,4866.67,7220,4626.67,0.094452703,0.623686939,0.04047973
4680,5806.67,4986.67,1980,0.240741453,0.065527778,-0.576923077
,,,,0.038565134,0.127301495,0.052584913
