Step,Value
20480,323.3999938964844
40960,373.79998779296875
60416,394.79998779296875
80896,407.3999938964844
100352,352.79998779296875
120832,361.20001220703125
140288,323.3999938964844
160768,327.6000061035156
180224,315.0
200704,373.79998779296875
220160,399.0
240640,411.6000061035156
260096,453.6000061035156
280576,390.6000061035156
300032,457.79998779296875
320512,403.20001220703125
340992,558.5999755859375
360448,499.79998779296875
380928,537.5999755859375
400384,508.20001220703125
420864,659.4000244140625
440320,693.0
460800,630.0
480256,688.7999877929688
500736,703.4000244140625
520192,676.2000122070312
540672,722.4000244140625
560128,655.2000122070312
580608,709.7999877929688
600064,827.4000244140625
620544,777.0
640000,720.2000122070312
660480,735.0
680960,806.0
700416,809.7999877929688
720896,992.4000244140625
740352,1404.800048828125
760832,840.4000244140625
780288,1080.199951171875
800768,1163.4000244140625
820224,878.4000244140625
840704,1316.800048828125
860160,1190.5999755859375
880640,1134.5999755859375
900096,1108.4000244140625
920576,996.4000244140625
940032,1344.4000244140625
960512,1187.199951171875
980992,1270.800048828125
1000448,840.2000122070312
1020928,1237.800048828125
1040384,1298.4000244140625
1060864,1282.0
1080320,1041.0
1100800,1422.5999755859375
1120256,1077.800048828125
1140736,1219.0
1160192,1205.800048828125
1180672,1584.0
1200128,2052.0
1220608,2207.60009765625
1240064,1198.0
1260544,994.4000244140625
1280000,1378.4000244140625
1300480,1974.5999755859375
1320960,1126.800048828125
1340416,1800.199951171875
1360896,2047.800048828125
1380352,1706.800048828125
1400832,1598.800048828125
1420288,1777.4000244140625
1440768,1616.5999755859375
1460224,1060.800048828125
1480704,2183.39990234375
1500160,1807.800048828125
1520640,1374.5999755859375
1540096,1495.4000244140625
1560576,2375.199951171875
1580032,2707.60009765625
1600512,1961.0
1620992,1497.5999755859375
1640448,1441.0
1660928,1498.0
1680384,1844.0
1700864,1699.199951171875
1720320,2057.60009765625
1740800,1386.0
1760256,2894.60009765625
1780736,1920.0
1800192,1549.800048828125
1820672,2148.39990234375
1840128,2579.199951171875
1860608,1928.4000244140625
1880064,1737.4000244140625
1900544,2482.0
1920000,2683.60009765625
1940480,2307.60009765625
1960960,3177.800048828125
1980416,2075.39990234375
2000896,1571.5999755859375
2020352,2372.800048828125
2040832,2175.800048828125
2060288,2357.800048828125
2080768,1618.800048828125
2100224,2465.199951171875
2120704,2625.60009765625
2140160,2886.199951171875
2160640,2460.39990234375
2180096,2828.39990234375
2200576,2230.60009765625
2220032,2790.60009765625
2240512,2732.199951171875
2260992,2744.39990234375
2280448,2710.800048828125
2300928,2303.0
2320384,3301.39990234375
2340864,2318.800048828125
2360320,1624.199951171875
2380800,2510.39990234375
2400256,3173.0
2420736,2484.0
2440192,2887.39990234375
2460672,2853.199951171875
2480128,2433.60009765625
2500608,2688.800048828125
2520064,2975.60009765625
2540544,3023.60009765625
2560000,3663.0
2580480,2398.199951171875
2600960,2855.199951171875
2620416,3138.0
2640896,2799.39990234375
2660352,2532.800048828125
2680832,2780.39990234375
2700288,2516.39990234375
2720768,3293.800048828125
2740224,3460.0
2760704,2702.800048828125
2780160,2936.0
2800640,2191.800048828125
2820096,2463.39990234375
2840576,2780.199951171875
2860032,2663.39990234375
2880512,3429.60009765625
2900992,3200.800048828125
2920448,2346.199951171875
2940928,3382.800048828125
2960384,3002.0
2980864,2897.0
3000320,2256.39990234375
3020800,3018.39990234375
3040256,3121.39990234375
3060736,3112.199951171875
3080192,3341.60009765625
3100672,3028.800048828125
3120128,3093.60009765625
3140608,2821.39990234375
3160064,2299.199951171875
3180544,3061.0
3200000,2556.199951171875
3220480,2987.199951171875
3240960,3043.0
3260416,3467.60009765625
3280896,3561.39990234375
3300352,2150.199951171875
3320832,2694.0
3340288,3608.199951171875
3360768,2518.0
3380224,3060.199951171875
3400704,4694.7998046875
3420160,3081.199951171875
3440640,3254.60009765625
3460096,1962.4000244140625
3480576,2999.39990234375
3500032,3658.0
3520512,4059.0
3540992,3633.39990234375
3560448,4034.0
3580928,3314.199951171875
3600384,3859.0
3620864,3037.60009765625
3640320,3024.0
3660800,3532.60009765625
3680256,4470.0
3700736,2707.60009765625
3720192,3235.39990234375
3740672,3122.800048828125
3760128,2475.60009765625
3780608,3067.0
3800064,1947.800048828125
3820544,3252.800048828125
3840000,3433.60009765625
3860480,2810.199951171875
3880960,4601.39990234375
3900416,3038.0
3920896,3864.199951171875
3940352,3243.39990234375
3960832,4074.199951171875
3980288,3110.60009765625
4000768,2529.39990234375
4020224,3302.0
4040704,3393.199951171875
4060160,4543.7998046875
4080640,3937.800048828125
4100096,2310.199951171875
4120576,2661.800048828125
4140032,3512.800048828125
4160512,3883.39990234375
4180992,3160.39990234375
4200448,3306.800048828125
4220928,3092.39990234375
4240384,2954.39990234375
4260864,1802.0
4280320,2272.199951171875
4300800,1672.199951171875
4320256,2568.199951171875
4340736,1866.199951171875
4360192,2121.199951171875
4380672,3101.800048828125
4400128,3071.0
4420608,2124.800048828125
4440064,3863.60009765625
4460544,4644.39990234375
4480000,2724.39990234375
4500480,3417.39990234375
4520960,2799.0
4540416,3588.60009765625
4560896,3426.800048828125
4580352,3695.0
4600832,3710.199951171875
4620288,3974.60009765625
4640768,3813.199951171875
4660224,3195.199951171875
4680704,2924.0
4700160,4853.60009765625
4720640,2515.800048828125
4740096,2803.60009765625
4760576,3479.800048828125
4780032,3352.800048828125
4800512,3639.0
4820992,3153.0
4840448,3774.199951171875
4860928,3391.60009765625
4880384,3278.0
4900864,3100.0
4920320,3276.60009765625
4940800,4331.2001953125
4960256,4027.0
4980736,3478.60009765625
5000192,3140.199951171875
5020672,3952.0
5040128,4456.0
5060608,2984.60009765625
5080064,2920.60009765625
5100544,3657.0
5120000,3574.800048828125
5140480,3256.39990234375
5160960,2892.0
5180416,3528.199951171875
5200896,3930.199951171875
5220352,4492.0
5240832,4732.60009765625
5260288,3641.0
5280768,3991.60009765625
5300224,4216.60009765625
5320704,3382.199951171875
5340160,4156.39990234375
5360640,3547.0
5380096,3981.39990234375
5400576,4373.2001953125
5420032,4280.7998046875
