Step,Value
20480,340.0
40960,190.0
60416,320.0
80896,260.0
100352,160.0
120832,170.0
140288,270.0
160768,290.0
180224,190.0
200704,300.0
220160,210.0
240640,250.0
260096,230.0
280576,280.0
300032,230.0
320512,370.0
340992,200.0
360448,280.0
380928,200.0
400384,310.0
420864,320.0
440320,380.0
460800,200.0
480256,420.0
500736,240.0
520192,270.0
540672,330.0
560128,410.0
580608,210.0
600064,230.0
620544,290.0
640000,300.0
660480,300.0
680960,490.0
700416,350.0
720896,370.0
740352,280.0
760832,300.0
780288,320.0
800768,380.0
820224,500.0
840704,400.0
860160,420.0
880640,470.0
900096,550.0
920576,510.0
940032,500.0
960512,630.0
980992,410.0
1000448,890.0
1020928,830.0
1040384,770.0
1060864,910.0
1080320,780.0
1100800,920.0
1120256,630.0
1140736,1030.0
1160192,650.0
1180672,860.0
1200128,1120.0
1220608,930.0
1240064,890.0
1260544,970.0
1280000,1160.0
1300480,1060.0
1320960,810.0
1340416,980.0
1360896,1230.0
1380352,1250.0
1400832,980.0
1420288,960.0
1440768,1070.0
1460224,960.0
1480704,1190.0
1500160,1310.0
1520640,1430.0
1540096,1250.0
1560576,1230.0
1580032,1170.0
1600512,990.0
1620992,1030.0
1640448,1240.0
1660928,1000.0
1680384,1120.0
1700864,1320.0
1720320,1390.0
1740800,1210.0
1760256,1970.0
1780736,1370.0
1800192,1210.0
1820672,1570.0
1840128,1410.0
1860608,1770.0
1880064,1390.0
1900544,1420.0
1920000,1330.0
1940480,980.0
1960960,1750.0
1980416,1810.0
2000896,1830.0
2020352,1540.0
2040832,2090.0
2060288,1260.0
2080768,2110.0
2100224,2120.0
2120704,1770.0
2140160,2440.0
2160640,1510.0
2180096,1810.0
2200576,2250.0
2220032,2260.0
2240512,1600.0
2260992,2040.0
2280448,2020.0
2300928,2100.0
2320384,2330.0
2340864,2080.0
2360320,2370.0
2380800,2510.0
2400256,2290.0
2420736,2440.0
2440192,2160.0
2460672,2090.0
2480128,1940.0
2500608,2110.0
2520064,1890.0
2540544,1810.0
2560000,2590.0
2580480,2210.0
2600960,2140.0
2620416,1980.0
2640896,2490.0
2660352,2360.0
2680832,1980.0
2700288,2340.0
2720768,2490.0
2740224,2270.0
2760704,1750.0
2780160,2100.0
2800640,2460.0
2820096,2440.0
2840576,2490.0
2860032,2680.0
2880512,2090.0
2900992,1610.0
2920448,1680.0
2940928,2540.0
2960384,2410.0
2980864,2370.0
3000320,2140.0
3020800,2510.0
3040256,2630.0
3060736,2410.0
3080192,1820.0
3100672,2410.0
3120128,2910.0
3140608,2470.0
3160064,2450.0
3180544,2490.0
3200000,2540.0
3220480,2580.0
3240960,2840.0
3260416,2300.0
3280896,2350.0
3300352,2330.0
3320832,2270.0
3340288,2800.0
3360768,2620.0
3380224,2490.0
3400704,2520.0
3420160,2840.0
3440640,2540.0
3460096,2250.0
3480576,2830.0
3500032,2690.0
3520512,2810.0
3540992,2790.0
3560448,2460.0
3580928,2110.0
3600384,3070.0
3620864,2690.0
3640320,2820.0
3660800,2370.0
3680256,2050.0
3700736,3120.0
3720192,3190.0
3740672,3080.0
3760128,3000.0
3780608,3150.0
3800064,3060.0
3820544,2570.0
3840000,3000.0
3860480,3120.0
3880960,2200.0
3900416,3010.0
3920896,3180.0
3940352,2740.0
3960832,2630.0
3980288,3110.0
4000768,3200.0
4020224,2530.0
4040704,2700.0
4060160,3370.0
4080640,3200.0
4100096,3010.0
4120576,3000.0
4140032,2770.0
4160512,2730.0
4180992,2880.0
4200448,3260.0
4220928,2820.0
4240384,3220.0
4260864,2830.0
4280320,2400.0
4300800,2930.0
4320256,2710.0
4340736,2080.0
4360192,2910.0
4380672,3070.0
4400128,2720.0
4420608,2630.0
4440064,3410.0
4460544,4120.0
4480000,2050.0
4500480,3580.0
4520960,3100.0
4540416,3360.0
4560896,2430.0
4580352,3510.0
4600832,2930.0
4620288,3260.0
4640768,2870.0
4660224,3340.0
4680704,3840.0
4700160,3620.0
4720640,2950.0
4740096,3330.0
4760576,2960.0
4780032,3220.0
4800512,3220.0
4820992,1920.0
4840448,2830.0
4860928,3300.0
4880384,3560.0
4900864,3220.0
4920320,3860.0
4940800,4240.0
4960256,3260.0
4980736,2410.0
5000192,3700.0
5020672,2610.0
5040128,3170.0
5060608,2660.0
5080064,3240.0
5100544,3260.0
5120000,3440.0
5140480,3600.0
5160960,3260.0
5180416,4040.0
5200896,4100.0
5220352,2920.0
5240832,3170.0
5260288,3240.0
5280768,3960.0
5300224,3120.0
5320704,3900.0
5340160,2750.0
5360640,4140.0
5380096,4360.0
5400576,3720.0
5420032,3980.0
5440512,4200.0
5460992,4100.0
5480448,3130.0
5500928,5020.0
5520384,3760.0
5540864,4360.0
5560320,4100.0
5580800,4300.0
5600256,4760.0
5620736,4460.0
5640192,4280.0
5660672,4300.0
5680128,3600.0
5700608,3110.0
5720064,4620.0
5740544,3650.0
5760000,4360.0
5780480,3260.0
5800960,4260.0
5820416,3460.0
5840896,3150.0
5860352,3260.0
5880832,4160.0
5900288,3920.0
5920768,4380.0
5940224,4320.0
5960704,3230.0
5980160,3530.0
6000640,3960.0
6020096,3760.0
6040576,3820.0
6060032,4720.0
6080512,3540.0
6100992,4150.0
6120448,4380.0
6140928,4280.0
6160384,3960.0
6180864,3680.0
6200320,3610.0
6220800,5100.0
6240256,4280.0
6260736,4200.0
6280192,4020.0
6300672,3690.0
6320128,5000.0
6340608,4300.0
6360064,3800.0
6380544,4610.0
6400000,3760.0
6420480,3490.0
6440960,2940.0
6460416,3780.0
6480896,4100.0
6500352,2570.0
6520832,5220.0
6540288,5160.0
6560768,4500.0
6580224,4640.0
6600704,3490.0
6620160,4080.0
6640640,4440.0
6660096,4520.0
6680576,3900.0
6700032,3410.0
6720512,4960.0
6740992,4920.0
6760448,4280.0
6780928,5540.0
6800384,5160.0
6820864,4100.0
6840320,4650.0
6860800,3940.0
6880256,4280.0
6900736,3770.0
6920192,4760.0
6940672,5170.0
6960128,4720.0
6980608,3800.0
7000064,4340.0
7020544,4440.0
7040000,4460.0
7060480,5320.0
7080960,3730.0
7100416,5660.0
7120896,3800.0
7140352,6580.0
7160832,5800.0
7180288,6120.0
7200768,3350.0
7220224,4220.0
7240704,3680.0
7260160,4400.0
7280640,4500.0
7300096,5960.0
7320576,4560.0
7340032,4450.0
7360512,4180.0
7380992,3890.0
7400448,3600.0
7420928,3920.0
7440384,5100.0
7460864,5010.0
7480320,4840.0
7500800,4780.0
7520256,5080.0
7540736,3860.0
7560192,4260.0
7580672,3540.0
7600128,4220.0
7620608,4000.0
7640064,3780.0
7660544,4740.0
7680000,4840.0
7700480,4580.0
7720960,4780.0
7740416,3490.0
7760896,4080.0
7780352,5140.0
7800832,3970.0
7820288,3840.0
7840768,4880.0
7860224,4590.0
7880704,4580.0
7900160,6160.0
7920640,6520.0
7940096,4580.0
7960576,4960.0
7980032,5000.0
8000512,4120.0
8020992,4560.0
8040448,4780.0
8060928,5780.0
8080384,5240.0
8100864,4940.0
8120320,6360.0
8140800,5520.0
8160256,3740.0
8180736,5180.0
8200192,5680.0
8220672,5820.0
8240128,4780.0
8260608,4700.0
8280064,5660.0
8300544,6280.0
8320000,6920.0
8340480,4600.0
8360960,5820.0
8380416,6260.0
8400896,2100.0
8420352,7460.0
8440832,5760.0
8460288,3480.0
8480768,5470.0
8500224,6920.0
8520704,5600.0
8540160,6600.0
8560640,5210.0
8580096,6980.0
8600576,6680.0
8620032,5260.0
8640512,4550.0
8660992,4220.0
8680448,5620.0
8700928,5240.0
8720384,5280.0
8740864,5920.0
8760320,7700.0
8780800,4500.0
8800256,4980.0
8820736,4260.0
8840192,5200.0
8860672,5220.0
8880128,4830.0
8900608,4490.0
8920064,7110.0
8940544,7060.0
8960000,4920.0
8980480,4400.0
9000960,5700.0
9020416,5100.0
9040896,7020.0
9060352,6380.0
9080832,8260.0
9100288,7000.0
9120768,6260.0
9140224,5280.0
9160704,5700.0
9180160,6540.0
9200640,5300.0
9220096,6680.0
9240576,8340.0
9260032,5110.0
9280512,5920.0
9300992,6680.0
9320448,5380.0
9340928,7560.0
9360384,5620.0
9380864,5560.0
9400320,6720.0
9420800,3940.0
9440256,4030.0
9460736,4220.0
9480192,5520.0
9500672,6800.0
9520128,6440.0
9540608,6200.0
9560064,5980.0
9580544,6960.0
9600000,7220.0
9620480,7920.0
9640960,4860.0
9660416,6300.0
9680896,8560.0
9700352,4820.0
9720832,5220.0
9740288,5830.0
9760768,5300.0
9780224,5280.0
9800704,4940.0
9820160,5660.0
9840640,4940.0
9860096,6580.0
9880576,5420.0
9900032,7480.0
9920512,7460.0
9940992,7620.0
9960448,6900.0
9980928,7740.0
10000384,5520.0
10020864,5880.0
10040320,7480.0
10060800,6540.0
10080256,5700.0
10100736,3970.0
10120192,5760.0
10140672,5060.0
10160128,7900.0
10180608,7000.0
10200064,6440.0
10220544,5560.0
10240000,7420.0
10260480,8300.0
10280960,5180.0
10300416,6560.0
10320896,4360.0
10340352,7120.0
10360832,8420.0
10380288,7680.0
10400768,7240.0
10420224,6920.0
10440704,5160.0
10460160,6240.0
10480640,5100.0
10500096,5060.0
10520576,4800.0
10540032,4440.0
10560512,5860.0
10580992,7420.0
10600448,8440.0
10620928,4680.0
10640384,7320.0
10660864,5550.0
10680320,7000.0
10700800,6020.0
10720256,5270.0
