Step,Value
20480,18300.0
40960,19900.0
60416,19340.0
80896,24580.0
100352,28820.0
120832,28460.0
140288,22080.0
160768,21640.0
180224,22980.0
200704,24400.0
220160,27960.0
240640,26300.0
260096,25480.0
280576,25160.0
300032,26260.0
320512,31900.0
340992,23880.0
360448,27880.0
380928,34400.0
400384,30280.0
420864,32360.0
440320,37400.0
460800,44420.0
480256,25800.0
500736,26400.0
520192,23240.0
540672,37360.0
560128,30620.0
580608,21580.0
600064,30420.0
620544,33620.0
640000,29100.0
660480,36880.0
680960,34720.0
700416,23680.0
720896,30920.0
740352,28280.0
760832,31600.0
780288,32520.0
800768,32140.0
820224,39560.0
840704,25840.0
860160,33900.0
880640,40860.0
900096,42400.0
920576,37040.0
940032,54340.0
960512,63420.0
980992,51320.0
1000448,47280.0
1020928,58380.0
1040384,54060.0
1060864,61700.0
1080320,53240.0
1100800,59060.0
1120256,53800.0
1140736,59020.0
1160192,65700.0
1180672,88240.0
1200128,98480.0
1220608,82000.0
1240064,74180.0
1260544,74180.0
1280000,117720.0
1300480,108820.0
1320960,124680.0
1340416,142300.0
1360896,132120.0
1380352,191860.0
1400832,132400.0
1420288,134800.0
1440768,164600.0
1460224,155320.0
1480704,293980.0
1500160,194140.0
1520640,345960.0
1540096,383620.0
1560576,814020.0
1580032,820620.0
1600512,2542700.0
1620992,3116820.0
1640448,1832220.0
1660928,1265780.0
1680384,3075920.0
1700864,3156200.0
1720320,3156620.0
1740800,2589220.0
1760256,1304980.0
1780736,2560580.0
1800192,24120.0
1820672,14920.0
1840128,654940.0
1860608,14780.0
1880064,15980.0
