Step,Value
20480,10.0
40960,8.0
60416,8.0
80896,8.0
100352,18.0
120832,16.0
140288,12.0
160768,16.0
180224,18.0
200704,20.0
220160,36.0
240640,10.0
260096,24.0
280576,26.0
300032,20.0
320512,22.0
340992,24.0
360448,24.0
380928,26.0
400384,22.0
420864,28.0
440320,34.0
460800,24.0
480256,34.0
500736,26.0
520192,30.0
540672,44.0
560128,22.0
580608,40.0
600064,44.0
620544,50.0
640000,68.0
660480,90.0
680960,76.0
700416,88.0
720896,96.0
740352,72.0
760832,80.0
780288,84.0
800768,112.0
820224,88.0
840704,118.0
860160,100.0
880640,108.0
900096,120.0
920576,124.0
940032,120.0
960512,120.0
980992,140.0
1000448,164.0
1020928,148.0
1040384,166.0
1060864,186.0
1080320,188.0
1100800,236.0
1120256,210.0
1140736,226.0
1160192,264.0
1180672,264.0
1200128,250.0
1220608,244.0
1240064,284.0
1260544,280.0
1280000,284.0
1300480,278.0
1320960,260.0
1340416,226.0
1360896,274.0
1380352,322.0
1400832,326.0
1420288,338.0
1440768,340.0
1460224,410.0
1480704,576.0
1500160,656.0
1520640,688.0
1540096,738.0
1560576,762.0
1580032,780.0
1600512,760.0
1620992,814.0
1640448,832.0
1660928,836.0
1680384,822.0
1700864,832.0
1720320,772.0
1740800,832.0
1760256,740.0
1780736,722.0
1800192,774.0
1820672,738.0
1840128,770.0
1860608,764.0
1880064,878.0
1900544,860.0
1920000,842.0
1940480,792.0
1960960,760.0
1980416,846.0
2000896,840.0
2020352,882.0
2040832,840.0
2060288,878.0
2080768,926.0
2100224,862.0
2120704,914.0
2140160,914.0
2160640,920.0
2180096,844.0
2200576,958.0
2220032,928.0
2240512,886.0
2260992,926.0
2280448,906.0
2300928,866.0
2320384,924.0
2340864,928.0
2360320,968.0
2380800,836.0
2400256,942.0
2420736,992.0
2440192,912.0
2460672,964.0
2480128,988.0
2500608,996.0
2520064,988.0
2540544,1040.0
2560000,1054.0
2580480,1104.0
2600960,1114.0
2620416,1016.0
2640896,1020.0
2660352,1068.0
2680832,1116.0
2700288,1010.0
2720768,1042.0
2740224,1044.0
2760704,1080.0
2780160,1062.0
2800640,1036.0
2820096,730.0
2840576,1020.0
2860032,1088.0
2880512,1054.0
2900992,1028.0
2920448,1090.0
2940928,1128.0
2960384,1116.0
2980864,1156.0
3000320,1124.0
3020800,1144.0
3040256,1104.0
3060736,1104.0
3080192,1166.0
3100672,1060.0
3120128,1080.0
3140608,1088.0
3160064,994.0
3180544,1120.0
3200000,994.0
3220480,1116.0
3240960,986.0
3260416,1108.0
3280896,1142.0
3300352,1066.0
3320832,1092.0
3340288,1034.0
3360768,1026.0
3380224,1148.0
3400704,1122.0
3420160,1122.0
3440640,964.0
3460096,1166.0
3480576,1150.0
3500032,1124.0
3520512,884.0
3540992,1120.0
3560448,820.0
3580928,1006.0
3600384,1114.0
3620864,854.0
3640320,1120.0
3660800,1152.0
3680256,1110.0
3700736,1136.0
3720192,1224.0
3740672,1176.0
3760128,1160.0
3780608,1074.0
3800064,1122.0
3820544,1158.0
3840000,1178.0
3860480,1158.0
3880960,1078.0
3900416,1038.0
3920896,992.0
3940352,1138.0
3960832,1074.0
3980288,1136.0
4000768,1168.0
4020224,1088.0
4040704,1124.0
4060160,1118.0
4080640,1080.0
4100096,848.0
4120576,1116.0
4140032,1046.0
4160512,1114.0
4180992,1026.0
4200448,1140.0
4220928,1028.0
4240384,1082.0
4260864,1192.0
4280320,1164.0
4300800,850.0
4320256,1084.0
4340736,1090.0
4360192,1106.0
4380672,1164.0
4400128,1048.0
4420608,1082.0
4440064,1164.0
4460544,1162.0
4480000,1200.0
4500480,1180.0
4520960,1102.0
4540416,1122.0
4560896,1170.0
4580352,1124.0
4600832,1174.0
4620288,1148.0
4640768,1144.0
4660224,1118.0
4680704,1210.0
4700160,1140.0
4720640,1208.0
4740096,1136.0
4760576,1206.0
4780032,1190.0
4800512,1112.0
4820992,1184.0
4840448,1158.0
4860928,1192.0
4880384,1200.0
4900864,1080.0
4920320,992.0
4940800,506.0
4960256,1002.0
4980736,1076.0
5000192,1150.0
5020672,1130.0
5040128,1196.0
5060608,1146.0
5080064,1160.0
5100544,1148.0
5120000,1058.0
5140480,1178.0
5160960,1176.0
5180416,1232.0
5200896,1086.0
5220352,1168.0
5240832,1150.0
5260288,1134.0
5280768,1190.0
5300224,1080.0
5320704,1186.0
5340160,1054.0
5360640,1200.0
5380096,1180.0
5400576,1102.0
5420032,1136.0
5440512,1108.0
5460992,1182.0
5480448,1002.0
5500928,1074.0
5520384,1212.0
5540864,1264.0
5560320,1250.0
5580800,1234.0
5600256,1210.0
