Step,Value
20480,7600.0
40960,4200.0
60416,4000.0
80896,4200.0
100352,4400.0
120832,7800.0
140288,5000.0
160768,4200.0
180224,2000.0
200704,2000.0
220160,2800.0
240640,3400.0
260096,6800.0
280576,1800.0
300032,4800.0
320512,7000.0
340992,2000.0
360448,3000.0
380928,5800.0
400384,3000.0
420864,4600.0
440320,2000.0
460800,3000.0
480256,3200.0
500736,6800.0
520192,5000.0
540672,4400.0
560128,3600.0
580608,3000.0
600064,3600.0
620544,3600.0
640000,2000.0
660480,3600.0
680960,3000.0
700416,3800.0
720896,1800.0
740352,2600.0
760832,2600.0
780288,6600.0
800768,8600.0
820224,5600.0
840704,5200.0
860160,3400.0
880640,6600.0
900096,10400.0
920576,9400.0
940032,8600.0
960512,9600.0
980992,12000.0
1000448,8600.0
1020928,12600.0
1040384,18400.0
1060864,9000.0
1080320,9000.0
1100800,9000.0
1120256,8000.0
1140736,13600.0
1160192,11000.0
1180672,11200.0
1200128,8400.0
1220608,14400.0
1240064,15000.0
1260544,9200.0
1280000,12600.0
1300480,11600.0
1320960,13600.0
1340416,12600.0
1360896,13000.0
1380352,16800.0
1400832,15000.0
1420288,13800.0
1440768,17000.0
1460224,16800.0
1480704,18600.0
1500160,17600.0
1520640,11400.0
1540096,25400.0
1560576,17600.0
1580032,21800.0
1600512,17400.0
1620992,12600.0
1640448,17200.0
1660928,18400.0
1680384,15400.0
1700864,20000.0
1720320,17800.0
1740800,16800.0
1760256,23600.0
1780736,18600.0
1800192,20000.0
1820672,21600.0
1840128,18400.0
1860608,20000.0
1880064,17800.0
1900544,20000.0
1920000,22600.0
1940480,19000.0
1960960,18000.0
1980416,17800.0
2000896,16200.0
2020352,21600.0
2040832,20800.0
2060288,16600.0
2080768,14000.0
2100224,19800.0
2120704,16600.0
2140160,16800.0
2160640,21200.0
2180096,12200.0
2200576,17600.0
2220032,15800.0
2240512,20800.0
2260992,20000.0
2280448,14000.0
2300928,14200.0
2320384,13400.0
2340864,12800.0
2360320,12000.0
2380800,15000.0
2400256,15200.0
2420736,17000.0
2440192,14400.0
2460672,15000.0
2480128,15200.0
2500608,13600.0
2520064,21400.0
2540544,15400.0
2560000,17000.0
2580480,20800.0
2600960,15200.0
2620416,19600.0
2640896,18600.0
2660352,16600.0
2680832,19200.0
2700288,20600.0
2720768,18000.0
2740224,19200.0
2760704,22600.0
2780160,22600.0
2800640,16600.0
2820096,16800.0
2840576,23000.0
2860032,19600.0
2880512,24600.0
2900992,17000.0
2920448,16600.0
2940928,18800.0
2960384,17200.0
2980864,18600.0
3000320,19600.0
3020800,20800.0
3040256,15600.0
3060736,23200.0
3080192,19400.0
3100672,18200.0
3120128,19400.0
3140608,18600.0
3160064,21000.0
3180544,19000.0
3200000,18400.0
3220480,21400.0
3240960,22800.0
3260416,16800.0
3280896,21000.0
3300352,13000.0
3320832,14400.0
3340288,19000.0
3360768,15600.0
3380224,17600.0
3400704,20600.0
3420160,17800.0
3440640,16800.0
3460096,20600.0
3480576,13800.0
3500032,23400.0
3520512,18600.0
3540992,17600.0
3560448,15600.0
3580928,21200.0
3600384,20600.0
3620864,18200.0
3640320,14000.0
3660800,20600.0
3680256,24400.0
3700736,21200.0
3720192,21400.0
3740672,18600.0
3760128,19000.0
3780608,19000.0
3800064,20800.0
3820544,21400.0
3840000,18600.0
3860480,23600.0
3880960,15600.0
3900416,22000.0
3920896,18200.0
3940352,20000.0
3960832,20600.0
3980288,15600.0
4000768,21400.0
4020224,24600.0
4040704,22600.0
4060160,22600.0
4080640,24600.0
4100096,19800.0
4120576,24800.0
4140032,22200.0
4160512,21000.0
4180992,24800.0
4200448,24400.0
4220928,17600.0
4240384,19600.0
4260864,19600.0
4280320,22400.0
4300800,23200.0
4320256,14600.0
4340736,21800.0
4360192,18800.0
4380672,17400.0
4400128,18200.0
4420608,19600.0
4440064,25200.0
4460544,18200.0
4480000,24600.0
4500480,22600.0
4520960,22000.0
4540416,17400.0
4560896,19600.0
4580352,17400.0
4600832,16000.0
4620288,18800.0
4640768,19000.0
4660224,18600.0
4680704,21000.0
4700160,17400.0
4720640,20800.0
4740096,19200.0
4760576,20400.0
4780032,22000.0
4800512,17400.0
4820992,22400.0
4840448,20000.0
4860928,20400.0
4880384,15200.0
4900864,13000.0
4920320,18000.0
4940800,24000.0
4960256,20200.0
4980736,15400.0
5000192,23200.0
5020672,17200.0
5040128,16200.0
5060608,20600.0
5080064,20200.0
5100544,18000.0
5120000,16600.0
5140480,16000.0
5160960,19000.0
5180416,20600.0
5200896,15600.0
5220352,15200.0
5240832,17000.0
5260288,17200.0
5280768,19200.0
5300224,15400.0
5320704,21400.0
5340160,19000.0
5360640,21400.0
5380096,21200.0
5400576,19200.0
5420032,19400.0
5440512,18400.0
5460992,18400.0
5480448,14400.0
5500928,16200.0
5520384,14800.0
5540864,18000.0
5560320,18200.0
5580800,21800.0
5600256,13200.0
5620736,18600.0
5640192,13000.0
5660672,12400.0
5680128,12400.0
5700608,16600.0
5720064,14400.0
5740544,16800.0
5760000,19400.0
5780480,14400.0
5800960,14800.0
5820416,14800.0
5840896,15800.0
5860352,19200.0
5880832,16000.0
5900288,21200.0
5920768,18200.0
5940224,14200.0
5960704,19200.0
5980160,16800.0
6000640,18200.0
6020096,16800.0
6040576,18400.0
6060032,17000.0
6080512,14200.0
