Step,Value
20480,387.20001220703125
40960,396.0
60416,413.6000061035156
80896,504.0
100352,369.6000061035156
120832,565.5999755859375
140288,325.6000061035156
160768,511.20001220703125
180224,515.2000122070312
200704,556.0
220160,457.6000061035156
240640,440.0
260096,448.79998779296875
280576,475.20001220703125
300032,404.79998779296875
320512,592.0
340992,431.20001220703125
360448,501.6000061035156
380928,431.20001220703125
400384,431.20001220703125
420864,568.0
440320,501.6000061035156
460800,554.4000244140625
480256,628.0
500736,563.2000122070312
520192,624.7999877929688
540672,422.3999938964844
560128,492.79998779296875
580608,468.79998779296875
600064,431.20001220703125
620544,599.2000122070312
640000,466.3999938964844
660480,528.0
680960,636.0
700416,476.0
720896,547.2000122070312
740352,484.0
760832,466.3999938964844
780288,484.0
800768,563.2000122070312
820224,564.7999877929688
840704,637.5999755859375
860160,528.0
880640,572.7999877929688
900096,369.6000061035156
920576,649.5999755859375
940032,598.4000244140625
960512,572.7999877929688
980992,457.6000061035156
1000448,620.0
1020928,584.0
1040384,504.0
1060864,510.3999938964844
1080320,556.0
1100800,592.0
1120256,413.6000061035156
1140736,510.3999938964844
1160192,596.0
1180672,607.2000122070312
1200128,484.0
1220608,642.4000244140625
1240064,607.2000122070312
1260544,616.7999877929688
1280000,590.4000244140625
1300480,556.7999877929688
1320960,594.4000244140625
1340416,781.5999755859375
1360896,669.5999755859375
1380352,594.4000244140625
1400832,662.4000244140625
1420288,610.4000244140625
1440768,644.0
1460224,691.2000122070312
1480704,545.5999755859375
1500160,713.5999755859375
1520640,556.7999877929688
1540096,647.2000122070312
1560576,581.5999755859375
1580032,554.4000244140625
1600512,616.7999877929688
1620992,554.4000244140625
1640448,775.2000122070312
1660928,580.7999877929688
1680384,739.2000122070312
1700864,788.0
1720320,722.4000244140625
1740800,603.2000122070312
1760256,790.4000244140625
1780736,581.5999755859375
1800192,819.2000122070312
1820672,757.5999755859375
1840128,692.7999877929688
1860608,880.7999877929688
1880064,577.5999755859375
1900544,890.4000244140625
1920000,833.5999755859375
1940480,780.0
1960960,666.4000244140625
1980416,865.5999755859375
2000896,825.5999755859375
2020352,776.0
2040832,692.7999877929688
2060288,980.0
2080768,1083.199951171875
2100224,847.2000122070312
2120704,919.2000122070312
2140160,1141.5999755859375
2160640,1053.5999755859375
2180096,1024.800048828125
2200576,1085.5999755859375
2220032,1027.199951171875
2240512,1563.199951171875
2260992,845.5999755859375
2280448,881.5999755859375
2300928,1677.5999755859375
2320384,1065.5999755859375
2340864,1207.199951171875
2360320,1296.0
2380800,1130.4000244140625
2400256,816.7999877929688
2420736,672.7999877929688
2440192,996.0
2460672,890.4000244140625
2480128,778.4000244140625
2500608,1245.5999755859375
2520064,995.2000122070312
2540544,1096.0
2560000,1034.4000244140625
2580480,882.4000244140625
2600960,1072.800048828125
2620416,1141.5999755859375
2640896,896.0
2660352,1573.5999755859375
2680832,1205.5999755859375
2700288,1044.0
2720768,1662.4000244140625
2740224,1124.800048828125
2760704,1072.800048828125
2780160,1344.800048828125
2800640,976.7999877929688
2820096,1195.199951171875
2840576,795.2000122070312
2860032,1086.4000244140625
2880512,1244.800048828125
2900992,1341.5999755859375
2920448,978.4000244140625
2940928,1861.199951171875
2960384,880.7999877929688
2980864,1465.5999755859375
3000320,1282.4000244140625
3020800,1036.800048828125
3040256,1693.199951171875
3060736,1526.4000244140625
3080192,1411.199951171875
3100672,1728.800048828125
3120128,1414.4000244140625
3140608,1492.800048828125
3160064,1092.0
3180544,1478.4000244140625
3200000,1460.800048828125
3220480,1394.4000244140625
3240960,1208.800048828125
3260416,1209.5999755859375
3280896,1620.800048828125
3300352,800.0
3320832,1464.0
3340288,1231.199951171875
3360768,997.5999755859375
3380224,1308.800048828125
3400704,1361.5999755859375
3420160,1464.0
3440640,1200.0
3460096,1076.0
3480576,967.2000122070312
3500032,1156.0
3520512,1574.4000244140625
3540992,1342.4000244140625
3560448,1094.4000244140625
3580928,1092.0
3600384,1191.199951171875
3620864,1488.0
3640320,1210.4000244140625
3660800,1240.800048828125
3680256,1171.199951171875
3700736,1210.4000244140625
3720192,1111.199951171875
3740672,976.7999877929688
3760128,1312.0
3780608,1248.800048828125
3800064,1354.4000244140625
3820544,1332.800048828125
3840000,1132.0
3860480,1224.0
3880960,1304.0
3900416,1120.800048828125
3920896,2147.199951171875
3940352,1531.199951171875
3960832,1963.199951171875
3980288,1394.4000244140625
4000768,1488.800048828125
4020224,1370.4000244140625
4040704,967.2000122070312
4060160,1236.0
4080640,1350.4000244140625
4100096,1303.199951171875
4120576,1145.5999755859375
4140032,1257.5999755859375
4160512,1409.5999755859375
4180992,1507.199951171875
4200448,1015.2000122070312
4220928,1192.0
4240384,1292.0
4260864,1402.4000244140625
4280320,1160.800048828125
4300800,1197.5999755859375
4320256,1149.5999755859375
4340736,1113.5999755859375
4360192,1180.800048828125
4380672,1278.4000244140625
4400128,1372.0
4420608,1197.5999755859375
4440064,1608.800048828125
4460544,1649.5999755859375
4480000,1353.5999755859375
4500480,1449.5999755859375
4520960,2132.0
4540416,1154.4000244140625
4560896,1277.5999755859375
4580352,1452.800048828125
4600832,1293.5999755859375
4620288,1188.0
4640768,1549.5999755859375
4660224,1159.199951171875
4680704,1541.5999755859375
4700160,1314.4000244140625
4720640,1580.800048828125
4740096,1133.5999755859375
4760576,1334.4000244140625
4780032,1353.5999755859375
4800512,1236.800048828125
4820992,2519.60009765625
4840448,1567.199951171875
4860928,1392.0
4880384,1995.199951171875
4900864,1713.5999755859375
4920320,2016.0
4940800,1632.0
4960256,1855.199951171875
4980736,1130.4000244140625
5000192,2167.199951171875
5020672,1375.199951171875
5040128,1511.199951171875
5060608,1380.0
5080064,1306.4000244140625
5100544,1896.800048828125
5120000,1566.4000244140625
