Step,Value
20480,1823.0
40960,3029.0
60416,2149.199951171875
80896,2665.60009765625
100352,3354.60009765625
120832,1987.0
140288,1693.0
160768,3296.0
180224,2701.60009765625
200704,2696.60009765625
220160,2049.199951171875
240640,2918.199951171875
260096,3285.0
280576,2178.199951171875
300032,1906.5999755859375
320512,2185.39990234375
340992,2474.0
360448,2873.199951171875
380928,1830.199951171875
400384,3391.199951171875
420864,1581.4000244140625
440320,2084.199951171875
460800,2047.0
480256,2557.0
500736,2389.0
520192,3526.199951171875
540672,4121.2001953125
560128,2188.800048828125
580608,2735.800048828125
600064,2274.800048828125
620544,4440.39990234375
640000,3048.199951171875
660480,3510.199951171875
680960,3474.0
700416,3509.199951171875
720896,3438.39990234375
740352,1873.0
760832,2921.60009765625
780288,2508.39990234375
800768,2301.199951171875
820224,2316.800048828125
840704,3775.199951171875
860160,3116.199951171875
880640,3915.800048828125
900096,4215.2001953125
920576,2554.199951171875
940032,3717.0
960512,1958.5999755859375
980992,3514.60009765625
1000448,2500.39990234375
1020928,3666.39990234375
1040384,1112.4000244140625
1060864,2260.60009765625
1080320,3262.0
1100800,2169.0
1120256,3541.800048828125
1140736,1840.800048828125
1160192,1924.0
1180672,3122.60009765625
1200128,1888.4000244140625
1220608,2538.39990234375
1240064,2399.60009765625
1260544,2778.39990234375
1280000,2526.60009765625
1300480,1691.5999755859375
1320960,2095.39990234375
1340416,2347.60009765625
1360896,3122.0
1380352,2888.199951171875
1400832,1776.199951171875
1420288,2125.0
1440768,2826.0
1460224,2365.0
1480704,2975.60009765625
1500160,1707.5999755859375
1520640,2572.39990234375
1540096,1701.199951171875
1560576,2847.39990234375
1580032,1914.800048828125
1600512,2700.0
1620992,2331.39990234375
1640448,3099.60009765625
1660928,3405.0
1680384,2751.39990234375
1700864,2423.800048828125
1720320,1386.199951171875
1740800,2324.39990234375
1760256,2274.39990234375
1780736,3909.800048828125
1800192,1916.4000244140625
1820672,2604.0
1840128,3096.39990234375
1860608,2495.39990234375
1880064,2596.800048828125
1900544,3898.0
1920000,2842.60009765625
1940480,4311.2001953125
1960960,3864.800048828125
1980416,2674.0
2000896,3854.0
2020352,2551.60009765625
2040832,2156.39990234375
2060288,4259.0
2080768,4026.199951171875
2100224,2220.199951171875
2120704,3208.60009765625
2140160,2390.800048828125
2160640,2350.199951171875
2180096,3297.199951171875
2200576,2730.60009765625
2220032,2784.39990234375
2240512,3035.39990234375
2260992,2007.4000244140625
2280448,2659.60009765625
2300928,3321.39990234375
2320384,3803.199951171875
2340864,3999.0
2360320,3106.199951171875
2380800,2692.800048828125
2400256,2342.0
2420736,2459.800048828125
2440192,2823.39990234375
2460672,2919.60009765625
2480128,3146.199951171875
2500608,2478.800048828125
2520064,2643.0
2540544,3462.0
2560000,2506.199951171875
2580480,1818.800048828125
2600960,2704.800048828125
2620416,3589.0
2640896,4718.60009765625
2660352,2830.199951171875
2680832,2505.0
2700288,2542.60009765625
2720768,2603.800048828125
2740224,2511.199951171875
2760704,2159.800048828125
2780160,3507.60009765625
2800640,4398.0
2820096,3612.800048828125
2840576,2501.60009765625
2860032,3642.0
2880512,3393.199951171875
2900992,2613.0
2920448,3253.0
2940928,2147.0
2960384,3313.39990234375
2980864,2776.199951171875
3000320,2414.800048828125
3020800,3401.60009765625
3040256,3530.199951171875
3060736,2803.199951171875
3080192,3082.0
3100672,2171.39990234375
3120128,2041.4000244140625
3140608,2886.39990234375
3160064,2431.39990234375
3180544,1655.199951171875
3200000,2780.0
3220480,1869.800048828125
3240960,2868.60009765625
3260416,2619.39990234375
3280896,2874.39990234375
3300352,1955.4000244140625
3320832,3967.199951171875
3340288,2961.0
3360768,2101.39990234375
3380224,4490.60009765625
3400704,3215.0
3420160,3907.39990234375
3440640,3347.199951171875
3460096,3476.39990234375
3480576,3745.60009765625
3500032,3530.39990234375
3520512,3015.60009765625
3540992,3578.800048828125
3560448,2886.800048828125
3580928,2497.0
3600384,3180.0
3620864,5287.7998046875
3640320,4455.2001953125
3660800,4638.60009765625
3680256,2866.0
3700736,2163.60009765625
3720192,2751.60009765625
3740672,2356.0
3760128,3271.199951171875
3780608,3202.800048828125
3800064,2866.199951171875
3820544,3185.39990234375
3840000,3528.0
3860480,3831.60009765625
3880960,2965.199951171875
3900416,2751.60009765625
3920896,2490.0
3940352,4194.39990234375
3960832,3578.199951171875
3980288,3414.800048828125
4000768,4157.7998046875
4020224,3879.39990234375
4040704,3371.800048828125
4060160,2912.60009765625
4080640,2500.39990234375
4100096,3330.39990234375
4120576,2791.800048828125
4140032,2924.0
4160512,2721.39990234375
4180992,2762.39990234375
4200448,3170.199951171875
4220928,2670.800048828125
4240384,3514.800048828125
4260864,1525.199951171875
4280320,3054.60009765625
4300800,3465.199951171875
4320256,4558.7998046875
4340736,4078.60009765625
4360192,3575.800048828125
4380672,3953.800048828125
4400128,2362.0
4420608,2000.800048828125
4440064,2809.199951171875
4460544,3094.199951171875
4480000,2599.39990234375
4500480,3742.60009765625
4520960,2710.800048828125
4540416,3279.199951171875
4560896,3652.60009765625
4580352,3644.800048828125
