Step,Value
20480,320.0
40960,900.0
60416,920.0
80896,860.0
100352,720.0
120832,640.0
140288,1300.0
160768,500.0
180224,820.0
200704,820.0
220160,980.0
240640,840.0
260096,700.0
280576,600.0
300032,500.0
320512,640.0
340992,380.0
360448,140.0
380928,160.0
400384,220.0
420864,320.0
440320,540.0
460800,360.0
480256,380.0
500736,520.0
520192,320.0
540672,560.0
560128,480.0
580608,640.0
600064,720.0
620544,560.0
640000,480.0
660480,200.0
680960,560.0
700416,380.0
720896,960.0
740352,740.0
760832,880.0
780288,840.0
800768,820.0
820224,900.0
840704,860.0
860160,1060.0
880640,500.0
900096,860.0
920576,580.0
940032,620.0
960512,500.0
980992,800.0
1000448,720.0
1020928,960.0
1040384,760.0
1060864,740.0
1080320,940.0
1100800,740.0
1120256,740.0
1140736,900.0
1160192,900.0
1180672,760.0
1200128,580.0
1220608,520.0
1240064,360.0
1260544,780.0
1280000,700.0
1300480,940.0
1320960,980.0
1340416,940.0
1360896,720.0
1380352,600.0
1400832,680.0
1420288,880.0
1440768,760.0
1460224,680.0
1480704,500.0
1500160,760.0
1520640,760.0
1540096,800.0
1560576,660.0
1580032,760.0
1600512,860.0
1620992,620.0
1640448,780.0
1660928,780.0
1680384,1200.0
1700864,800.0
1720320,840.0
1740800,940.0
1760256,900.0
1780736,900.0
1800192,1040.0
1820672,760.0
1840128,800.0
1860608,960.0
1880064,780.0
1900544,940.0
1920000,900.0
1940480,840.0
1960960,940.0
1980416,1100.0
2000896,780.0
2020352,620.0
2040832,760.0
2060288,760.0
2080768,580.0
2100224,840.0
2120704,780.0
2140160,940.0
2160640,680.0
2180096,660.0
2200576,880.0
2220032,820.0
2240512,1000.0
2260992,980.0
2280448,820.0
2300928,900.0
2320384,980.0
2340864,700.0
2360320,760.0
2380800,900.0
2400256,760.0
2420736,820.0
2440192,720.0
2460672,580.0
2480128,880.0
2500608,1080.0
2520064,560.0
2540544,720.0
2560000,740.0
2580480,960.0
2600960,880.0
2620416,860.0
2640896,700.0
2660352,720.0
2680832,920.0
2700288,700.0
2720768,900.0
2740224,940.0
2760704,760.0
2780160,780.0
2800640,820.0
2820096,1000.0
2840576,780.0
2860032,820.0
2880512,820.0
2900992,560.0
2920448,840.0
2940928,520.0
2960384,600.0
2980864,560.0
3000320,580.0
3020800,1100.0
3040256,520.0
3060736,660.0
3080192,860.0
3100672,920.0
3120128,580.0
3140608,640.0
3160064,680.0
3180544,800.0
3200000,520.0
3220480,900.0
3240960,580.0
3260416,1120.0
3280896,720.0
3300352,1120.0
3320832,900.0
3340288,740.0
3360768,940.0
3380224,1200.0
3400704,1320.0
3420160,800.0
3440640,1160.0
3460096,660.0
3480576,720.0
3500032,680.0
3520512,760.0
3540992,960.0
3560448,980.0
3580928,840.0
3600384,680.0
3620864,1080.0
3640320,740.0
3660800,720.0
3680256,680.0
3700736,740.0
3720192,580.0
3740672,780.0
3760128,940.0
3780608,600.0
3800064,840.0
3820544,620.0
3840000,720.0
3860480,720.0
3880960,760.0
3900416,840.0
3920896,720.0
3940352,800.0
3960832,520.0
3980288,820.0
4000768,760.0
4020224,660.0
4040704,840.0
4060160,760.0
4080640,840.0
4100096,840.0
4120576,1000.0
4140032,580.0
4160512,660.0
4180992,660.0
4200448,840.0
4220928,660.0
4240384,700.0
4260864,660.0
4280320,820.0
4300800,700.0
4320256,740.0
4340736,940.0
4360192,720.0
4380672,860.0
4400128,940.0
4420608,780.0
4440064,760.0
4460544,760.0
4480000,960.0
4500480,1020.0
4520960,760.0
4540416,720.0
4560896,700.0
4580352,720.0
4600832,840.0
4620288,640.0
4640768,740.0
4660224,740.0
4680704,620.0
4700160,780.0
4720640,700.0
4740096,700.0
4760576,900.0
4780032,620.0
4800512,660.0
4820992,900.0
4840448,720.0
4860928,600.0
4880384,1020.0
4900864,620.0
4920320,560.0
4940800,640.0
4960256,1020.0
4980736,620.0
5000192,700.0
