Step,Value
20480,640.0
40960,180.0
60416,140.0
80896,380.0
100352,240.0
120832,300.0
140288,360.0
160768,900.0
180224,820.0
200704,1160.0
220160,720.0
240640,800.0
260096,840.0
280576,1260.0
300032,1200.0
320512,700.0
340992,760.0
360448,760.0
380928,820.0
400384,740.0
420864,860.0
440320,840.0
460800,480.0
480256,960.0
500736,780.0
520192,760.0
540672,980.0
560128,620.0
580608,580.0
600064,820.0
620544,1060.0
640000,600.0
660480,900.0
680960,920.0
700416,660.0
720896,860.0
740352,1100.0
760832,760.0
780288,720.0
800768,860.0
