Step,Value
20480,10420.0
40960,10720.0
60416,13120.0
80896,14520.0
100352,17080.0
120832,19060.0
140288,17480.0
160768,23280.0
180224,19980.0
200704,28060.0
220160,29080.0
240640,29480.0
260096,30600.0
280576,29680.0
300032,36040.0
320512,33260.0
340992,25680.0
360448,44820.0
380928,39800.0
400384,40000.0
420864,49460.0
440320,23620.0
460800,18800.0
480256,35320.0
500736,45540.0
520192,45340.0
540672,27700.0
560128,32600.0
580608,32500.0
600064,35220.0
620544,62940.0
640000,46720.0
660480,32320.0
680960,48280.0
700416,46720.0
720896,41660.0
740352,69040.0
760832,39620.0
780288,35840.0
800768,40040.0
820224,36660.0
840704,49140.0
860160,42680.0
880640,22000.0
900096,42780.0
920576,39020.0
940032,26220.0
960512,48020.0
980992,37860.0
1000448,74980.0
1020928,58320.0
1040384,46820.0
1060864,53400.0
1080320,44360.0
1100800,68680.0
1120256,34920.0
1140736,39580.0
1160192,64220.0
1180672,55120.0
1200128,62080.0
1220608,76880.0
1240064,41040.0
1260544,44500.0
1280000,27080.0
1300480,45020.0
1320960,43040.0
1340416,49400.0
1360896,49600.0
1380352,61580.0
1400832,63340.0
1420288,59740.0
1440768,70480.0
1460224,78700.0
1480704,71040.0
1500160,67840.0
1520640,68860.0
1540096,52500.0
1560576,67620.0
1580032,76620.0
1600512,63480.0
1620992,68380.0
1640448,73800.0
1660928,81320.0
1680384,82660.0
1700864,75760.0
1720320,38960.0
1740800,58960.0
1760256,51500.0
1780736,53940.0
1800192,77260.0
1820672,64740.0
1840128,68780.0
1860608,73660.0
1880064,54080.0
1900544,54140.0
1920000,47140.0
1940480,67480.0
1960960,58840.0
1980416,70400.0
2000896,86900.0
2020352,63440.0
2040832,48620.0
2060288,49020.0
2080768,95300.0
2100224,91820.0
2120704,94080.0
2140160,62980.0
2160640,90500.0
2180096,101320.0
2200576,57360.0
2220032,70480.0
2240512,68060.0
2260992,67920.0
2280448,84220.0
2300928,57760.0
2320384,62780.0
2340864,67760.0
2360320,102280.0
2380800,75720.0
2400256,96500.0
2420736,103480.0
2440192,93100.0
2460672,49000.0
2480128,48100.0
2500608,106360.0
2520064,79960.0
2540544,90400.0
2560000,55100.0
2580480,56340.0
2600960,71700.0
2620416,66280.0
2640896,70920.0
2660352,68040.0
2680832,62980.0
2700288,21080.0
2720768,22640.0
2740224,62300.0
2760704,72500.0
2780160,91860.0
2800640,55460.0
2820096,93120.0
2840576,88460.0
2860032,101700.0
2880512,85740.0
2900992,46160.0
2920448,105340.0
2940928,85500.0
2960384,79260.0
2980864,80520.0
3000320,100280.0
3020800,91320.0
