Step,Value
20480,279.0
40960,222.0
60416,205.0
80896,243.0
100352,169.0
120832,172.0
140288,158.0
160768,190.0
180224,229.0
200704,268.0
220160,116.0
240640,185.0
260096,204.0
280576,233.0
300032,260.0
320512,249.0
340992,296.0
360448,262.0
380928,714.0
400384,316.0
420864,401.0
440320,286.0
460800,576.0
480256,240.0
500736,313.0
520192,1173.0
540672,599.0
560128,980.0
580608,828.0
600064,768.0
620544,1354.0
640000,1174.0
660480,835.0
680960,1691.0
700416,2346.0
720896,1478.0
740352,1776.0
760832,1376.0
780288,2492.0
800768,2107.0
820224,828.0
840704,1211.0
860160,1599.0
880640,2302.0
900096,3329.0
920576,2182.0
940032,3934.0
960512,2991.0
980992,2562.0
1000448,3276.0
1020928,3088.0
1040384,1698.0
1060864,2915.0
1080320,3050.0
1100800,4474.0
1120256,2389.0
1140736,3875.0
1160192,2729.0
1180672,6303.0
1200128,5293.0
1220608,4440.0
1240064,3580.0
1260544,3170.0
1280000,2887.0
1300480,2563.0
1320960,2936.0
1340416,2670.0
1360896,3467.0
1380352,5343.0
1400832,3875.0
1420288,3082.0
1440768,4168.0
1460224,5645.0
1480704,3104.0
1500160,4779.0
1520640,5019.0
1540096,4422.0
1560576,5883.0
1580032,5396.0
1600512,4741.0
1620992,4302.0
1640448,4142.0
1660928,3298.0
1680384,3640.0
1700864,4622.0
1720320,5118.0
1740800,1840.0
1760256,4904.0
1780736,3285.0
1800192,5946.0
1820672,3894.0
1840128,5347.0
1860608,3020.0
1880064,3234.0
1900544,6370.0
1920000,5267.0
1940480,5834.0
1960960,4027.0
1980416,4571.0
2000896,5719.0
2020352,3850.0
2040832,3460.0
2060288,3312.0
2080768,4582.0
2100224,7339.0
2120704,4578.0
2140160,2872.0
2160640,4146.0
2180096,5765.0
2200576,4487.0
2220032,3045.0
2240512,3462.0
2260992,6795.0
2280448,7397.0
2300928,6238.0
2320384,4168.0
2340864,7536.0
2360320,6362.0
2380800,5850.0
2400256,5909.0
2420736,5632.0
2440192,6318.0
2460672,1818.0
2480128,5966.0
2500608,5157.0
2520064,7749.0
2540544,3022.0
2560000,4280.0
2580480,5703.0
2600960,6756.0
2620416,5851.0
2640896,4826.0
2660352,7858.0
2680832,5451.0
2700288,6688.0
2720768,6075.0
2740224,5861.0
2760704,6190.0
2780160,5527.0
2800640,8273.0
2820096,4208.0
2840576,8090.0
2860032,5232.0
2880512,3766.0
2900992,4500.0
2920448,3434.0
2940928,5162.0
2960384,6147.0
2980864,7572.0
3000320,7777.0
3020800,8731.0
3040256,7061.0
3060736,8173.0
3080192,3918.0
3100672,7015.0
3120128,7108.0
3140608,6214.0
3160064,7144.0
3180544,6303.0
3200000,6911.0
3220480,3567.0
3240960,3805.0
3260416,5757.0
3280896,4582.0
3300352,7362.0
3320832,4710.0
3340288,3126.0
3360768,4094.0
3380224,2916.0
3400704,7795.0
3420160,6265.0
3440640,6343.0
3460096,2392.0
3480576,8188.0
3500032,5454.0
3520512,9020.0
3540992,7139.0
3560448,7698.0
3580928,5088.0
3600384,3538.0
3620864,7080.0
3640320,5189.0
3660800,8085.0
3680256,8148.0
3700736,5596.0
3720192,7031.0
3740672,7176.0
3760128,7139.0
3780608,7070.0
3800064,6750.0
3820544,8661.0
3840000,7858.0
3860480,7266.0
3880960,8259.0
