Step,Value
20480,-16.0
40960,-18.799999237060547
60416,-16.799999237060547
80896,-18.0
100352,-18.799999237060547
120832,-17.200000762939453
140288,-19.200000762939453
160768,-20.0
180224,-19.600000381469727
200704,-16.0
220160,-17.200000762939453
240640,-18.399999618530273
260096,-18.0
280576,-17.200000762939453
300032,-20.0
320512,-20.799999237060547
340992,-19.600000381469727
360448,-16.799999237060547
380928,-16.0
400384,-18.399999618530273
420864,-19.200000762939453
440320,-16.799999237060547
460800,-19.600000381469727
480256,-20.399999618530273
500736,-16.0
520192,-19.600000381469727
540672,-17.600000381469727
560128,-16.399999618530273
580608,-16.799999237060547
600064,-16.799999237060547
620544,-14.0
640000,-18.399999618530273
660480,-19.600000381469727
680960,-17.600000381469727
700416,-16.399999618530273
720896,-18.0
740352,-20.799999237060547
760832,-18.799999237060547
780288,-16.0
800768,-16.399999618530273
820224,-16.0
840704,-14.800000190734863
860160,-16.799999237060547
880640,-18.799999237060547
900096,-17.600000381469727
920576,-16.399999618530273
940032,-16.399999618530273
960512,-16.399999618530273
980992,-16.399999618530273
1000448,-16.399999618530273
1020928,-19.200000762939453
1040384,-14.800000190734863
1060864,-16.799999237060547
1080320,-14.399999618530273
1100800,-18.799999237060547
1120256,-17.600000381469727
1140736,-18.399999618530273
1160192,-16.799999237060547
1180672,-18.399999618530273
1200128,-16.399999618530273
1220608,-16.0
1240064,-20.399999618530273
1260544,-17.600000381469727
1280000,-17.600000381469727
1300480,-15.199999809265137
1320960,-10.800000190734863
1340416,-14.800000190734863
1360896,-14.800000190734863
1380352,-16.399999618530273
1400832,-11.600000381469727
1420288,-17.200000762939453
1440768,-16.799999237060547
1460224,-12.399999618530273
1480704,-16.399999618530273
1500160,-15.600000381469727
1520640,-13.199999809265137
1540096,-17.200000762939453
1560576,-15.600000381469727
1580032,-17.600000381469727
1600512,-15.199999809265137
1620992,-18.399999618530273
1640448,-11.199999809265137
1660928,-16.799999237060547
1680384,-14.0
1700864,-17.200000762939453
1720320,-15.199999809265137
1740800,-16.399999618530273
1760256,-15.600000381469727
1780736,-16.0
1800192,-16.0
1820672,-14.399999618530273
1840128,-10.800000190734863
1860608,-1.2000000476837158
1880064,-15.600000381469727
1900544,-13.199999809265137
1920000,-15.600000381469727
1940480,-16.0
1960960,-17.200000762939453
1980416,-17.200000762939453
2000896,-18.399999618530273
2020352,-16.399999618530273
2040832,-11.600000381469727
2060288,-6.0
2080768,-11.199999809265137
2100224,-4.800000190734863
2120704,-12.399999618530273
2140160,-2.799999952316284
2160640,-16.399999618530273
2180096,-14.800000190734863
2200576,-16.399999618530273
2220032,-10.800000190734863
2240512,-16.799999237060547
2260992,-4.0
2280448,-16.0
2300928,-13.600000381469727
2320384,-13.600000381469727
2340864,-14.800000190734863
2360320,-18.0
2380800,-18.399999618530273
2400256,-17.600000381469727
2420736,-14.800000190734863
2440192,-13.199999809265137
2460672,-16.0
2480128,-12.800000190734863
2500608,-14.800000190734863
2520064,-17.600000381469727
2540544,-15.199999809265137
2560000,-21.200000762939453
2580480,-2.799999952316284
