Step,Value
20480,-88.5999984741211
40960,-89.4000015258789
60416,-96.5999984741211
80896,-94.19999694824219
100352,-92.19999694824219
120832,-91.0
140288,-95.0
160768,-88.5999984741211
180224,-95.0
200704,-95.0
220160,-93.80000305175781
240640,-95.80000305175781
260096,-93.4000015258789
280576,-91.0
300032,-90.19999694824219
320512,-89.0
340992,-86.19999694824219
360448,-85.0
380928,-92.5999984741211
400384,-91.0
420864,-87.0
440320,-88.19999694824219
460800,-95.4000015258789
480256,-95.80000305175781
500736,-96.5999984741211
520192,-88.5999984741211
540672,-93.80000305175781
560128,-89.80000305175781
580608,-93.4000015258789
600064,-93.4000015258789
620544,-91.0
640000,-91.4000015258789
660480,-97.0
680960,-97.80000305175781
700416,-97.4000015258789
720896,-96.5999984741211
740352,-92.19999694824219
760832,-91.4000015258789
780288,-95.0
800768,-93.4000015258789
820224,-94.5999984741211
840704,-95.4000015258789
860160,-89.0
880640,-90.5999984741211
900096,-92.19999694824219
920576,-96.5999984741211
940032,-85.80000305175781
960512,-93.4000015258789
980992,-91.4000015258789
1000448,-94.19999694824219
1020928,-92.19999694824219
1040384,-87.0
1060864,-95.0
1080320,-95.4000015258789
1100800,-89.80000305175781
1120256,-91.80000305175781
1140736,-85.80000305175781
1160192,-85.80000305175781
1180672,-85.0
1200128,-87.4000015258789
1220608,-92.19999694824219
1240064,-89.4000015258789
1260544,-89.80000305175781
1280000,-98.19999694824219
1300480,-92.19999694824219
1320960,-87.80000305175781
1340416,-95.4000015258789
1360896,-83.80000305175781
1380352,-86.19999694824219
1400832,-85.0
1420288,-88.19999694824219
1440768,-91.0
1460224,-86.19999694824219
1480704,-87.80000305175781
1500160,-93.80000305175781
1520640,-89.0
1540096,-85.80000305175781
1560576,-87.4000015258789
1580032,-81.0
1600512,-90.19999694824219
1620992,-90.5999984741211
1640448,-89.4000015258789
1660928,-90.19999694824219
1680384,-95.4000015258789
1700864,-91.0
1720320,-83.4000015258789
1740800,-88.5999984741211
1760256,-96.5999984741211
1780736,-91.0
1800192,-89.4000015258789
1820672,-85.4000015258789
1840128,-91.0
1860608,-90.19999694824219
1880064,-88.19999694824219
1900544,-80.19999694824219
1920000,-89.0
1940480,-78.5999984741211
1960960,-82.5999984741211
1980416,-82.5999984741211
2000896,-89.0
2020352,-88.5999984741211
2040832,-86.5999984741211
2060288,-82.5999984741211
2080768,-85.80000305175781
2100224,-85.80000305175781
2120704,-84.5999984741211
2140160,-87.80000305175781
2160640,-89.4000015258789
2180096,-87.0
2200576,-84.5999984741211
2220032,-91.0
2240512,-87.80000305175781
2260992,-85.4000015258789
2280448,-85.0
2300928,-80.5999984741211
2320384,-86.5999984741211
2340864,-80.19999694824219
2360320,-81.0
2380800,-87.4000015258789
2400256,-82.19999694824219
2420736,-91.0
2440192,-89.4000015258789
2460672,-95.0
2480128,-94.5999984741211
2500608,-96.19999694824219
2520064,-90.5999984741211
2540544,-97.80000305175781
2560000,-92.5999984741211
2580480,-99.0
2600960,-97.5999984741211
2620416,-91.0
2640896,-81.80000305175781
2660352,-81.4000015258789
2680832,-81.0
2700288,-83.0
2720768,-83.4000015258789
2740224,-87.0
2760704,-82.19999694824219
2780160,-72.19999694824219
2800640,-78.19999694824219
2820096,-83.80000305175781
2840576,-94.5999984741211
2860032,-88.4000015258789
2880512,-87.4000015258789
2900992,-84.5999984741211
2920448,-84.5999984741211
2940928,-77.0
2960384,-70.5999984741211
2980864,-86.19999694824219
3000320,-81.4000015258789
3020800,-85.80000305175781
3040256,-66.5999984741211
3060736,-83.0
3080192,-83.4000015258789
3100672,-87.80000305175781
3120128,-87.80000305175781
3140608,-74.19999694824219
3160064,-76.5999984741211
3180544,-79.0
3200000,-81.0
3220480,-77.4000015258789
3240960,-81.4000015258789
3260416,-78.5999984741211
3280896,-81.80000305175781
3300352,-73.0
3320832,-81.4000015258789
3340288,-75.4000015258789
3360768,-80.19999694824219
3380224,-85.4000015258789
3400704,-87.0
3420160,-74.19999694824219
3440640,-82.19999694824219
3460096,-78.19999694824219
3480576,-77.0
3500032,-79.80000305175781
3520512,-79.0
3540992,-88.5999984741211
3560448,-74.5999984741211
3580928,-85.4000015258789
3600384,-81.80000305175781
3620864,-77.4000015258789
3640320,-79.0
3660800,-79.80000305175781
3680256,-73.4000015258789
3700736,-81.4000015258789
3720192,-74.19999694824219
3740672,-88.19999694824219
3760128,-85.0
3780608,-82.5999984741211
3800064,-87.4000015258789
3820544,-97.4000015258789
3840000,-89.0
3860480,-78.19999694824219
3880960,-84.5999984741211
3900416,-81.80000305175781
3920896,-81.0
3940352,-79.80000305175781
3960832,-78.5999984741211
3980288,-77.0
4000768,-85.80000305175781
4020224,-77.4000015258789
4040704,-81.0
4060160,-75.0
4080640,-88.5999984741211
4100096,-80.5999984741211
4120576,-83.4000015258789
4140032,-85.4000015258789
4160512,-85.0
4180992,-75.4000015258789
4200448,-83.4000015258789
4220928,-76.5999984741211
4240384,-74.19999694824219
4260864,-77.80000305175781
4280320,-81.4000015258789
4300800,-78.19999694824219
4320256,-75.0
4340736,-77.80000305175781
4360192,-72.4000015258789
4380672,-69.0
4400128,-78.19999694824219
4420608,-70.19999694824219
4440064,-71.4000015258789
4460544,-74.19999694824219
4480000,-68.19999694824219
4500480,-76.5999984741211
4520960,-75.4000015258789
4540416,-77.0
4560896,-74.19999694824219
4580352,-78.5999984741211
4600832,-67.0
4620288,-71.0
4640768,-76.19999694824219
4660224,-70.5999984741211
4680704,-84.5999984741211
4700160,-81.4000015258789
4720640,-81.4000015258789
4740096,-75.4000015258789
4760576,-77.0
4780032,-75.0
4800512,-76.19999694824219
4820992,-73.4000015258789
4840448,-71.4000015258789
4860928,-75.0
4880384,-77.4000015258789
4900864,-73.0
4920320,-71.80000305175781
4940800,-79.0
4960256,-73.80000305175781
4980736,-69.80000305175781
5000192,-69.0
5020672,-71.80000305175781
5040128,-73.0
5060608,-68.19999694824219
5080064,-70.19999694824219
5100544,-68.5999984741211
5120000,-70.5999984741211
5140480,-65.0
5160960,-72.19999694824219
5180416,-69.0
5200896,-67.0
5220352,-73.80000305175781
5240832,-63.400001525878906
5260288,-65.4000015258789
5280768,-69.4000015258789
5300224,-60.599998474121094
5320704,-70.5999984741211
5340160,-81.0
5360640,-75.80000305175781
5380096,-74.5999984741211
5400576,-70.5999984741211
5420032,-59.400001525878906
5440512,-67.0
5460992,-71.0
5480448,-69.80000305175781
5500928,-65.0
5520384,-65.0
5540864,-71.80000305175781
5560320,-73.4000015258789
5580800,-62.20000076293945
5600256,-66.19999694824219
5620736,-56.20000076293945
5640192,-68.4000015258789
5660672,-59.0
5680128,-62.20000076293945
5700608,-58.20000076293945
5720064,-64.5999984741211
5740544,-59.400001525878906
5760000,-53.0
5780480,-51.0
5800960,-61.0
5820416,-63.400001525878906
5840896,-56.20000076293945
5860352,-65.80000305175781
5880832,-63.400001525878906
5900288,-59.79999923706055
5920768,-67.4000015258789
5940224,-57.599998474121094
5960704,-60.20000076293945
5980160,-59.79999923706055
6000640,-59.0
6020096,-59.79999923706055
6040576,-53.79999923706055
6060032,-47.79999923706055
6080512,-59.0
6100992,-52.20000076293945
6120448,-41.79999923706055
6140928,-53.0
6160384,-59.0
6180864,-56.599998474121094
6200320,-51.79999923706055
6220800,-54.599998474121094
6240256,-51.79999923706055
6260736,-55.400001525878906
6280192,-55.79999923706055
6300672,-53.0
6320128,-47.400001525878906
6340608,-60.599998474121094
6360064,-47.400001525878906
6380544,-56.20000076293945
6400000,-45.400001525878906
6420480,-67.4000015258789
6440960,-51.400001525878906
6460416,-50.599998474121094
6480896,-59.400001525878906
6500352,-65.0
6520832,-52.20000076293945
6540288,-59.400001525878906
6560768,-47.0
6580224,-51.0
6600704,-53.79999923706055
6620160,-43.0
6640640,-45.79999923706055
6660096,-48.20000076293945
6680576,-53.0
6700032,-53.79999923706055
6720512,-35.0
6740992,-55.400001525878906
6760448,-55.400001525878906
6780928,-54.599998474121094
6800384,-54.20000076293945
6820864,-65.4000015258789
6840320,-54.599998474121094
6860800,-53.0
6880256,-51.400001525878906
6900736,-61.400001525878906
6920192,-51.400001525878906
6940672,-55.79999923706055
6960128,-44.599998474121094
6980608,-47.79999923706055
7000064,-40.599998474121094
7020544,-50.599998474121094
7040000,-40.599998474121094
7060480,-53.0
7080960,-44.20000076293945
7100416,-57.79999923706055
7120896,-45.79999923706055
7140352,-53.79999923706055
7160832,-51.0
7180288,-51.400001525878906
7200768,-48.20000076293945
7220224,-49.400001525878906
7240704,-41.400001525878906
7260160,-49.400001525878906
7280640,-43.0
7300096,-47.0
7320576,-43.400001525878906
7340032,-47.0
7360512,-38.20000076293945
7380992,-39.400001525878906
7400448,-46.599998474121094
7420928,-58.599998474121094
7440384,-41.79999923706055
7460864,-48.599998474121094
7480320,-48.79999923706055
7500800,-50.20000076293945
7520256,-35.400001525878906
7540736,-42.20000076293945
7560192,-41.79999923706055
7580672,-32.599998474121094
7600128,-40.599998474121094
7620608,-37.0
7640064,-42.20000076293945
7660544,-38.20000076293945
7680000,-38.20000076293945
7700480,-33.79999923706055
7720960,-45.400001525878906
7740416,-39.400001525878906
7760896,-43.0
7780352,-42.599998474121094
7800832,-43.0
7820288,-38.599998474121094
7840768,-39.0
7860224,-32.599998474121094
7880704,-30.799999237060547
7900160,-35.0
7920640,-33.79999923706055
7940096,-32.599998474121094
7960576,-28.600000381469727
7980032,-43.79999923706055
8000512,-49.79999923706055
8020992,-34.20000076293945
8040448,-18.600000381469727
8060928,-35.79999923706055
8080384,-33.79999923706055
8100864,-38.599998474121094
8120320,-25.399999618530273
8140800,-28.200000762939453
8160256,-47.0
8180736,-37.0
8200192,-39.0
8220672,-25.399999618530273
8240128,-40.20000076293945
8260608,-46.599998474121094
8280064,-36.20000076293945
8300544,-31.399999618530273
8320000,-31.0
8340480,-36.599998474121094
8360960,-28.799999237060547
8380416,-37.0
8400896,-28.200000762939453
8420352,-50.599998474121094
8440832,-27.799999237060547
8460288,-31.0
8480768,-42.20000076293945
8500224,-39.400001525878906
8520704,-25.0
8540160,-27.799999237060547
8560640,-35.79999923706055
8580096,-41.79999923706055
8600576,-43.0
8620032,-34.20000076293945
8640512,-36.599998474121094
8660992,-37.79999923706055
8680448,-39.79999923706055
8700928,-30.200000762939453
8720384,-23.0
8740864,-33.0
8760320,-35.400001525878906
8780800,-30.200000762939453
8800256,-30.200000762939453
8820736,-32.599998474121094
8840192,-30.200000762939453
8860672,-35.79999923706055
8880128,-31.399999618530273
8900608,-37.0
8920064,-35.0
8940544,-24.200000762939453
8960000,-22.600000381469727
8980480,-27.799999237060547
9000960,-38.599998474121094
9020416,-29.0
9040896,-21.399999618530273
9060352,-34.20000076293945
9080832,-33.79999923706055
9100288,-20.200000762939453
9120768,-42.599998474121094
