Step,Value
20480,110.0
40960,114.0
60416,104.0
80896,156.0
100352,184.0
120832,200.0
140288,194.0
160768,214.0
180224,206.0
200704,206.0
220160,222.0
240640,188.0
260096,224.0
280576,216.0
300032,214.0
320512,218.0
340992,214.0
360448,218.0
380928,218.0
400384,226.0
420864,220.0
440320,222.0
460800,242.0
480256,226.0
500736,248.0
520192,258.0
540672,252.0
560128,258.0
580608,248.0
600064,246.0
620544,254.0
640000,256.0
660480,254.0
680960,252.0
700416,250.0
720896,258.0
740352,252.0
760832,258.0
780288,258.0
800768,256.0
820224,252.0
840704,260.0
860160,260.0
880640,260.0
900096,256.0
920576,258.0
940032,260.0
960512,260.0
980992,260.0
1000448,250.0
1020928,260.0
1040384,254.0
1060864,244.0
1080320,258.0
1100800,258.0
1120256,258.0
1140736,260.0
1160192,260.0
1180672,252.0
1200128,256.0
1220608,254.0
1240064,252.0
1260544,252.0
1280000,254.0
1300480,256.0
1320960,260.0
1340416,256.0
1360896,254.0
1380352,258.0
1400832,256.0
1420288,262.0
1440768,262.0
1460224,262.0
1480704,254.0
1500160,262.0
1520640,254.0
1540096,258.0
1560576,264.0
1580032,270.0
1600512,254.0
1620992,266.0
1640448,258.0
1660928,266.0
1680384,264.0
1700864,258.0
1720320,258.0
1740800,242.0
1760256,270.0
1780736,264.0
1800192,258.0
1820672,262.0
1840128,268.0
1860608,266.0
1880064,250.0
1900544,256.0
1920000,262.0
1940480,268.0
1960960,264.0
1980416,268.0
2000896,266.0
2020352,270.0
2040832,262.0
2060288,270.0
2080768,256.0
2100224,270.0
2120704,264.0
2140160,262.0
2160640,268.0
2180096,258.0
2200576,268.0
2220032,262.0
2240512,260.0
2260992,254.0
2280448,248.0
2300928,264.0
2320384,252.0
2340864,260.0
2360320,272.0
2380800,254.0
2400256,244.0
2420736,258.0
2440192,254.0
2460672,252.0
2480128,242.0
2500608,248.0
2520064,248.0
2540544,250.0
2560000,248.0
2580480,252.0
2600960,250.0
2620416,258.0
2640896,252.0
2660352,250.0
2680832,250.0
2700288,250.0
2720768,252.0
2740224,250.0
2760704,252.0
2780160,258.0
2800640,256.0
2820096,254.0
2840576,254.0
2860032,258.0
2880512,250.0
2900992,248.0
2920448,256.0
2940928,250.0
2960384,248.0
2980864,244.0
3000320,258.0
3020800,262.0
3040256,250.0
3060736,264.0
3080192,252.0
3100672,252.0
3120128,250.0
3140608,260.0
3160064,258.0
3180544,250.0
3200000,250.0
3220480,248.0
3240960,254.0
3260416,250.0
3280896,250.0
3300352,252.0
3320832,252.0
3340288,250.0
3360768,254.0
3380224,248.0
3400704,250.0
3420160,256.0
3440640,258.0
3460096,254.0
3480576,250.0
3500032,250.0
3520512,250.0
3540992,252.0
3560448,254.0
3580928,250.0
3600384,254.0
3620864,246.0
3640320,250.0
3660800,244.0
3680256,250.0
3700736,258.0
3720192,250.0
3740672,250.0
3760128,240.0
3780608,250.0
3800064,250.0
3820544,258.0
3840000,250.0
3860480,250.0
3880960,250.0
3900416,250.0
3920896,258.0
3940352,242.0
3960832,266.0
3980288,250.0
4000768,254.0
4020224,264.0
4040704,258.0
4060160,252.0
4080640,258.0
4100096,248.0
4120576,246.0
4140032,250.0
4160512,258.0
4180992,250.0
4200448,250.0
4220928,242.0
4240384,254.0
4260864,250.0
4280320,252.0
4300800,250.0
4320256,250.0
4340736,250.0
4360192,250.0
4380672,250.0
4400128,250.0
4420608,250.0
4440064,258.0
4460544,252.0
4480000,250.0
4500480,254.0
4520960,250.0
4540416,254.0
4560896,248.0
4580352,250.0
4600832,252.0
4620288,250.0
4640768,252.0
4660224,264.0
4680704,256.0
4700160,254.0
4720640,266.0
4740096,262.0
4760576,276.0
4780032,274.0
4800512,264.0
4820992,270.0
4840448,272.0
4860928,262.0
4880384,270.0
4900864,278.0
4920320,286.0
4940800,276.0
4960256,288.0
4980736,274.0
5000192,286.0
5020672,280.0
5040128,278.0
5060608,304.0
5080064,298.0
5100544,282.0
5120000,266.0
5140480,296.0
5160960,306.0
5180416,290.0
5200896,282.0
5220352,284.0
5240832,294.0
5260288,286.0
5280768,308.0
5300224,288.0
5320704,318.0
5340160,302.0
5360640,296.0
5380096,296.0
5400576,300.0
5420032,298.0
5440512,310.0
5460992,294.0
5480448,306.0
5500928,312.0
5520384,290.0
5540864,298.0
5560320,314.0
5580800,296.0
5600256,270.0
5620736,272.0
5640192,264.0
5660672,300.0
5680128,296.0
5700608,316.0
5720064,318.0
5740544,318.0
5760000,310.0
5780480,294.0
5800960,296.0
5820416,292.0
5840896,306.0
5860352,306.0
5880832,286.0
5900288,310.0
5920768,308.0
5940224,316.0
5960704,278.0
5980160,310.0
6000640,316.0
6020096,302.0
6040576,318.0
6060032,310.0
6080512,310.0
6100992,298.0
6120448,298.0
6140928,260.0
6160384,308.0
6180864,294.0
6200320,288.0
6220800,294.0
6240256,316.0
6260736,306.0
6280192,310.0
6300672,320.0
6320128,306.0
6340608,320.0
6360064,320.0
6380544,318.0
6400000,320.0
6420480,318.0
6440960,310.0
6460416,320.0
6480896,320.0
6500352,308.0
6520832,318.0
6540288,300.0
6560768,310.0
6580224,320.0
6600704,320.0
6620160,306.0
6640640,310.0
6660096,320.0
6680576,318.0
6700032,314.0
6720512,320.0
6740992,314.0
6760448,300.0
6780928,300.0
6800384,302.0
6820864,310.0
6840320,320.0
6860800,318.0
6880256,316.0
6900736,314.0
6920192,318.0
6940672,312.0
6960128,320.0
6980608,306.0
7000064,314.0
7020544,318.0
7040000,314.0
7060480,316.0
7080960,320.0
7100416,320.0
7120896,278.0
7140352,278.0
7160832,318.0
7180288,320.0
7200768,318.0
7220224,320.0
7240704,320.0
7260160,320.0
7280640,308.0
7300096,320.0
7320576,320.0
7340032,320.0
7360512,318.0
7380992,320.0
7400448,318.0
7420928,320.0
7440384,304.0
7460864,304.0
7480320,320.0
7500800,300.0
7520256,304.0
7540736,300.0
7560192,320.0
7580672,308.0
