Step,Value
20480,392.0
40960,276.0
60416,496.0
80896,532.0
100352,456.0
120832,344.0
140288,376.0
160768,532.0
180224,660.0
200704,372.0
220160,692.0
240640,964.0
260096,644.0
280576,352.0
300032,460.0
320512,688.0
340992,624.0
360448,392.0
380928,588.0
400384,468.0
420864,460.0
440320,644.0
460800,392.0
480256,1020.0
500736,856.0
520192,812.0
540672,484.0
560128,736.0
580608,784.0
600064,792.0
620544,676.0
640000,880.0
660480,460.0
680960,648.0
700416,804.0
720896,548.0
740352,644.0
760832,1060.0
780288,564.0
800768,760.0
820224,1036.0
840704,796.0
860160,792.0
880640,736.0
900096,736.0
920576,668.0
940032,580.0
960512,620.0
980992,876.0
1000448,764.0
1020928,732.0
1040384,1012.0
1060864,636.0
1080320,568.0
1100800,1156.0
1120256,512.0
1140736,776.0
1160192,840.0
1180672,744.0
1200128,576.0
1220608,928.0
1240064,672.0
1260544,660.0
1280000,968.0
1300480,436.0
1320960,500.0
1340416,1196.0
1360896,820.0
1380352,1172.0
1400832,892.0
1420288,560.0
1440768,1060.0
1460224,672.0
1480704,868.0
1500160,1008.0
1520640,656.0
1540096,904.0
1560576,712.0
1580032,644.0
1600512,672.0
1620992,796.0
1640448,752.0
1660928,728.0
1680384,960.0
1700864,916.0
1720320,596.0
1740800,544.0
1760256,1084.0
1780736,1196.0
1800192,1376.0
1820672,812.0
1840128,812.0
1860608,808.0
1880064,1048.0
1900544,1072.0
1920000,516.0
1940480,624.0
1960960,812.0
1980416,376.0
2000896,1196.0
2020352,972.0
2040832,668.0
2060288,640.0
2080768,764.0
2100224,1024.0
2120704,1168.0
2140160,640.0
2160640,708.0
2180096,884.0
2200576,1176.0
2220032,1076.0
2240512,512.0
2260992,876.0
2280448,868.0
2300928,1076.0
2320384,616.0
2340864,664.0
2360320,828.0
2380800,1064.0
2400256,1536.0
2420736,888.0
2440192,832.0
2460672,860.0
2480128,1188.0
2500608,1068.0
2520064,800.0
2540544,892.0
2560000,1164.0
2580480,1452.0
2600960,952.0
2620416,864.0
2640896,1180.0
2660352,1216.0
2680832,1012.0
2700288,836.0
2720768,688.0
2740224,932.0
2760704,944.0
2780160,948.0
2800640,1172.0
2820096,1020.0
2840576,912.0
2860032,1060.0
2880512,804.0
2900992,1080.0
2920448,792.0
2940928,752.0
2960384,748.0
2980864,940.0
3000320,1512.0
3020800,740.0
3040256,920.0
3060736,1040.0
3080192,1052.0
3100672,1128.0
3120128,1388.0
3140608,1296.0
3160064,1168.0
3180544,928.0
3200000,936.0
3220480,724.0
3240960,1108.0
3260416,816.0
3280896,1380.0
3300352,860.0
3320832,852.0
3340288,924.0
3360768,1216.0
3380224,860.0
3400704,768.0
3420160,940.0
3440640,720.0
3460096,664.0
3480576,1000.0
3500032,656.0
3520512,1256.0
3540992,1312.0
3560448,704.0
3580928,1260.0
3600384,984.0
3620864,1184.0
3640320,900.0
3660800,1028.0
3680256,892.0
3700736,816.0
3720192,1116.0
3740672,460.0
3760128,716.0
3780608,948.0
3800064,472.0
3820544,720.0
3840000,508.0
3860480,1168.0
3880960,732.0
3900416,1404.0
3920896,1040.0
3940352,860.0
3960832,1328.0
3980288,1440.0
4000768,956.0
4020224,692.0
4040704,1020.0
4060160,868.0
4080640,780.0
4100096,1224.0
4120576,728.0
4140032,896.0
4160512,1288.0
4180992,892.0
4200448,948.0
4220928,472.0
4240384,1180.0
4260864,1008.0
4280320,720.0
4300800,976.0
4320256,1060.0
4340736,788.0
4360192,1028.0
4380672,1008.0
4400128,824.0
4420608,1076.0
4440064,752.0
4460544,904.0
4480000,984.0
4500480,1044.0
4520960,1052.0
4540416,1132.0
4560896,1028.0
4580352,512.0
