Step,Value
20480,110.0
40960,120.0
60416,40.0
80896,310.0
100352,170.0
120832,340.0
140288,140.0
160768,300.0
180224,120.0
200704,430.0
220160,190.0
240640,170.0
260096,180.0
280576,210.0
300032,260.0
320512,170.0
340992,110.0
360448,280.0
380928,380.0
400384,210.0
420864,110.0
440320,170.0
460800,180.0
480256,340.0
500736,150.0
520192,380.0
540672,140.0
560128,250.0
580608,250.0
600064,380.0
620544,260.0
640000,230.0
660480,540.0
680960,330.0
700416,210.0
720896,110.0
740352,220.0
760832,180.0
780288,190.0
800768,380.0
820224,220.0
840704,290.0
860160,330.0
880640,290.0
900096,470.0
920576,640.0
940032,470.0
960512,540.0
980992,630.0
1000448,250.0
1020928,260.0
1040384,120.0
1060864,290.0
1080320,360.0
1100800,310.0
1120256,330.0
1140736,210.0
1160192,350.0
1180672,190.0
1200128,320.0
1220608,260.0
1240064,130.0
1260544,220.0
1280000,340.0
1300480,60.0
1320960,0.0
1340416,140.0
1360896,290.0
1380352,90.0
1400832,40.0
1420288,150.0
1440768,330.0
1460224,240.0
1480704,250.0
1500160,200.0
1520640,330.0
1540096,340.0
1560576,450.0
1580032,380.0
1600512,400.0
1620992,200.0
1640448,420.0
1660928,360.0
1680384,280.0
1700864,110.0
1720320,160.0
1740800,180.0
1760256,50.0
1780736,240.0
1800192,290.0
1820672,60.0
1840128,60.0
1860608,90.0
1880064,20.0
1900544,380.0
1920000,360.0
1940480,370.0
1960960,260.0
1980416,670.0
2000896,520.0
2020352,390.0
2040832,330.0
2060288,380.0
2080768,440.0
2100224,450.0
2120704,350.0
2140160,270.0
2160640,310.0
2180096,530.0
2200576,260.0
2220032,320.0
2240512,380.0
2260992,210.0
2280448,270.0
2300928,290.0
2320384,370.0
2340864,110.0
2360320,270.0
2380800,400.0
2400256,310.0
2420736,20.0
2440192,360.0
2460672,370.0
2480128,310.0
2500608,340.0
2520064,280.0
2540544,330.0
2560000,130.0
2580480,230.0
2600960,260.0
2620416,420.0
2640896,500.0
2660352,320.0
2680832,390.0
2700288,560.0
2720768,430.0
2740224,430.0
2760704,600.0
2780160,610.0
2800640,610.0
2820096,300.0
2840576,280.0
2860032,500.0
2880512,460.0
2900992,430.0
2920448,270.0
2940928,200.0
2960384,220.0
2980864,330.0
3000320,510.0
3020800,260.0
3040256,400.0
3060736,560.0
3080192,360.0
3100672,300.0
3120128,420.0
3140608,280.0
3160064,390.0
3180544,210.0
3200000,410.0
3220480,340.0
3240960,200.0
3260416,340.0
3280896,340.0
3300352,160.0
3320832,190.0
3340288,250.0
3360768,90.0
3380224,370.0
3400704,250.0
3420160,210.0
3440640,190.0
3460096,260.0
3480576,140.0
3500032,230.0
3520512,300.0
3540992,260.0
3560448,320.0
3580928,230.0
3600384,310.0
3620864,150.0
3640320,130.0
3660800,230.0
3680256,180.0
3700736,310.0
3720192,0.0
3740672,230.0
3760128,210.0
3780608,90.0
3800064,380.0
3820544,120.0
3840000,280.0
3860480,250.0
3880960,330.0
3900416,130.0
3920896,210.0
3940352,180.0
3960832,230.0
3980288,290.0
4000768,230.0
4020224,300.0
4040704,250.0
4060160,310.0
4080640,180.0
4100096,350.0
4120576,200.0
4140032,330.0
4160512,280.0
4180992,250.0
4200448,300.0
4220928,250.0
4240384,140.0
4260864,360.0
4280320,180.0
4300800,400.0
4320256,340.0
4340736,430.0
4360192,210.0
4380672,290.0
4400128,300.0
4420608,170.0
4440064,310.0
4460544,160.0
4480000,350.0
4500480,290.0
4520960,280.0
4540416,310.0
4560896,200.0
4580352,240.0
4600832,300.0
4620288,370.0
4640768,110.0
4660224,410.0
4680704,380.0
4700160,200.0
4720640,130.0
4740096,160.0
4760576,130.0
4780032,150.0
4800512,370.0
4820992,210.0
4840448,250.0
4860928,330.0
4880384,270.0
4900864,330.0
4920320,220.0
4940800,380.0
4960256,210.0
4980736,520.0
5000192,410.0
5020672,260.0
5040128,330.0
5060608,510.0
5080064,350.0
5100544,260.0
5120000,350.0
5140480,540.0
5160960,520.0
5180416,290.0
5200896,380.0
5220352,280.0
5240832,480.0
5260288,590.0
5280768,370.0
5300224,410.0
5320704,420.0
5340160,420.0
5360640,380.0
5380096,390.0
5400576,300.0
5420032,400.0
5440512,300.0
5460992,400.0
5480448,240.0
5500928,330.0
5520384,420.0
5540864,320.0
5560320,350.0
5580800,410.0
5600256,310.0
5620736,370.0
5640192,310.0
5660672,270.0
5680128,420.0
5700608,670.0
5720064,310.0
5740544,320.0
5760000,300.0
5780480,400.0
5800960,400.0
5820416,620.0
5840896,510.0
5860352,300.0
5880832,780.0
5900288,280.0
5920768,410.0
5940224,780.0
5960704,600.0
5980160,630.0
6000640,440.0
6020096,670.0
6040576,680.0
6060032,380.0
6080512,550.0
6100992,570.0
6120448,400.0
6140928,460.0
6160384,470.0
6180864,930.0
6200320,370.0
6220800,320.0
6240256,440.0
6260736,630.0
6280192,580.0
6300672,610.0
6320128,450.0
6340608,580.0
6360064,390.0
6380544,500.0
6400000,460.0
6420480,580.0
6440960,590.0
6460416,420.0
6480896,470.0
6500352,720.0
6520832,690.0
6540288,850.0
6560768,460.0
6580224,600.0
6600704,430.0
6620160,510.0
6640640,580.0
6660096,680.0
6680576,640.0
6700032,720.0
6720512,470.0
6740992,400.0
6760448,460.0
6780928,430.0
6800384,540.0
6820864,650.0
6840320,510.0
6860800,880.0
6880256,520.0
6900736,590.0
6920192,410.0
6940672,540.0
6960128,560.0
6980608,560.0
7000064,590.0
7020544,640.0
7040000,960.0
7060480,620.0
7080960,610.0
7100416,610.0
7120896,700.0
7140352,450.0
7160832,750.0
7180288,630.0
7200768,470.0
7220224,530.0
7240704,540.0
7260160,440.0
7280640,740.0
7300096,640.0
7320576,640.0
7340032,710.0
7360512,560.0
7380992,660.0
7400448,570.0
7420928,640.0
7440384,630.0
7460864,550.0
7480320,700.0
7500800,560.0
7520256,590.0
7540736,760.0
7560192,780.0
7580672,760.0
7600128,770.0
7620608,600.0
7640064,660.0
7660544,710.0
7680000,660.0
7700480,650.0
7720960,720.0
7740416,390.0
7760896,610.0
7780352,680.0
7800832,690.0
7820288,700.0
7840768,760.0
7860224,580.0
7880704,650.0
7900160,710.0
7920640,700.0
7940096,580.0
7960576,840.0
7980032,700.0
8000512,650.0
8020992,650.0
8040448,850.0
8060928,710.0
8080384,700.0
8100864,780.0
8120320,690.0
8140800,660.0
8160256,740.0
8180736,760.0
8200192,570.0
8220672,1020.0
8240128,700.0
8260608,670.0
8280064,690.0
8300544,740.0
8320000,730.0
8340480,700.0
8360960,880.0
8380416,1170.0
8400896,790.0
8420352,730.0
8440832,630.0
8460288,680.0
8480768,660.0
8500224,720.0
8520704,570.0
8540160,610.0
8560640,390.0
8580096,690.0
8600576,760.0
8620032,500.0
8640512,630.0
8660992,650.0
8680448,690.0
8700928,660.0
8720384,600.0
8740864,790.0
8760320,680.0
8780800,1050.0
8800256,770.0
8820736,800.0
8840192,800.0
8860672,590.0
8880128,840.0
8900608,700.0
8920064,800.0
8940544,590.0
8960000,690.0
8980480,790.0
9000960,700.0
9020416,760.0
9040896,720.0
9060352,840.0
9080832,600.0
9100288,850.0
9120768,810.0
9140224,660.0
9160704,820.0
9180160,610.0
9200640,580.0
9220096,750.0
9240576,730.0
9260032,970.0
9280512,790.0
9300992,760.0
9320448,860.0
9340928,620.0
9360384,1010.0
9380864,730.0
9400320,890.0
9420800,1250.0
9440256,790.0
9460736,910.0
9480192,740.0
9500672,760.0
9520128,920.0
9540608,590.0
9560064,890.0
9580544,790.0
9600000,950.0
9620480,810.0
9640960,750.0
9660416,730.0
9680896,610.0
9700352,790.0
9720832,560.0
9740288,730.0
9760768,750.0
9780224,890.0
9800704,800.0
9820160,800.0
9840640,910.0
9860096,730.0
9880576,680.0
9900032,830.0
9920512,760.0
9940992,780.0
9960448,920.0
9980928,790.0
10000384,780.0
10020864,710.0
10040320,940.0
10060800,880.0
10080256,860.0
10100736,820.0
10120192,880.0
10140672,770.0
10160128,680.0
10180608,970.0
10200064,700.0
10220544,890.0
10240000,880.0
10260480,820.0
10280960,880.0
10300416,860.0
10320896,760.0
10340352,1060.0
10360832,1060.0
10380288,990.0
10400768,890.0
10420224,630.0
10440704,940.0
10460160,990.0
10480640,750.0
10500096,920.0
10520576,960.0
10540032,880.0
10560512,840.0
10580992,1020.0
10600448,930.0
10620928,850.0
10640384,760.0
10660864,900.0
10680320,900.0
10700800,930.0
10720256,820.0
10740736,650.0
10760192,730.0
10780672,770.0
10800128,860.0
10820608,840.0
10840064,680.0
10860544,1130.0
10880000,770.0
10900480,700.0
10920960,690.0
10940416,790.0
10960896,650.0
10980352,630.0
11000832,870.0
11020288,970.0
11040768,740.0
11060224,750.0
11080704,800.0
11100160,880.0
11120640,770.0
11140096,840.0
11160576,760.0
11180032,850.0
11200512,910.0
11220992,760.0
11240448,900.0
11260928,650.0
11280384,680.0
11300864,860.0
11320320,1150.0
11340800,660.0
11360256,660.0
11380736,810.0
11400192,720.0
11420672,1080.0
11440128,870.0
11460608,910.0
11480064,740.0
11500544,920.0
11520000,780.0
11540480,980.0
11560960,860.0
11580416,720.0
11600896,950.0
11620352,950.0
11640832,1010.0
11660288,690.0
11680768,870.0
11700224,950.0
11720704,890.0
11740160,890.0
11760640,840.0
11780096,1000.0
11800576,1030.0
11820032,1080.0
11840512,980.0
11860992,1210.0
11880448,950.0
11900928,810.0
11920384,910.0
11940864,1160.0
11960320,930.0
11980800,950.0
12000256,1050.0
12020736,830.0
12040192,880.0
12060672,910.0
12080128,800.0
12100608,950.0
12120064,1070.0
12140544,920.0
12160000,920.0
12180480,740.0
12200960,1100.0
12220416,820.0
12240896,1170.0
12260352,1130.0
12280832,740.0
12300288,1060.0
12320768,940.0
12340224,940.0
12360704,970.0
12380160,1110.0
12400640,920.0
12420096,780.0
12440576,930.0
12460032,870.0
12480512,1090.0
12500992,990.0
12520448,1060.0
12540928,1050.0
12560384,840.0
12580864,900.0
12600320,1180.0
12620800,980.0
12640256,1060.0
12660736,1040.0
12680192,950.0
12700672,1070.0
12720128,1180.0
12740608,1310.0
12760064,1190.0
12780544,1160.0
12800000,850.0
12820480,1010.0
12840960,1040.0
12860416,860.0
12880896,830.0
12900352,960.0
12920832,1000.0
12940288,860.0
12960768,960.0
12980224,630.0
13000704,880.0
13020160,1000.0
13040640,1080.0
13060096,860.0
13080576,730.0
13100032,730.0
13120512,880.0
13140992,770.0
13160448,880.0
13180928,900.0
13200384,1070.0
13220864,850.0
13240320,740.0
13260800,890.0
13280256,880.0
13300736,880.0
13320192,820.0
13340672,800.0
13360128,660.0
13380608,930.0
13400064,700.0
13420544,830.0
13440000,710.0
13460480,920.0
13480960,860.0
13500416,910.0
13520896,960.0
13540352,1070.0
13560832,740.0
13580288,900.0
13600768,680.0
13620224,840.0
13640704,890.0
13660160,890.0
13680640,830.0
13700096,700.0
13720576,970.0
13740032,810.0
13760512,820.0
13780992,910.0
13800448,790.0
13820928,890.0
13840384,960.0
13860864,880.0
13880320,750.0
13900800,700.0
13920256,1230.0
13940736,860.0
13960192,970.0
13980672,970.0
14000128,790.0
14020608,700.0
14040064,880.0
14060544,950.0
14080000,800.0
14100480,980.0
14120960,910.0
14140416,870.0
14160896,820.0
14180352,830.0
14200832,960.0
14220288,750.0
14240768,890.0
14260224,780.0
14280704,870.0
14300160,800.0
14320640,890.0
14340096,980.0
14360576,790.0
14380032,1000.0
14400512,980.0
14420992,780.0
14440448,920.0
14460928,1120.0
14480384,880.0
14500864,860.0
14520320,1050.0
14540800,850.0
14560256,860.0
14580736,1140.0
14600192,1120.0
14620672,950.0
14640128,960.0
14660608,720.0
14680064,860.0
14700544,760.0
14720000,800.0
14740480,890.0
14760960,860.0
14780416,960.0
14800896,860.0
14820352,890.0
14840832,970.0
14860288,830.0
14880768,780.0
14900224,940.0
14920704,900.0
14940160,770.0
14960640,1020.0
14980096,730.0
15000576,790.0
15020032,880.0
15040512,900.0
15060992,790.0
15080448,920.0
15100928,1060.0
15120384,760.0
15140864,980.0
15160320,860.0
15180800,810.0
15200256,690.0
15220736,810.0
15240192,890.0
15260672,720.0
15280128,800.0
15300608,990.0
15320064,920.0
15340544,790.0
15360000,900.0
15380480,790.0
15400960,1250.0
15420416,850.0
15440896,900.0
15460352,850.0
15480832,910.0
15500288,660.0
15520768,1070.0
15540224,880.0
15560704,1010.0
15580160,820.0
15600640,940.0
15620096,940.0
15640576,910.0
15660032,1250.0
15680512,890.0
15700992,1040.0
15720448,970.0
15740928,1070.0
15760384,940.0
15780864,830.0
15800320,890.0
15820800,950.0
15840256,1060.0
15860736,790.0
15880192,960.0
15900672,810.0
15920128,880.0
15940608,770.0
15960064,920.0
15980544,930.0
16000000,1070.0
16020480,910.0
16040960,1540.0
16060416,1030.0
16080896,930.0
16100352,900.0
16120832,1000.0
16140288,910.0
16160768,1090.0
16180224,960.0
16200704,720.0
16220160,870.0
16240640,750.0
16260096,1080.0
16280576,970.0
16300032,810.0
16320512,960.0
16340992,830.0
16360448,870.0
16380928,990.0
16400384,1010.0
16420864,1020.0
16440320,840.0
16460800,700.0
16480256,910.0
16500736,900.0
16520192,1090.0
16540672,910.0
16560128,830.0
16580608,780.0
16600064,1170.0
16620544,1090.0
16640000,820.0
16660480,1110.0
16680960,1320.0
16700416,1270.0
16720896,1050.0
16740352,950.0
16760832,1010.0
16780288,940.0
16800768,900.0
16820224,1130.0
16840704,970.0
16860160,970.0
16880640,1060.0
16900096,1080.0
16920576,850.0
16940032,960.0
16960512,740.0
16980992,880.0
17000448,850.0
17020928,960.0
17040384,880.0
17060864,850.0
17080320,1240.0
17100800,940.0
17120256,920.0
17140736,850.0
17160192,1340.0
17180672,940.0
17200128,940.0
17220608,1160.0
17240064,1040.0
17260544,1200.0
17280000,1040.0
17300480,980.0
17320960,1140.0
17340416,1040.0
17360896,1000.0
17380352,1280.0
17400832,1190.0
17420288,1010.0
17440768,910.0
17460224,1010.0
17480704,1050.0
17500160,1050.0
17520640,970.0
17540096,910.0
17560576,900.0
17580032,920.0
17600512,990.0
17620992,940.0
17640448,1180.0
17660928,860.0
17680384,920.0
17700864,870.0
17720320,830.0
17740800,1120.0
17760256,900.0
17780736,920.0
17800192,910.0
17820672,1020.0
17840128,950.0
17860608,990.0
17880064,1130.0
17900544,1100.0
17920000,820.0
17940480,1030.0
17960960,960.0
17980416,1230.0
18000896,750.0
18020352,1080.0
18040832,910.0
18060288,1120.0
18080768,970.0
18100224,880.0
18120704,1000.0
18140160,1020.0
18160640,980.0
18180096,860.0
18200576,980.0
18220032,930.0
18240512,1060.0
18260992,950.0
18280448,950.0
18300928,1000.0
18320384,970.0
18340864,1090.0
18360320,940.0
18380800,820.0
18400256,1180.0
18420736,800.0
18440192,910.0
18460672,910.0
18480128,1120.0
18500608,1350.0
18520064,840.0
18540544,860.0
18560000,990.0
18580480,980.0
18600960,1020.0
18620416,1040.0
18640896,1290.0
18660352,1080.0
18680832,1000.0
18700288,890.0
18720768,900.0
18740224,970.0
18760704,910.0
18780160,1110.0
18800640,1380.0
18820096,1120.0
18840576,1170.0
18860032,1130.0
18880512,930.0
18900992,960.0
18920448,1050.0
18940928,860.0
18960384,1170.0
18980864,1020.0
19000320,980.0
19020800,840.0
19040256,1020.0
19060736,1300.0
19080192,950.0
19100672,1040.0
19120128,990.0
19140608,870.0
19160064,1010.0
19180544,780.0
19200000,1120.0
19220480,970.0
19240960,1040.0
