Step,Value
20480,-10.0
40960,-6.0
60416,-8.399999618530273
80896,-8.199999809265137
100352,-7.800000190734863
120832,-6.199999809265137
140288,-8.0
160768,-11.399999618530273
180224,-7.0
200704,-5.800000190734863
220160,-10.0
240640,-7.599999904632568
260096,-6.199999809265137
280576,-7.599999904632568
300032,-5.0
320512,-4.800000190734863
340992,-6.800000190734863
360448,-5.400000095367432
380928,-4.599999904632568
400384,-5.800000190734863
420864,-7.800000190734863
440320,-7.599999904632568
460800,-5.400000095367432
480256,-7.0
500736,-4.599999904632568
520192,-7.199999809265137
540672,-4.800000190734863
560128,-5.599999904632568
580608,-8.800000190734863
600064,-6.199999809265137
620544,-5.800000190734863
640000,-8.199999809265137
660480,-3.5999999046325684
680960,-7.0
700416,-6.599999904632568
720896,-4.599999904632568
740352,-7.800000190734863
760832,-7.199999809265137
780288,-5.0
800768,-5.400000095367432
820224,-6.0
840704,-8.0
860160,-6.0
880640,-5.400000095367432
900096,-5.0
920576,-6.599999904632568
940032,-6.599999904632568
960512,-7.599999904632568
980992,-7.800000190734863
1000448,-3.4000000953674316
1020928,-6.199999809265137
1040384,-5.599999904632568
1060864,-8.399999618530273
1080320,-8.0
1100800,-5.400000095367432
1120256,-6.400000095367432
1140736,-7.199999809265137
1160192,-6.800000190734863
1180672,-4.400000095367432
1200128,-9.0
1220608,-4.400000095367432
1240064,-6.800000190734863
1260544,-6.599999904632568
1280000,-6.0
1300480,-6.199999809265137
1320960,-5.800000190734863
1340416,-6.0
1360896,-9.600000381469727
1380352,-6.800000190734863
1400832,-4.800000190734863
1420288,-8.0
1440768,-6.800000190734863
1460224,-4.400000095367432
1480704,-6.599999904632568
1500160,-6.199999809265137
1520640,-7.400000095367432
1540096,-7.0
1560576,-7.0
1580032,-6.599999904632568
1600512,-4.800000190734863
1620992,-4.199999809265137
1640448,-3.5999999046325684
1660928,-6.800000190734863
1680384,-5.599999904632568
1700864,-5.0
1720320,-4.199999809265137
1740800,-6.800000190734863
1760256,-4.0
1780736,-4.599999904632568
1800192,-2.799999952316284
1820672,-5.800000190734863
1840128,-7.199999809265137
1860608,-4.800000190734863
1880064,-6.400000095367432
1900544,-7.199999809265137
1920000,-4.199999809265137
1940480,-6.800000190734863
1960960,-5.400000095367432
1980416,-7.400000095367432
2000896,-5.199999809265137
2020352,-3.799999952316284
2040832,-4.800000190734863
2060288,-6.599999904632568
2080768,-8.199999809265137
2100224,-6.0
2120704,-5.400000095367432
2140160,-5.199999809265137
2160640,-5.599999904632568
2180096,-5.400000095367432
2200576,-6.599999904632568
2220032,-3.5999999046325684
2240512,-4.199999809265137
2260992,-4.800000190734863
2280448,-5.599999904632568
2300928,-6.199999809265137
2320384,-5.0
2340864,-5.599999904632568
2360320,-5.400000095367432
2380800,-4.800000190734863
2400256,-3.4000000953674316
2420736,-7.0
2440192,-6.0
2460672,-7.599999904632568
2480128,-4.0
2500608,-4.400000095367432
2520064,-5.800000190734863
2540544,-4.800000190734863
2560000,-4.0
2580480,-5.800000190734863
2600960,-5.599999904632568
2620416,-5.0
2640896,-5.400000095367432
2660352,-5.599999904632568
2680832,-3.4000000953674316
2700288,-6.0
2720768,-6.199999809265137
2740224,-5.800000190734863
2760704,-6.199999809265137
2780160,-5.0
2800640,-4.400000095367432
2820096,-6.800000190734863
2840576,-6.0
2860032,-5.800000190734863
2880512,-6.400000095367432
2900992,-3.5999999046325684
2920448,-5.599999904632568
2940928,-4.199999809265137
2960384,-6.0
2980864,-7.199999809265137
3000320,-5.800000190734863
3020800,-4.599999904632568
3040256,-6.0
3060736,-3.5999999046325684
3080192,-5.800000190734863
3100672,-8.800000190734863
3120128,-5.0
3140608,-5.199999809265137
3160064,-5.199999809265137
3180544,-5.599999904632568
3200000,-4.0
3220480,-5.199999809265137
3240960,-5.400000095367432
3260416,-4.800000190734863
3280896,-6.0
3300352,-5.800000190734863
3320832,-3.0
3340288,-5.199999809265137
3360768,-6.199999809265137
3380224,-5.800000190734863
3400704,-5.199999809265137
3420160,-5.400000095367432
3440640,-5.599999904632568
3460096,-4.400000095367432
3480576,-2.0
3500032,-5.199999809265137
3520512,-7.199999809265137
3540992,-4.199999809265137
3560448,-4.599999904632568
3580928,-7.800000190734863
3600384,-7.400000095367432
3620864,-8.800000190734863
3640320,-8.0
3660800,-8.199999809265137
3680256,-6.400000095367432
3700736,-7.0
3720192,-7.400000095367432
3740672,-6.800000190734863
3760128,-5.0
3780608,-7.0
3800064,-6.199999809265137
3820544,-8.600000381469727
3840000,-6.400000095367432
3860480,-7.400000095367432
3880960,-5.800000190734863
3900416,-4.400000095367432
3920896,-4.199999809265137
3940352,-2.5999999046325684
3960832,-4.599999904632568
3980288,-5.400000095367432
4000768,-3.0
4020224,-5.800000190734863
4040704,-5.599999904632568
4060160,-5.599999904632568
4080640,-9.600000381469727
4100096,-4.0
4120576,-5.800000190734863
4140032,-6.800000190734863
4160512,-3.5999999046325684
4180992,-6.800000190734863
4200448,-4.599999904632568
4220928,-7.0
4240384,-4.400000095367432
4260864,-5.199999809265137
4280320,-3.0
4300800,-2.799999952316284
4320256,-4.599999904632568
4340736,-6.0
4360192,-4.599999904632568
4380672,-3.4000000953674316
4400128,-3.4000000953674316
4420608,-6.0
4440064,-6.599999904632568
4460544,-4.599999904632568
4480000,-5.400000095367432
4500480,-4.599999904632568
4520960,-8.399999618530273
4540416,-5.800000190734863
4560896,-7.599999904632568
4580352,-4.199999809265137
4600832,-6.599999904632568
4620288,-5.599999904632568
4640768,-5.599999904632568
4660224,-5.199999809265137
4680704,-4.599999904632568
4700160,-4.0
4720640,-5.599999904632568
4740096,-7.400000095367432
4760576,-3.799999952316284
4780032,-3.200000047683716
4800512,-6.800000190734863
4820992,-5.199999809265137
4840448,-4.400000095367432
4860928,-5.0
4880384,-5.400000095367432
4900864,-4.800000190734863
4920320,-5.199999809265137
4940800,-5.0
4960256,-5.599999904632568
4980736,-4.400000095367432
5000192,-5.800000190734863
5020672,-4.800000190734863
5040128,-6.199999809265137
5060608,-3.200000047683716
5080064,-4.599999904632568
5100544,-6.400000095367432
5120000,-4.599999904632568
5140480,-5.199999809265137
5160960,-5.400000095367432
5180416,-4.0
5200896,-2.5999999046325684
5220352,-4.0
5240832,-7.800000190734863
5260288,-3.200000047683716
5280768,-4.800000190734863
5300224,-4.400000095367432
5320704,-5.199999809265137
5340160,-4.599999904632568
5360640,-2.799999952316284
5380096,-3.0
5400576,-6.400000095367432
5420032,-5.199999809265137
5440512,-6.800000190734863
5460992,-3.0
5480448,-6.599999904632568
5500928,-6.0
5520384,-7.800000190734863
5540864,-4.599999904632568
5560320,-5.800000190734863
5580800,-6.0
5600256,-5.0
5620736,-4.400000095367432
5640192,-6.400000095367432
5660672,-6.0
5680128,-3.799999952316284
5700608,-6.0
5720064,-5.800000190734863
5740544,-6.800000190734863
5760000,-6.199999809265137
5780480,-4.400000095367432
