Step,Value
20480,0.0
40960,30.0
60416,30.0
80896,20.0
100352,10.0
120832,40.0
140288,50.0
160768,20.0
180224,30.0
200704,50.0
220160,70.0
240640,50.0
260096,50.0
280576,40.0
300032,30.0
320512,0.0
340992,0.0
360448,40.0
380928,10.0
400384,30.0
420864,50.0
440320,50.0
460800,90.0
480256,140.0
500736,70.0
520192,140.0
540672,180.0
560128,130.0
580608,200.0
600064,150.0
620544,180.0
640000,250.0
660480,120.0
680960,280.0
700416,230.0
720896,230.0
740352,230.0
760832,190.0
780288,310.0
800768,290.0
820224,220.0
840704,290.0
860160,300.0
880640,230.0
900096,290.0
920576,460.0
940032,450.0
960512,480.0
980992,370.0
1000448,370.0
1020928,450.0
1040384,520.0
1060864,420.0
1080320,320.0
1100800,410.0
1120256,410.0
1140736,430.0
1160192,410.0
1180672,450.0
1200128,410.0
1220608,450.0
1240064,470.0
1260544,440.0
1280000,360.0
1300480,320.0
1320960,430.0
1340416,460.0
1360896,430.0
1380352,420.0
1400832,490.0
1420288,420.0
1440768,520.0
1460224,380.0
1480704,520.0
1500160,390.0
1520640,440.0
1540096,470.0
1560576,350.0
1580032,460.0
1600512,390.0
1620992,510.0
1640448,510.0
1660928,470.0
1680384,450.0
1700864,520.0
1720320,420.0
1740800,390.0
1760256,420.0
1780736,370.0
1800192,510.0
1820672,420.0
1840128,440.0
1860608,470.0
1880064,460.0
1900544,430.0
1920000,490.0
1940480,460.0
1960960,380.0
1980416,430.0
2000896,360.0
2020352,480.0
2040832,520.0
2060288,480.0
2080768,460.0
2100224,520.0
2120704,420.0
2140160,360.0
2160640,400.0
2180096,470.0
2200576,520.0
2220032,410.0
2240512,500.0
2260992,470.0
2280448,430.0
2300928,460.0
2320384,460.0
2340864,410.0
2360320,520.0
2380800,440.0
2400256,380.0
2420736,420.0
2440192,580.0
2460672,430.0
2480128,480.0
2500608,440.0
2520064,460.0
2540544,410.0
2560000,410.0
2580480,420.0
2600960,480.0
2620416,520.0
2640896,480.0
2660352,450.0
2680832,510.0
2700288,530.0
2720768,470.0
2740224,490.0
2760704,510.0
2780160,620.0
2800640,490.0
2820096,540.0
2840576,440.0
2860032,590.0
2880512,380.0
2900992,410.0
2920448,530.0
2940928,440.0
2960384,440.0
2980864,480.0
3000320,470.0
3020800,510.0
3040256,530.0
3060736,530.0
3080192,470.0
3100672,550.0
3120128,540.0
3140608,540.0
3160064,490.0
3180544,510.0
3200000,500.0
3220480,400.0
3240960,520.0
3260416,530.0
3280896,450.0
3300352,490.0
3320832,490.0
3340288,480.0
3360768,460.0
3380224,590.0
3400704,480.0
3420160,500.0
3440640,500.0
3460096,380.0
3480576,470.0
3500032,470.0
3520512,360.0
3540992,380.0
3560448,580.0
3580928,530.0
3600384,460.0
3620864,460.0
3640320,390.0
3660800,410.0
3680256,440.0
3700736,480.0
3720192,450.0
3740672,530.0
3760128,490.0
3780608,480.0
3800064,530.0
3820544,470.0
3840000,470.0
3860480,470.0
3880960,380.0
3900416,390.0
3920896,440.0
3940352,430.0
3960832,450.0
3980288,430.0
4000768,380.0
4020224,490.0
4040704,560.0
4060160,480.0
4080640,460.0
4100096,520.0
4120576,480.0
4140032,540.0
4160512,440.0
4180992,510.0
4200448,420.0
4220928,460.0
4240384,540.0
4260864,440.0
4280320,540.0
4300800,480.0
4320256,590.0
4340736,520.0
4360192,600.0
4380672,510.0
4400128,460.0
4420608,440.0
4440064,460.0
4460544,430.0
4480000,520.0
4500480,490.0
4520960,510.0
4540416,470.0
4560896,470.0
4580352,570.0
4600832,560.0
4620288,490.0
4640768,390.0
4660224,630.0
4680704,480.0
4700160,450.0
4720640,410.0
4740096,510.0
4760576,580.0
4780032,470.0
4800512,550.0
4820992,470.0
4840448,440.0
4860928,510.0
4880384,580.0
4900864,510.0
4920320,500.0
4940800,570.0
4960256,540.0
4980736,550.0
5000192,450.0
5020672,530.0
5040128,530.0
5060608,480.0
5080064,430.0
5100544,510.0
5120000,430.0
5140480,410.0
5160960,440.0
5180416,440.0
5200896,400.0
5220352,540.0
5240832,480.0
5260288,480.0
5280768,460.0
5300224,470.0
5320704,550.0
5340160,440.0
5360640,500.0
5380096,480.0
5400576,500.0
5420032,550.0
5440512,430.0
5460992,590.0
5480448,490.0
5500928,530.0
5520384,500.0
5540864,620.0
5560320,570.0
5580800,400.0
5600256,430.0
5620736,540.0
5640192,540.0
5660672,540.0
5680128,520.0
5700608,510.0
5720064,590.0
5740544,530.0
5760000,470.0
5780480,490.0
5800960,440.0
5820416,580.0
5840896,490.0
5860352,480.0
5880832,450.0
5900288,480.0
5920768,590.0
5940224,510.0
5960704,530.0
5980160,480.0
6000640,460.0
6020096,590.0
6040576,430.0
6060032,500.0
6080512,490.0
6100992,490.0
6120448,490.0
6140928,510.0
6160384,480.0
6180864,480.0
6200320,520.0
6220800,620.0
6240256,490.0
