Step,Value
20480,80.0
40960,80.0
60416,120.0
80896,40.0
100352,0.0
120832,40.0
140288,0.0
160768,0.0
180224,40.0
200704,40.0
220160,120.0
240640,40.0
260096,40.0
280576,40.0
300032,80.0
320512,120.0
340992,80.0
360448,40.0
380928,80.0
400384,120.0
420864,40.0
440320,80.0
460800,160.0
480256,40.0
500736,200.0
520192,200.0
540672,320.0
560128,120.0
580608,200.0
600064,240.0
620544,320.0
640000,240.0
660480,280.0
680960,240.0
700416,280.0
720896,240.0
740352,320.0
760832,240.0
780288,520.0
800768,440.0
820224,320.0
840704,320.0
860160,480.0
880640,400.0
900096,440.0
920576,400.0
940032,400.0
960512,400.0
980992,440.0
1000448,640.0
1020928,640.0
1040384,440.0
1060864,520.0
1080320,720.0
1100800,840.0
1120256,720.0
1140736,960.0
1160192,880.0
1180672,600.0
1200128,720.0
1220608,960.0
1240064,760.0
1260544,800.0
1280000,1040.0
1300480,1080.0
1320960,1080.0
1340416,1400.0
1360896,1040.0
1380352,1120.0
1400832,920.0
1420288,960.0
1440768,1120.0
1460224,1280.0
1480704,1160.0
1500160,1320.0
1520640,1560.0
1540096,1680.0
1560576,1600.0
1580032,1600.0
1600512,1600.0
1620992,1600.0
1640448,1280.0
1660928,1680.0
1680384,1480.0
1700864,1520.0
1720320,1440.0
1740800,1360.0
1760256,1800.0
1780736,1560.0
1800192,1680.0
1820672,1560.0
1840128,1920.0
1860608,1640.0
1880064,1400.0
1900544,1680.0
1920000,1360.0
1940480,1320.0
1960960,1680.0
1980416,1760.0
2000896,1480.0
2020352,1760.0
2040832,1800.0
2060288,1840.0
2080768,1920.0
2100224,1920.0
2120704,1480.0
2140160,1640.0
2160640,1680.0
2180096,1720.0
2200576,1800.0
2220032,1640.0
2240512,1920.0
2260992,2120.0
2280448,1920.0
2300928,1960.0
2320384,2120.0
2340864,2000.0
2360320,1960.0
2380800,2080.0
2400256,2000.0
2420736,2160.0
2440192,1840.0
2460672,1960.0
2480128,1760.0
2500608,1880.0
2520064,1960.0
2540544,2160.0
2560000,2320.0
2580480,2160.0
2600960,2000.0
2620416,2080.0
2640896,2120.0
2660352,2240.0
2680832,2160.0
2700288,2200.0
2720768,2200.0
2740224,2360.0
2760704,2040.0
2780160,2080.0
2800640,2240.0
2820096,2040.0
2840576,2240.0
2860032,2200.0
2880512,2160.0
2900992,1760.0
2920448,2040.0
2940928,2120.0
2960384,2160.0
2980864,2320.0
3000320,2160.0
3020800,2240.0
3040256,2160.0
3060736,2280.0
3080192,2200.0
3100672,1960.0
3120128,2160.0
3140608,2280.0
3160064,2160.0
3180544,2160.0
3200000,1960.0
3220480,1800.0
3240960,2280.0
3260416,2320.0
3280896,2040.0
3300352,2400.0
3320832,2240.0
3340288,1960.0
3360768,2320.0
3380224,2200.0
3400704,2080.0
3420160,2160.0
3440640,2240.0
3460096,2320.0
3480576,2200.0
3500032,2120.0
3520512,2280.0
3540992,2280.0
3560448,2200.0
3580928,2040.0
3600384,2160.0
3620864,2280.0
3640320,1800.0
3660800,2160.0
3680256,2200.0
3700736,2240.0
3720192,2320.0
3740672,2160.0
3760128,2280.0
3780608,2360.0
