Step,Value
20480,1020.0
40960,1660.0
60416,2280.0
80896,3400.0
100352,4060.0
120832,5000.0
140288,4140.0
160768,3800.0
180224,2980.0
200704,3080.0
220160,4560.0
240640,7040.0
260096,4260.0
280576,6760.0
300032,5760.0
320512,4020.0
340992,4720.0
360448,4540.0
380928,4900.0
400384,6320.0
420864,5800.0
440320,4900.0
460800,5300.0
480256,5080.0
500736,5780.0
520192,5420.0
540672,6020.0
560128,5100.0
580608,6260.0
600064,5520.0
620544,6660.0
640000,6620.0
660480,7240.0
680960,7960.0
700416,11580.0
720896,7640.0
740352,7400.0
760832,9340.0
780288,10540.0
800768,9560.0
820224,6740.0
840704,7320.0
860160,6500.0
880640,8200.0
900096,8500.0
920576,6960.0
940032,6820.0
960512,6560.0
980992,8160.0
1000448,5720.0
1020928,7740.0
1040384,7540.0
1060864,7780.0
1080320,6940.0
1100800,8740.0
1120256,12080.0
1140736,11800.0
1160192,12080.0
1180672,9580.0
1200128,12280.0
1220608,8460.0
1240064,10960.0
1260544,10340.0
1280000,5980.0
1300480,12580.0
1320960,10420.0
1340416,8400.0
1360896,9560.0
1380352,11800.0
1400832,11400.0
1420288,10660.0
1440768,9560.0
1460224,7680.0
1480704,10880.0
1500160,10640.0
1520640,9900.0
1540096,12220.0
1560576,6680.0
1580032,9480.0
1600512,12600.0
1620992,12820.0
1640448,16060.0
1660928,16680.0
1680384,14740.0
1700864,16760.0
1720320,13440.0
1740800,16020.0
1760256,13480.0
1780736,18780.0
1800192,20400.0
1820672,13180.0
1840128,12860.0
1860608,13100.0
1880064,16460.0
1900544,13380.0
1920000,17820.0
1940480,12460.0
1960960,12620.0
1980416,10500.0
2000896,9480.0
2020352,8860.0
2040832,14160.0
2060288,14400.0
2080768,16880.0
2100224,9700.0
2120704,12380.0
2140160,13220.0
2160640,12420.0
2180096,12980.0
2200576,8980.0
2220032,12020.0
2240512,14920.0
2260992,13020.0
2280448,12600.0
2300928,10180.0
2320384,11040.0
2340864,14780.0
2360320,14420.0
2380800,11340.0
2400256,11920.0
2420736,13660.0
2440192,11240.0
2460672,11740.0
2480128,10100.0
2500608,11120.0
2520064,11520.0
2540544,14380.0
2560000,10760.0
2580480,10600.0
2600960,11700.0
2620416,11000.0
2640896,9800.0
2660352,11600.0
2680832,12260.0
2700288,11060.0
2720768,15540.0
2740224,15040.0
2760704,11060.0
2780160,14920.0
2800640,13940.0
2820096,16360.0
2840576,19560.0
2860032,22240.0
2880512,13440.0
2900992,15600.0
2920448,16980.0
2940928,20520.0
2960384,15600.0
2980864,15240.0
3000320,24960.0
3020800,16680.0
3040256,18620.0
3060736,19120.0
3080192,17820.0
3100672,15340.0
3120128,16120.0
3140608,11020.0
3160064,15100.0
3180544,15940.0
3200000,25200.0
3220480,17900.0
3240960,25460.0
3260416,24760.0
3280896,20760.0
3300352,16140.0
3320832,17820.0
3340288,21000.0
3360768,19660.0
3380224,17940.0
3400704,16340.0
3420160,17660.0
3440640,20240.0
3460096,19860.0
3480576,19880.0
3500032,15140.0
3520512,14720.0
3540992,18080.0
3560448,17880.0
3580928,20740.0
3600384,25060.0
3620864,23020.0
3640320,16320.0
3660800,22900.0
3680256,16660.0
3700736,15280.0
3720192,17640.0
3740672,22160.0
3760128,23780.0
3780608,24720.0
3800064,21200.0
3820544,19120.0
3840000,13680.0
3860480,13500.0
3880960,13440.0
3900416,13540.0
3920896,15020.0
3940352,17660.0
3960832,18540.0
3980288,14780.0
4000768,17920.0
4020224,18880.0
4040704,17120.0
4060160,14100.0
4080640,14980.0
4100096,12000.0
4120576,17260.0
4140032,14600.0
4160512,12680.0
4180992,26780.0
4200448,21900.0
4220928,15180.0
4240384,16160.0
4260864,15780.0
4280320,17160.0
4300800,19600.0
4320256,19260.0
4340736,16320.0
4360192,22480.0
4380672,17600.0
4400128,15120.0
4420608,20360.0
4440064,11000.0
4460544,14760.0
4480000,13260.0
4500480,18240.0
4520960,13020.0
4540416,15040.0
4560896,14120.0
4580352,14400.0
4600832,16340.0
4620288,16700.0
4640768,16740.0
4660224,20400.0
4680704,14980.0
4700160,18180.0
4720640,15080.0
4740096,14800.0
4760576,14540.0
4780032,17340.0
4800512,16380.0
4820992,18600.0
4840448,22900.0
4860928,17800.0
4880384,13460.0
4900864,12220.0
4920320,12660.0
4940800,11160.0
4960256,11560.0
4980736,14320.0
5000192,14200.0
5020672,14080.0
5040128,11700.0
5060608,11460.0
5080064,17380.0
5100544,14220.0
5120000,17420.0
5140480,17940.0
5160960,15700.0
5180416,14260.0
5200896,13880.0
5220352,19380.0
5240832,19260.0
5260288,19660.0
5280768,18860.0
5300224,17980.0
5320704,11580.0
5340160,13320.0
5360640,19040.0
5380096,23140.0
5400576,14640.0
5420032,16820.0
5440512,21320.0
5460992,20440.0
5480448,18220.0
5500928,16880.0
5520384,16320.0
5540864,12340.0
5560320,15880.0
5580800,14160.0
5600256,18060.0
5620736,13260.0
5640192,16440.0
5660672,19200.0
5680128,13900.0
5700608,17240.0
5720064,16740.0
5740544,17720.0
5760000,22080.0
5780480,14120.0
5800960,15520.0
5820416,17680.0
5840896,15820.0
5860352,19560.0
5880832,15840.0
5900288,15200.0
5920768,15160.0
5940224,12760.0
5960704,13380.0
5980160,21260.0
6000640,14500.0
6020096,18960.0
6040576,16420.0
6060032,18780.0
6080512,18320.0
6100992,22040.0
6120448,21120.0
6140928,15860.0
6160384,19200.0
6180864,18500.0
6200320,16660.0
6220800,17260.0
6240256,16620.0
6260736,17140.0
6280192,20100.0
6300672,21860.0
6320128,21160.0
6340608,21340.0
6360064,25080.0
6380544,21740.0
6400000,21220.0
