Step,Value
20480,462.0
40960,570.0
60416,590.0
80896,722.0
100352,716.0
120832,644.0
140288,596.0
160768,554.0
180224,468.0
200704,674.0
220160,700.0
240640,478.0
260096,582.0
280576,464.0
300032,502.0
320512,652.0
340992,884.0
360448,814.0
380928,800.0
400384,394.0
420864,394.0
440320,838.0
460800,616.0
480256,608.0
500736,750.0
520192,542.0
540672,724.0
560128,736.0
580608,664.0
600064,1030.0
620544,922.0
640000,776.0
660480,818.0
680960,616.0
700416,734.0
720896,790.0
740352,636.0
760832,514.0
780288,612.0
800768,814.0
820224,498.0
840704,622.0
860160,646.0
880640,814.0
900096,898.0
920576,672.0
940032,928.0
960512,564.0
980992,672.0
1000448,734.0
1020928,418.0
1040384,1204.0
1060864,638.0
1080320,574.0
1100800,662.0
1120256,600.0
1140736,608.0
1160192,522.0
1180672,596.0
1200128,418.0
1220608,880.0
1240064,588.0
1260544,536.0
1280000,820.0
1300480,530.0
1320960,752.0
1340416,554.0
1360896,874.0
1380352,864.0
1400832,518.0
1420288,536.0
1440768,636.0
1460224,784.0
1480704,666.0
1500160,596.0
1520640,464.0
1540096,776.0
1560576,668.0
1580032,502.0
1600512,608.0
1620992,502.0
1640448,624.0
1660928,672.0
1680384,734.0
1700864,810.0
1720320,640.0
1740800,818.0
1760256,716.0
1780736,570.0
1800192,530.0
1820672,520.0
1840128,690.0
1860608,796.0
1880064,524.0
1900544,578.0
1920000,710.0
1940480,600.0
1960960,514.0
1980416,1050.0
2000896,840.0
2020352,764.0
2040832,980.0
2060288,658.0
2080768,662.0
2100224,538.0
2120704,460.0
2140160,652.0
2160640,922.0
2180096,524.0
2200576,586.0
2220032,586.0
2240512,410.0
2260992,420.0
2280448,510.0
2300928,564.0
2320384,524.0
2340864,666.0
2360320,656.0
2380800,574.0
2400256,670.0
2420736,472.0
2440192,870.0
2460672,712.0
2480128,294.0
2500608,406.0
2520064,818.0
2540544,1110.0
2560000,866.0
2580480,672.0
2600960,468.0
2620416,460.0
2640896,400.0
2660352,654.0
2680832,492.0
2700288,332.0
2720768,490.0
2740224,372.0
2760704,614.0
2780160,464.0
2800640,564.0
2820096,774.0
2840576,634.0
2860032,602.0
2880512,608.0
2900992,818.0
2920448,576.0
2940928,536.0
2960384,868.0
2980864,952.0
3000320,872.0
3020800,826.0
3040256,1066.0
3060736,836.0
3080192,712.0
3100672,732.0
3120128,876.0
3140608,624.0
3160064,826.0
3180544,758.0
3200000,712.0
3220480,640.0
3240960,678.0
3260416,758.0
3280896,558.0
3300352,716.0
3320832,678.0
3340288,706.0
3360768,730.0
3380224,994.0
3400704,856.0
3420160,792.0
3440640,754.0
3460096,668.0
3480576,1026.0
3500032,714.0
3520512,538.0
3540992,560.0
3560448,596.0
3580928,1060.0
3600384,710.0
3620864,612.0
3640320,466.0
3660800,656.0
3680256,780.0
3700736,728.0
3720192,588.0
3740672,792.0
3760128,702.0
3780608,1096.0
3800064,1338.0
3820544,918.0
3840000,820.0
3860480,1138.0
3880960,678.0
3900416,772.0
3920896,1336.0
3940352,646.0
3960832,658.0
3980288,634.0
4000768,520.0
4020224,844.0
4040704,674.0
4060160,652.0
4080640,678.0
4100096,692.0
