Step,Value
20480,2124.0
40960,2222.0
60416,2774.0
80896,1954.0
100352,2192.0
120832,1692.0
140288,1774.0
160768,2192.0
180224,2042.0
200704,2656.0
220160,1994.0
240640,2088.0
260096,2322.0
280576,2046.0
300032,2548.0
320512,2164.0
340992,2408.0
360448,1740.0
380928,2096.0
400384,1724.0
420864,2028.0
440320,2944.0
460800,2316.0
480256,2468.0
500736,2534.0
520192,2662.0
540672,2318.0
560128,2572.0
580608,2556.0
600064,1520.0
620544,2480.0
640000,1954.0
660480,3146.0
680960,2146.0
700416,3032.0
720896,2606.0
740352,2324.0
760832,2482.0
780288,2042.0
800768,2374.0
820224,2478.0
840704,3200.0
860160,2466.0
880640,2706.0
900096,2708.0
920576,3110.0
940032,2356.0
960512,1992.0
980992,2820.0
1000448,2744.0
1020928,2262.0
1040384,2054.0
1060864,1812.0
1080320,2418.0
1100800,3226.0
1120256,2930.0
1140736,2812.0
1160192,2664.0
1180672,2948.0
1200128,2444.0
1220608,2638.0
1240064,1992.0
1260544,3076.0
1280000,2364.0
1300480,2854.0
1320960,2282.0
1340416,2284.0
1360896,1880.0
1380352,1980.0
1400832,1782.0
1420288,3124.0
1440768,1942.0
1460224,2364.0
1480704,3436.0
1500160,3116.0
1520640,1602.0
1540096,1914.0
1560576,2216.0
1580032,2258.0
1600512,1986.0
1620992,1724.0
1640448,2208.0
1660928,2214.0
1680384,2370.0
1700864,2226.0
1720320,2102.0
1740800,1414.0
1760256,2666.0
1780736,2666.0
1800192,2932.0
1820672,2196.0
1840128,2484.0
1860608,2252.0
1880064,2224.0
1900544,2538.0
1920000,2872.0
1940480,2138.0
1960960,2496.0
1980416,2852.0
2000896,1780.0
2020352,1844.0
2040832,2140.0
2060288,2856.0
2080768,1720.0
2100224,3110.0
2120704,2692.0
2140160,2736.0
2160640,2160.0
2180096,2324.0
2200576,2872.0
2220032,2548.0
2240512,3124.0
2260992,2084.0
2280448,2808.0
2300928,2726.0
2320384,2838.0
2340864,2914.0
2360320,3250.0
2380800,3404.0
2400256,3532.0
2420736,3458.0
2440192,2384.0
2460672,4368.0
2480128,2598.0
2500608,2882.0
2520064,2944.0
2540544,2680.0
2560000,2098.0
2580480,3064.0
2600960,3158.0
2620416,2762.0
2640896,2694.0
2660352,2852.0
2680832,2164.0
2700288,3170.0
2720768,2932.0
2740224,3338.0
2760704,3504.0
2780160,4364.0
2800640,3480.0
2820096,3226.0
2840576,3312.0
2860032,3444.0
2880512,3754.0
2900992,4386.0
2920448,3652.0
2940928,3070.0
2960384,4326.0
2980864,4492.0
3000320,4458.0
3020800,4232.0
3040256,4016.0
3060736,4258.0
3080192,4370.0
3100672,4492.0
3120128,4048.0
3140608,4470.0
3160064,5084.0
3180544,4310.0
3200000,4896.0
3220480,4536.0
3240960,4824.0
3260416,5254.0
3280896,4026.0
3300352,4790.0
3320832,4680.0
3340288,4264.0
3360768,4930.0
3380224,3388.0
3400704,4664.0
3420160,4906.0
3440640,4852.0
3460096,4918.0
3480576,5104.0
3500032,5494.0
3520512,5302.0
3540992,5444.0
3560448,5178.0
3580928,5326.0
3600384,5256.0
3620864,4656.0
3640320,4612.0
3660800,5488.0
3680256,4930.0
3700736,5102.0
3720192,5640.0
3740672,5308.0
3760128,6306.0
3780608,5682.0
3800064,5914.0
3820544,5694.0
3840000,5952.0
3860480,6298.0
3880960,5972.0
3900416,5760.0
3920896,5648.0
3940352,5664.0
3960832,5536.0
3980288,5164.0
4000768,6018.0
4020224,5808.0
4040704,5762.0
4060160,5938.0
4080640,6150.0
4100096,5770.0
4120576,5734.0
4140032,5904.0
4160512,5960.0
4180992,5528.0
4200448,5044.0
4220928,6082.0
4240384,6628.0
4260864,6116.0
4280320,5902.0
4300800,6676.0
4320256,5478.0
4340736,6000.0
4360192,5740.0
4380672,5138.0
4400128,5686.0
4420608,5350.0
4440064,5788.0
4460544,5906.0
4480000,5876.0
4500480,5964.0
4520960,6364.0
4540416,6064.0
4560896,5946.0
4580352,6364.0
4600832,5964.0
4620288,5798.0
4640768,5758.0
4660224,6286.0
4680704,6196.0
4700160,5726.0
4720640,5404.0
4740096,5750.0
4760576,5954.0
4780032,5036.0
4800512,5168.0
4820992,5704.0
4840448,5480.0
4860928,5548.0
4880384,5958.0
4900864,5346.0
4920320,5006.0
4940800,5710.0
4960256,5994.0
4980736,6202.0
5000192,5858.0
5020672,5624.0
5040128,5882.0
5060608,6078.0
5080064,5304.0
5100544,6114.0
5120000,6110.0
5140480,5618.0
5160960,5656.0
5180416,6204.0
5200896,6190.0
5220352,5696.0
