Step,Value
20480,80.0
40960,-980.0
60416,4041.60009765625
80896,1042.199951171875
100352,2068.0
120832,1072.4000244140625
140288,2042.4000244140625
160768,3110.199951171875
180224,3062.800048828125
200704,4024.199951171875
220160,1016.2000122070312
240640,2059.199951171875
260096,3064.0
280576,1050.5999755859375
300032,-954.4000244140625
320512,78.0
340992,0.0
360448,0.0
380928,0.0
400384,0.0
420864,0.0
440320,0.0
460800,0.0
480256,0.0
500736,-545.4000244140625
520192,-169.60000610351562
540672,0.0
560128,0.0
580608,0.0
600064,0.0
620544,0.0
640000,0.0
660480,0.0
680960,0.0
700416,40.0
720896,0.0
740352,-402.6000061035156
760832,-483.0
780288,0.0
800768,0.0
820224,0.0
840704,0.0
860160,0.0
880640,0.0
900096,-180.0
920576,-92.0
940032,0.0
960512,0.0
980992,0.0
1000448,0.0
1020928,0.0
1040384,2241.0
1060864,418.6000061035156
1080320,-200.0
1100800,0.0
1120256,0.0
1140736,0.0
1160192,0.0
1180672,0.0
1200128,0.0
1220608,0.0
1240064,0.0
1260544,0.0
1280000,0.0
1300480,0.0
1320960,0.0
1340416,0.0
1360896,0.0
1380352,0.0
1400832,0.0
1420288,0.0
1440768,0.0
1460224,0.0
1480704,0.0
1500160,0.0
1520640,20.0
1540096,100.0
1560576,0.0
1580032,0.0
1600512,0.0
1620992,-120.0
1640448,-30.0
1660928,-143.8000030517578
1680384,0.0
1700864,0.0
1720320,0.0
1740800,0.0
1760256,0.0
1780736,0.0
1800192,0.0
1820672,0.0
1840128,0.0
1860608,0.0
1880064,0.0
1900544,0.0
1920000,0.0
1940480,0.0
1960960,0.0
1980416,20.0
2000896,60.0
2020352,-60.0
2040832,-766.5999755859375
2060288,0.0
2080768,0.0
2100224,0.0
2120704,0.0
2140160,0.0
2160640,0.0
2180096,813.0
2200576,0.0
2220032,0.0
2240512,0.0
2260992,-3.799999952316284
2280448,-240.0
2300928,-165.0
2320384,-44.79999923706055
2340864,0.0
2360320,-167.0
2380800,0.0
2400256,0.0
2420736,0.0
2440192,0.0
2460672,0.0
2480128,-50.20000076293945
2500608,-166.8000030517578
2520064,0.0
2540544,0.0
2560000,0.0
2580480,0.0
2600960,0.0
2620416,0.0
2640896,0.0
2660352,0.0
2680832,0.0
2700288,0.0
2720768,0.0
2740224,0.0
2760704,0.0
2780160,0.0
2800640,0.0
2820096,0.0
2840576,0.0
2860032,-200.0
2880512,-326.0
2900992,0.0
2920448,0.0
2940928,-323.20001220703125
2960384,0.0
2980864,0.0
3000320,0.0
3020800,-144.1999969482422
3040256,0.0
3060736,0.0
3080192,0.0
3100672,0.0
3120128,-84.5999984741211
3140608,0.0
3160064,0.0
3180544,-374.3999938964844
3200000,-160.0
3220480,0.0
3240960,0.0
3260416,0.0
3280896,0.0
3300352,0.0
3320832,0.0
3340288,0.0
3360768,0.0
3380224,0.0
3400704,0.0
3420160,0.0
3440640,0.0
3460096,0.0
3480576,0.0
3500032,0.0
3520512,0.0
3540992,0.0
3560448,0.0
3580928,0.0
3600384,0.0
3620864,0.0
3640320,0.0
3660800,0.0
3680256,0.0
3700736,40.0
3720192,40.0
3740672,0.0
3760128,0.0
3780608,0.0
3800064,0.0
3820544,60.0
3840000,100.0
3860480,100.0
3880960,100.0
