Step,Value
20480,110.0
40960,240.0
60416,265.0
80896,355.0
100352,265.0
120832,275.0
140288,270.0
160768,295.0
180224,250.0
200704,295.0
220160,305.0
240640,230.0
260096,270.0
280576,235.0
300032,245.0
320512,245.0
340992,285.0
360448,300.0
380928,290.0
400384,390.0
420864,205.0
440320,260.0
460800,295.0
480256,250.0
500736,280.0
520192,340.0
540672,290.0
560128,335.0
580608,410.0
600064,400.0
620544,295.0
640000,320.0
660480,370.0
680960,370.0
700416,350.0
720896,520.0
740352,475.0
760832,525.0
780288,315.0
800768,435.0
820224,325.0
840704,400.0
860160,360.0
880640,360.0
900096,440.0
920576,380.0
940032,455.0
960512,430.0
980992,475.0
1000448,335.0
1020928,445.0
1040384,450.0
1060864,540.0
1080320,555.0
1100800,485.0
1120256,425.0
1140736,500.0
1160192,540.0
1180672,460.0
1200128,355.0
1220608,400.0
1240064,350.0
1260544,380.0
1280000,560.0
1300480,405.0
1320960,435.0
1340416,505.0
1360896,420.0
1380352,540.0
1400832,455.0
1420288,375.0
1440768,445.0
1460224,475.0
1480704,420.0
1500160,470.0
1520640,415.0
1540096,390.0
1560576,495.0
1580032,385.0
1600512,515.0
1620992,560.0
1640448,540.0
1660928,660.0
1680384,605.0
1700864,475.0
1720320,590.0
1740800,475.0
1760256,450.0
1780736,575.0
1800192,575.0
1820672,540.0
1840128,570.0
1860608,510.0
1880064,720.0
1900544,550.0
1920000,575.0
1940480,515.0
1960960,550.0
1980416,620.0
2000896,650.0
2020352,795.0
2040832,510.0
2060288,560.0
2080768,815.0
2100224,800.0
2120704,755.0
2140160,745.0
2160640,730.0
2180096,2740.0
2200576,410.0
2220032,615.0
2240512,570.0
2260992,970.0
2280448,740.0
2300928,1395.0
2320384,700.0
2340864,985.0
2360320,1385.0
2380800,765.0
2400256,680.0
2420736,795.0
2440192,675.0
2460672,670.0
2480128,500.0
2500608,720.0
2520064,1100.0
2540544,1385.0
2560000,1285.0
2580480,1585.0
2600960,725.0
2620416,775.0
2640896,770.0
2660352,800.0
2680832,770.0
2700288,805.0
2720768,855.0
2740224,730.0
2760704,820.0
2780160,635.0
2800640,620.0
2820096,935.0
2840576,765.0
2860032,1485.0
2880512,865.0
2900992,1510.0
2920448,1620.0
2940928,4550.0
2960384,850.0
2980864,1830.0
3000320,3020.0
3020800,2615.0
3040256,2380.0
3060736,880.0
3080192,1280.0
3100672,1200.0
3120128,1085.0
3140608,985.0
3160064,985.0
3180544,1480.0
3200000,1635.0
3220480,1010.0
3240960,560.0
3260416,780.0
3280896,655.0
3300352,700.0
3320832,665.0
3340288,755.0
3360768,905.0
3380224,630.0
3400704,655.0
3420160,760.0
3440640,710.0
3460096,655.0
3480576,1445.0
3500032,630.0
3520512,635.0
3540992,435.0
3560448,735.0
3580928,620.0
3600384,725.0
3620864,1210.0
3640320,545.0
3660800,1330.0
3680256,650.0
3700736,380.0
3720192,470.0
3740672,1415.0
3760128,660.0
3780608,470.0
3800064,1270.0
3820544,625.0
3840000,625.0
3860480,1435.0
3880960,525.0
3900416,970.0
3920896,710.0
3940352,1180.0
3960832,655.0
3980288,2985.0
4000768,720.0
4020224,680.0
4040704,1525.0
4060160,2995.0
4080640,1145.0
4100096,620.0
4120576,480.0
4140032,425.0
4160512,525.0
4180992,2495.0
4200448,4130.0
4220928,1300.0
4240384,2695.0
4260864,1585.0
4280320,1780.0
4300800,620.0
4320256,1425.0
4340736,1310.0
4360192,515.0
4380672,2050.0
4400128,665.0
4420608,1850.0
4440064,1570.0
4460544,3500.0
4480000,1855.0
4500480,1395.0
4520960,1430.0
4540416,1705.0
4560896,2915.0
4580352,2275.0
4600832,745.0
4620288,2860.0
4640768,545.0
4660224,3525.0
4680704,1420.0
4700160,2250.0
4720640,760.0
4740096,2885.0
4760576,3695.0
4780032,650.0
4800512,2220.0
4820992,2315.0
4840448,3850.0
4860928,1965.0
4880384,2175.0
4900864,2870.0
4920320,3795.0
4940800,3725.0
4960256,3685.0
4980736,2205.0
5000192,3525.0
5020672,1285.0
5040128,1470.0
5060608,2855.0
5080064,3640.0
5100544,1895.0
5120000,1330.0
5140480,3100.0
5160960,2410.0
5180416,3835.0
5200896,4500.0
5220352,2400.0
5240832,3060.0
5260288,3045.0
5280768,715.0
5300224,3825.0
5320704,780.0
5340160,4465.0
5360640,2835.0
5380096,3410.0
5400576,2180.0
5420032,3760.0
5440512,3780.0
5460992,4235.0
5480448,3090.0
5500928,3705.0
5520384,4200.0
5540864,3470.0
5560320,4360.0
5580800,3780.0
5600256,3645.0
5620736,2755.0
5640192,2715.0
5660672,4630.0
5680128,1515.0
5700608,4010.0
5720064,1540.0
5740544,4290.0
5760000,4225.0
5780480,2920.0
5800960,2920.0
5820416,3850.0
5840896,3310.0
5860352,3765.0
5880832,3980.0
5900288,3140.0
5920768,3645.0
5940224,4490.0
5960704,4405.0
5980160,2460.0
6000640,4695.0
6020096,4820.0
6040576,4945.0
6060032,3070.0
6080512,4855.0
6100992,3055.0
6120448,3915.0
6140928,3750.0
6160384,4650.0
6180864,4910.0
6200320,3280.0
6220800,2420.0
6240256,3665.0
6260736,2795.0
