Step,Value
20480,1388.0
40960,1494.0
60416,1540.0
80896,1808.0
100352,1258.0
120832,1688.0
140288,1522.0
160768,1456.0
180224,1774.0
200704,1786.0
220160,2148.0
240640,1658.0
260096,2106.0
280576,2186.0
300032,2104.0
320512,1940.0
340992,2068.0
360448,2054.0
380928,2388.0
400384,2128.0
420864,2164.0
440320,2334.0
460800,2562.0
480256,2134.0
500736,2342.0
520192,2632.0
540672,2170.0
560128,2420.0
580608,2472.0
600064,2092.0
620544,2264.0
640000,2734.0
660480,2640.0
680960,2462.0
700416,2418.0
720896,2242.0
740352,2482.0
760832,2394.0
780288,2186.0
800768,2446.0
820224,2414.0
840704,2506.0
860160,2384.0
880640,2620.0
900096,2642.0
920576,2174.0
940032,2654.0
960512,2582.0
980992,2764.0
1000448,2432.0
1020928,2508.0
1040384,2778.0
1060864,2640.0
1080320,2776.0
1100800,2516.0
1120256,2612.0
1140736,2438.0
1160192,2708.0
1180672,2640.0
1200128,2874.0
1220608,2770.0
1240064,2780.0
1260544,2532.0
1280000,2900.0
1300480,2744.0
1320960,2418.0
1340416,2840.0
1360896,2854.0
1380352,2894.0
1400832,2776.0
1420288,2984.0
1440768,2868.0
1460224,2860.0
1480704,2730.0
1500160,2934.0
1520640,2832.0
1540096,2746.0
1560576,2836.0
1580032,2860.0
1600512,2962.0
1620992,2948.0
1640448,3118.0
1660928,2708.0
1680384,2832.0
1700864,2964.0
1720320,2996.0
1740800,2882.0
1760256,2958.0
1780736,2966.0
1800192,3040.0
1820672,3078.0
1840128,2898.0
1860608,3014.0
1880064,2952.0
1900544,2992.0
1920000,2848.0
1940480,3012.0
1960960,2874.0
1980416,2658.0
2000896,2954.0
2020352,2962.0
2040832,3114.0
2060288,3148.0
2080768,3028.0
2100224,2908.0
2120704,2846.0
2140160,2992.0
2160640,2980.0
2180096,2870.0
2200576,2970.0
2220032,2942.0
2240512,3130.0
2260992,2824.0
2280448,2952.0
2300928,3024.0
2320384,2924.0
2340864,2902.0
2360320,2956.0
2380800,3106.0
2400256,3008.0
2420736,3148.0
2440192,3014.0
2460672,2916.0
2480128,3096.0
2500608,3130.0
2520064,2954.0
2540544,2968.0
2560000,3208.0
2580480,2966.0
2600960,3236.0
2620416,3058.0
2640896,3206.0
2660352,2940.0
2680832,3072.0
2700288,3030.0
2720768,3184.0
2740224,3084.0
2760704,2978.0
2780160,3098.0
2800640,3096.0
2820096,2964.0
2840576,3120.0
2860032,3030.0
2880512,3158.0
2900992,3194.0
2920448,3152.0
2940928,3240.0
2960384,2930.0
2980864,3138.0
3000320,3012.0
3020800,3108.0
3040256,3028.0
3060736,3144.0
3080192,3186.0
3100672,2986.0
3120128,3138.0
3140608,3130.0
3160064,3198.0
3180544,3292.0
3200000,3192.0
3220480,3272.0
3240960,3266.0
3260416,3240.0
3280896,3284.0
3300352,3232.0
3320832,3268.0
3340288,3320.0
3360768,3700.0
3380224,3550.0
3400704,3560.0
3420160,3784.0
3440640,3316.0
3460096,3348.0
3480576,3346.0
3500032,3438.0
3520512,3262.0
3540992,3308.0
3560448,3332.0
3580928,3338.0
3600384,3556.0
3620864,3684.0
3640320,3786.0
3660800,3588.0
3680256,3296.0
3700736,4054.0
3720192,3338.0
3740672,3580.0
3760128,3016.0
3780608,3968.0
3800064,4240.0
3820544,3708.0
3840000,3268.0
3860480,4182.0
3880960,3286.0
3900416,3670.0
3920896,3982.0
3940352,3840.0
3960832,3768.0
3980288,4416.0
4000768,4182.0
4020224,3710.0
4040704,3422.0
4060160,3306.0
4080640,4586.0
4100096,3750.0
4120576,3428.0
4140032,3632.0
4160512,3980.0
4180992,3688.0
4200448,4102.0
4220928,3496.0
4240384,4198.0
4260864,3562.0
4280320,3990.0
4300800,4096.0
4320256,4248.0
4340736,4882.0
4360192,4714.0
4380672,4174.0
4400128,4320.0
4420608,4158.0
4440064,4162.0
4460544,4752.0
4480000,3900.0
4500480,5056.0
4520960,4504.0
4540416,4240.0
4560896,4092.0
4580352,4514.0
4600832,3686.0
4620288,4790.0
4640768,3642.0
4660224,4952.0
4680704,4460.0
4700160,4980.0
4720640,4266.0
4740096,4740.0
4760576,4326.0
4780032,4282.0
4800512,4654.0
4820992,4524.0
4840448,4820.0
4860928,4170.0
4880384,4218.0
4900864,4442.0
4920320,4518.0
4940800,4440.0
4960256,4340.0
4980736,5062.0
5000192,5114.0
