Step,Value
20480,0.0
40960,0.0
60416,0.0
80896,500.0
100352,1620.0
120832,2340.0
140288,1820.0
160768,2120.0
180224,2580.0
200704,2520.0
220160,1820.0
240640,1280.0
260096,2760.0
280576,1660.0
300032,1760.0
320512,3320.0
340992,1240.0
360448,840.0
380928,2440.0
400384,2540.0
420864,2540.0
440320,2320.0
460800,3160.0
480256,3540.0
500736,1500.0
520192,3000.0
540672,3320.0
560128,2760.0
580608,2120.0
600064,2980.0
620544,2020.0
640000,3240.0
660480,2840.0
680960,3060.0
700416,3020.0
720896,2060.0
740352,2980.0
760832,3640.0
780288,2480.0
800768,2620.0
820224,1300.0
840704,2680.0
860160,2960.0
880640,2460.0
900096,1920.0
920576,2960.0
940032,3220.0
960512,5040.0
980992,2560.0
1000448,3560.0
1020928,3500.0
1040384,3920.0
1060864,5640.0
1080320,6620.0
1100800,6380.0
1120256,7800.0
1140736,7360.0
1160192,7060.0
1180672,8480.0
1200128,7020.0
1220608,8460.0
1240064,5320.0
1260544,9060.0
1280000,7040.0
1300480,7660.0
1320960,9200.0
1340416,13020.0
1360896,10460.0
1380352,12580.0
1400832,10180.0
1420288,10700.0
1440768,8240.0
1460224,12080.0
1480704,11720.0
1500160,9120.0
1520640,12240.0
1540096,8800.0
1560576,9680.0
1580032,12980.0
1600512,14660.0
1620992,10840.0
1640448,13400.0
1660928,14720.0
1680384,16080.0
1700864,13460.0
1720320,9740.0
1740800,10660.0
1760256,12640.0
1780736,12180.0
1800192,15660.0
1820672,10300.0
1840128,12100.0
1860608,15220.0
1880064,16120.0
1900544,12620.0
1920000,13260.0
1940480,12640.0
1960960,16640.0
1980416,17340.0
2000896,15680.0
2020352,16180.0
2040832,15480.0
2060288,13140.0
2080768,18400.0
2100224,16820.0
2120704,15580.0
2140160,14260.0
2160640,15160.0
2180096,18820.0
2200576,15660.0
2220032,20040.0
2240512,18580.0
2260992,16280.0
2280448,19740.0
2300928,16540.0
2320384,12780.0
2340864,13820.0
2360320,15600.0
2380800,15280.0
2400256,20660.0
2420736,17020.0
2440192,16800.0
2460672,15840.0
2480128,18780.0
2500608,23160.0
2520064,19320.0
2540544,17780.0
2560000,17040.0
2580480,17500.0
2600960,17900.0
2620416,16020.0
2640896,20260.0
2660352,18660.0
2680832,20680.0
2700288,20740.0
2720768,16960.0
2740224,19640.0
2760704,19180.0
2780160,16780.0
2800640,18920.0
2820096,20880.0
2840576,15980.0
2860032,17540.0
2880512,19400.0
2900992,17700.0
2920448,18140.0
2940928,17620.0
2960384,16300.0
2980864,18260.0
3000320,22100.0
3020800,22220.0
3040256,24700.0
3060736,19520.0
3080192,21020.0
3100672,20360.0
3120128,17800.0
3140608,19340.0
3160064,16600.0
3180544,21420.0
3200000,20560.0
3220480,18980.0
3240960,16320.0
3260416,22000.0
3280896,19440.0
3300352,16780.0
3320832,21120.0
3340288,22520.0
3360768,18960.0
3380224,17400.0
3400704,20300.0
3420160,19820.0
3440640,21620.0
3460096,20000.0
3480576,23560.0
3500032,18340.0
3520512,22080.0
3540992,17820.0
3560448,22960.0
3580928,21400.0
3600384,19600.0
3620864,18760.0
3640320,19360.0
3660800,22420.0
3680256,22320.0
3700736,17380.0
3720192,20700.0
3740672,20700.0
3760128,18180.0
3780608,20160.0
3800064,19920.0
3820544,19240.0
3840000,22260.0
3860480,18540.0
3880960,19720.0
3900416,22320.0
3920896,18780.0
3940352,19220.0
3960832,18420.0
3980288,17540.0
4000768,20760.0
4020224,24000.0
4040704,19460.0
4060160,21580.0
4080640,20940.0
4100096,15840.0
4120576,19580.0
4140032,18960.0
4160512,21100.0
4180992,20820.0
4200448,20140.0
4220928,17480.0
4240384,19240.0
4260864,19160.0
4280320,21520.0
4300800,20300.0
4320256,20480.0
4340736,18160.0
4360192,19080.0
4380672,24260.0
4400128,20740.0
4420608,19000.0
4440064,25520.0
4460544,19720.0
4480000,19700.0
4500480,19680.0
4520960,20780.0
4540416,21220.0
4560896,24940.0
4580352,22000.0
4600832,21060.0
4620288,20120.0
4640768,22380.0
4660224,22040.0
4680704,20400.0
4700160,20520.0
4720640,22000.0
4740096,24600.0
4760576,19260.0
4780032,20960.0
4800512,20740.0
4820992,20740.0
4840448,19160.0
4860928,21800.0
4880384,19360.0
4900864,21020.0
4920320,19060.0
4940800,19900.0
4960256,21540.0
4980736,18280.0
5000192,23640.0
