Step,Value
20480,404.0
40960,352.0
60416,368.0
80896,308.0
100352,360.0
120832,460.0
140288,396.0
160768,388.0
180224,368.0
200704,480.0
220160,424.0
240640,464.0
260096,564.0
280576,388.0
300032,436.0
320512,456.0
340992,540.0
360448,556.0
380928,436.0
400384,576.0
420864,540.0
440320,568.0
460800,568.0
480256,540.0
500736,576.0
520192,648.0
540672,652.0
560128,628.0
580608,640.0
600064,676.0
620544,560.0
640000,712.0
660480,736.0
680960,680.0
700416,636.0
720896,664.0
740352,720.0
760832,736.0
780288,724.0
800768,684.0
820224,720.0
840704,648.0
860160,740.0
880640,796.0
900096,760.0
920576,784.0
940032,776.0
960512,728.0
980992,724.0
1000448,756.0
1020928,808.0
1040384,800.0
1060864,772.0
1080320,812.0
1100800,840.0
1120256,800.0
1140736,836.0
1160192,804.0
1180672,836.0
1200128,728.0
1220608,796.0
1240064,832.0
1260544,796.0
1280000,808.0
1300480,764.0
1320960,864.0
1340416,800.0
1360896,800.0
1380352,856.0
1400832,824.0
1420288,840.0
1440768,748.0
1460224,816.0
1480704,844.0
1500160,820.0
1520640,784.0
1540096,856.0
1560576,804.0
1580032,832.0
1600512,872.0
1620992,868.0
1640448,872.0
1660928,852.0
1680384,856.0
1700864,860.0
1720320,840.0
1740800,872.0
1760256,876.0
1780736,872.0
1800192,876.0
1820672,880.0
1840128,884.0
1860608,872.0
1880064,884.0
1900544,888.0
1920000,888.0
1940480,876.0
1960960,884.0
1980416,880.0
2000896,876.0
2020352,872.0
2040832,876.0
2060288,884.0
2080768,888.0
2100224,892.0
2120704,856.0
2140160,884.0
2160640,880.0
2180096,856.0
2200576,884.0
2220032,868.0
2240512,884.0
2260992,892.0
2280448,876.0
2300928,876.0
2320384,864.0
2340864,876.0
2360320,884.0
2380800,888.0
2400256,884.0
2420736,892.0
2440192,884.0
2460672,884.0
2480128,876.0
2500608,880.0
2520064,892.0
2540544,884.0
2560000,888.0
2580480,888.0
2600960,880.0
2620416,880.0
2640896,896.0
2660352,888.0
2680832,892.0
2700288,884.0
2720768,888.0
2740224,892.0
2760704,896.0
2780160,896.0
2800640,900.0
2820096,876.0
2840576,908.0
2860032,880.0
2880512,900.0
2900992,896.0
2920448,900.0
2940928,904.0
2960384,896.0
2980864,904.0
3000320,896.0
3020800,892.0
3040256,896.0
3060736,896.0
3080192,892.0
3100672,904.0
3120128,900.0
3140608,888.0
3160064,904.0
3180544,896.0
3200000,912.0
3220480,888.0
3240960,892.0
3260416,888.0
3280896,900.0
3300352,912.0
3320832,904.0
3340288,896.0
3360768,912.0
3380224,896.0
3400704,900.0
3420160,904.0
3440640,908.0
3460096,904.0
3480576,888.0
3500032,912.0
3520512,884.0
3540992,916.0
3560448,900.0
3580928,912.0
3600384,896.0
3620864,892.0
3640320,896.0
3660800,904.0
3680256,892.0
3700736,896.0
3720192,900.0
3740672,912.0
3760128,884.0
3780608,888.0
3800064,892.0
3820544,912.0
3840000,908.0
3860480,916.0
3880960,904.0
3900416,904.0
3920896,900.0
3940352,904.0
3960832,896.0
3980288,892.0
4000768,924.0
4020224,928.0
4040704,912.0
4060160,900.0
4080640,920.0
4100096,908.0
4120576,900.0
4140032,876.0
4160512,932.0
4180992,920.0
4200448,900.0
4220928,904.0
4240384,916.0
4260864,916.0
4280320,912.0
4300800,920.0
4320256,908.0
4340736,900.0
4360192,904.0
4380672,904.0
4400128,928.0
4420608,920.0
4440064,916.0
4460544,896.0
4480000,924.0
4500480,904.0
4520960,908.0
4540416,912.0
4560896,900.0
4580352,888.0
4600832,916.0
4620288,900.0
4640768,900.0
4660224,912.0
4680704,908.0
4700160,908.0
4720640,912.0
4740096,924.0
4760576,916.0
4780032,936.0
4800512,908.0
4820992,908.0
4840448,908.0
4860928,900.0
4880384,920.0
4900864,916.0
4920320,900.0
4940800,904.0
4960256,900.0
4980736,916.0
5000192,928.0
