Step,Value
20480,440.0
40960,780.0
60416,900.0
80896,860.0
100352,980.0
120832,1300.0
140288,880.0
160768,1140.0
180224,1020.0
200704,1060.0
220160,1060.0
240640,1200.0
260096,2280.0
280576,1280.0
300032,1360.0
320512,980.0
340992,1660.0
360448,2000.0
380928,1500.0
400384,1980.0
420864,1740.0
440320,1960.0
460800,1860.0
480256,1940.0
500736,1800.0
520192,2220.0
540672,1460.0
560128,1700.0
580608,1900.0
600064,2340.0
620544,2060.0
640000,2380.0
660480,1500.0
680960,2380.0
700416,1740.0
720896,2040.0
740352,2080.0
760832,2320.0
780288,1940.0
800768,1940.0
820224,1780.0
840704,2140.0
860160,1840.0
880640,1920.0
900096,2020.0
920576,2240.0
940032,1860.0
960512,2200.0
980992,3220.0
1000448,2400.0
1020928,2340.0
1040384,2540.0
1060864,2500.0
1080320,2580.0
1100800,2800.0
1120256,3380.0
1140736,2480.0
1160192,2980.0
1180672,3400.0
1200128,2980.0
1220608,3360.0
1240064,2940.0
1260544,2820.0
1280000,3680.0
1300480,2180.0
1320960,2840.0
1340416,2840.0
1360896,2740.0
1380352,3340.0
1400832,2880.0
1420288,3220.0
1440768,3400.0
1460224,2720.0
1480704,3480.0
1500160,3560.0
1520640,4180.0
1540096,2500.0
1560576,4060.0
1580032,4400.0
1600512,4640.0
1620992,3360.0
1640448,4060.0
1660928,6600.0
1680384,3220.0
1700864,4040.0
1720320,3820.0
1740800,4620.0
1760256,4380.0
1780736,4580.0
1800192,6760.0
1820672,6480.0
1840128,4060.0
1860608,4560.0
1880064,4440.0
1900544,6920.0
1920000,4240.0
1940480,5660.0
1960960,6040.0
1980416,4680.0
2000896,4640.0
2020352,5540.0
2040832,6300.0
2060288,7400.0
2080768,5720.0
2100224,4940.0
2120704,3880.0
2140160,5700.0
2160640,5780.0
2180096,6200.0
2200576,9180.0
2220032,4860.0
2240512,6680.0
2260992,5360.0
2280448,4260.0
2300928,12120.0
2320384,5560.0
2340864,6040.0
2360320,6060.0
2380800,4060.0
2400256,5600.0
2420736,5840.0
2440192,5520.0
2460672,5780.0
2480128,5600.0
2500608,9280.0
2520064,8700.0
2540544,9100.0
2560000,11280.0
2580480,7740.0
2600960,10700.0
2620416,6240.0
2640896,11760.0
2660352,13380.0
2680832,5920.0
2700288,12320.0
2720768,7980.0
2740224,10140.0
2760704,11340.0
2780160,8520.0
2800640,6860.0
2820096,7480.0
2840576,7200.0
2860032,15520.0
2880512,10760.0
2900992,9780.0
2920448,16920.0
2940928,10920.0
2960384,8060.0
2980864,10420.0
3000320,13800.0
3020800,11180.0
3040256,11460.0
3060736,14940.0
3080192,9320.0
3100672,7560.0
3120128,8460.0
3140608,9380.0
3160064,10500.0
3180544,9940.0
3200000,14200.0
3220480,16340.0
3240960,9700.0
3260416,16860.0
3280896,9300.0
3300352,10660.0
3320832,10920.0
3340288,10740.0
3360768,7920.0
3380224,8640.0
3400704,9740.0
3420160,7620.0
3440640,11140.0
3460096,9600.0
3480576,9540.0
3500032,9760.0
3520512,10140.0
3540992,11200.0
3560448,13080.0
3580928,8800.0
3600384,15560.0
3620864,14520.0
3640320,13560.0
3660800,13060.0
3680256,12480.0
3700736,12820.0
3720192,19540.0
3740672,19640.0
3760128,14180.0
3780608,18620.0
3800064,15540.0
3820544,9700.0
3840000,18120.0
3860480,12240.0
3880960,14400.0
3900416,13500.0
3920896,11520.0
3940352,11500.0
3960832,13380.0
3980288,14300.0
4000768,15580.0
4020224,9660.0
4040704,18300.0
4060160,14880.0
4080640,16140.0
4100096,12440.0
4120576,9060.0
4140032,11800.0
4160512,9760.0
4180992,16200.0
4200448,11200.0
4220928,9660.0
4240384,11000.0
4260864,15040.0
4280320,19180.0
4300800,11680.0
4320256,18700.0
4340736,20040.0
4360192,13920.0
4380672,16820.0
4400128,12280.0
4420608,10800.0
4440064,7640.0
4460544,12120.0
4480000,15180.0
4500480,17800.0
4520960,15380.0
4540416,14960.0
4560896,15800.0
4580352,17620.0
4600832,12440.0
4620288,11100.0
4640768,17140.0
4660224,12120.0
4680704,12120.0
4700160,13280.0
4720640,13760.0
4740096,9760.0
4760576,17540.0
4780032,18460.0
4800512,16660.0
4820992,14080.0
4840448,11620.0
4860928,10560.0
4880384,12500.0
4900864,15280.0
4920320,16380.0
4940800,14660.0
4960256,6920.0
4980736,14300.0
5000192,19520.0
