Step,Value
20480,2980.0
40960,3780.0
60416,2100.0
80896,3580.0
100352,3740.0
120832,2380.0
140288,4520.0
160768,3760.0
180224,4420.0
200704,2200.0
220160,3520.0
240640,3800.0
260096,4360.0
280576,3720.0
300032,4300.0
320512,4280.0
340992,3520.0
360448,4260.0
380928,2240.0
400384,1540.0
420864,3480.0
440320,4380.0
460800,4340.0
480256,2680.0
500736,2060.0
520192,2820.0
540672,2760.0
560128,5000.0
580608,3720.0
600064,5040.0
620544,2900.0
640000,3580.0
660480,4920.0
680960,2340.0
700416,3080.0
720896,2280.0
740352,4400.0
760832,3560.0
780288,5020.0
800768,3420.0
820224,1720.0
840704,4280.0
860160,2140.0
880640,4360.0
900096,2800.0
920576,2180.0
940032,3780.0
960512,2960.0
980992,3520.0
1000448,2960.0
1020928,3500.0
1040384,4980.0
1060864,5100.0
1080320,3260.0
1100800,4140.0
1120256,2960.0
1140736,3500.0
1160192,2820.0
1180672,2040.0
1200128,5080.0
1220608,4380.0
1240064,4260.0
1260544,4240.0
1280000,2200.0
1300480,4320.0
1320960,5180.0
1340416,3400.0
1360896,4180.0
1380352,3800.0
1400832,2180.0
1420288,2200.0
1440768,3540.0
1460224,5020.0
1480704,2760.0
1500160,4180.0
1520640,3620.0
1540096,3600.0
1560576,3600.0
1580032,4220.0
1600512,5000.0
1620992,2160.0
1640448,1660.0
1660928,2280.0
1680384,3740.0
1700864,2840.0
1720320,3680.0
1740800,3720.0
1760256,1460.0
1780736,2940.0
1800192,2880.0
1820672,2920.0
1840128,2240.0
1860608,1520.0
1880064,2980.0
1900544,2920.0
1920000,2960.0
1940480,4160.0
1960960,3480.0
1980416,3480.0
2000896,3640.0
2020352,2100.0
2040832,2800.0
2060288,1520.0
2080768,2680.0
2100224,3640.0
2120704,4300.0
2140160,1440.0
2160640,800.0
2180096,2900.0
2200576,2120.0
2220032,2800.0
2240512,3020.0
2260992,2900.0
2280448,2420.0
2300928,3980.0
2320384,2840.0
2340864,2800.0
2360320,3740.0
2380800,2100.0
2400256,3320.0
2420736,2280.0
2440192,2260.0
2460672,2740.0
2480128,3020.0
2500608,2100.0
2520064,4120.0
2540544,2200.0
2560000,2860.0
2580480,2740.0
2600960,1560.0
2620416,2000.0
2640896,3480.0
2660352,4200.0
2680832,2880.0
2700288,3480.0
2720768,3060.0
2740224,3420.0
2760704,4820.0
2780160,3660.0
2800640,1440.0
2820096,2880.0
2840576,3700.0
2860032,2760.0
2880512,2900.0
2900992,2860.0
2920448,2860.0
2940928,2880.0
2960384,2320.0
2980864,2920.0
3000320,2960.0
3020800,2880.0
3040256,2900.0
3060736,5020.0
3080192,3520.0
3100672,2780.0
3120128,2720.0
3140608,4340.0
3160064,4120.0
3180544,3660.0
3200000,2960.0
3220480,3620.0
3240960,2080.0
3260416,3440.0
3280896,4040.0
3300352,4320.0
3320832,4360.0
3340288,3560.0
3360768,3580.0
3380224,5280.0
3400704,3360.0
3420160,4160.0
3440640,3600.0
3460096,2820.0
3480576,3540.0
3500032,3600.0
3520512,3500.0
3540992,5000.0
3560448,3040.0
3580928,3560.0
3600384,4380.0
3620864,3600.0
3640320,4220.0
3660800,3620.0
3680256,4940.0
3700736,2120.0
3720192,3500.0
3740672,3400.0
3760128,3600.0
3780608,3000.0
3800064,4420.0
3820544,4260.0
3840000,4380.0
3860480,5900.0
3880960,4280.0
3900416,5020.0
3920896,4480.0
3940352,2920.0
3960832,3540.0
3980288,4260.0
4000768,3440.0
4020224,4980.0
4040704,4940.0
4060160,4980.0
4080640,3580.0
4100096,4260.0
4120576,3680.0
4140032,4140.0
4160512,2940.0
4180992,2880.0
4200448,4360.0
4220928,3540.0
4240384,3800.0
4260864,3760.0
4280320,4960.0
4300800,4460.0
4320256,4360.0
4340736,2900.0
4360192,4780.0
4380672,5300.0
4400128,3580.0
4420608,4420.0
4440064,4440.0
4460544,4260.0
4480000,5000.0
4500480,3560.0
4520960,3740.0
4540416,3680.0
4560896,4340.0
4580352,5680.0
4600832,3060.0
4620288,5200.0
4640768,3760.0
4660224,5120.0
4680704,4340.0
4700160,2900.0
4720640,4980.0
4740096,4520.0
4760576,4300.0
4780032,5840.0
4800512,5140.0
4820992,5060.0
4840448,2980.0
4860928,2860.0
4880384,3700.0
4900864,4380.0
4920320,4360.0
4940800,4440.0
4960256,4460.0
4980736,3700.0
5000192,3660.0
