Step,Value
20480,1300.0
40960,1350.0
60416,1710.0
80896,1890.0
100352,1472.0
120832,1676.0
140288,1918.0
160768,1060.0
180224,1614.0
200704,586.0
220160,2378.0
240640,1080.0
260096,1570.0
280576,1682.0
300032,2250.0
320512,1604.0
340992,726.0
360448,1532.0
380928,1070.0
400384,1684.0
420864,2444.0
440320,1320.0
460800,1444.0
480256,1522.0
500736,1580.0
520192,2048.0
540672,1136.0
560128,2618.0
580608,910.0
600064,2056.0
620544,1404.0
640000,1706.0
660480,2660.0
680960,2546.0
700416,1930.0
720896,3254.0
740352,1606.0
760832,3406.0
780288,1346.0
800768,2114.0
820224,2432.0
840704,2106.0
860160,2006.0
880640,2334.0
900096,2328.0
920576,3766.0
940032,3832.0
960512,4544.0
980992,3978.0
1000448,4944.0
1020928,4388.0
1040384,2924.0
1060864,2990.0
1080320,3144.0
1100800,2782.0
1120256,5004.0
1140736,2490.0
1160192,4212.0
1180672,5212.0
1200128,5792.0
1220608,4790.0
1240064,8360.0
1260544,3332.0
1280000,5024.0
1300480,9408.0
1320960,8436.0
1340416,4578.0
1360896,5584.0
1380352,5180.0
1400832,4336.0
1420288,4988.0
1440768,3082.0
1460224,5512.0
1480704,6904.0
1500160,7020.0
1520640,4274.0
1540096,9868.0
1560576,6368.0
1580032,4346.0
1600512,4604.0
1620992,4194.0
1640448,5058.0
1660928,4442.0
1680384,6024.0
1700864,9020.0
1720320,9158.0
1740800,5860.0
1760256,4636.0
1780736,8000.0
1800192,7654.0
1820672,6036.0
1840128,10414.0
1860608,9668.0
1880064,7862.0
1900544,12310.0
1920000,10464.0
1940480,6644.0
1960960,5222.0
1980416,15764.0
2000896,3150.0
2020352,9706.0
2040832,13594.0
2060288,15510.0
2080768,9064.0
2100224,9038.0
2120704,6110.0
2140160,7242.0
2160640,13752.0
2180096,8520.0
2200576,13902.0
2220032,12506.0
2240512,12800.0
2260992,18960.0
2280448,19556.0
2300928,16318.0
2320384,11568.0
2340864,11502.0
2360320,20078.0
2380800,9548.0
2400256,9838.0
2420736,5756.0
2440192,6918.0
2460672,13816.0
2480128,16994.0
2500608,18918.0
2520064,10308.0
2540544,12364.0
2560000,24314.0
2580480,14318.0
2600960,22970.0
2620416,10942.0
2640896,6226.0
2660352,16770.0
2680832,10172.0
2700288,10944.0
2720768,39892.0
2740224,39080.0
2760704,33944.0
2780160,44784.0
2800640,27268.0
2820096,24654.0
2840576,38796.0
2860032,47584.0
2880512,41266.0
2900992,38862.0
2920448,20172.0
2940928,21496.0
2960384,27392.0
2980864,42414.0
3000320,21326.0
3020800,44732.0
3040256,20136.0
3060736,21838.0
3080192,19246.0
3100672,14386.0
3120128,38172.0
3140608,27818.0
3160064,20750.0
3180544,22810.0
3200000,28526.0
3220480,9358.0
3240960,17292.0
3260416,23464.0
3280896,17906.0
3300352,36696.0
3320832,26454.0
3340288,7074.0
3360768,12874.0
3380224,12500.0
3400704,19644.0
3420160,10366.0
3440640,23566.0
3460096,16686.0
3480576,10386.0
3500032,12986.0
3520512,9634.0
3540992,21142.0
3560448,19382.0
3580928,21020.0
3600384,13178.0
3620864,16222.0
3640320,16134.0
3660800,13768.0
3680256,27252.0
3700736,22398.0
3720192,21636.0
3740672,12254.0
3760128,12270.0
3780608,13358.0
3800064,11622.0
3820544,4292.0
3840000,12084.0
3860480,15102.0
3880960,10148.0
3900416,17666.0
3920896,15460.0
3940352,11046.0
3960832,17966.0
3980288,6976.0
4000768,12162.0
4020224,13582.0
4040704,10292.0
4060160,13368.0
4080640,7588.0
4100096,14724.0
4120576,16276.0
4140032,22800.0
4160512,14938.0
4180992,14006.0
4200448,16542.0
4220928,12848.0
4240384,18654.0
4260864,19954.0
4280320,16054.0
4300800,19318.0
4320256,9114.0
4340736,16952.0
4360192,16154.0
4380672,12602.0
4400128,17638.0
4420608,29596.0
4440064,25636.0
4460544,13348.0
4480000,13534.0
4500480,12740.0
4520960,19570.0
4540416,25566.0
4560896,13896.0
4580352,23472.0
4600832,21626.0
4620288,7280.0
4640768,20626.0
4660224,19808.0
4680704,12136.0
4700160,11988.0
4720640,17746.0
4740096,9908.0
4760576,25306.0
4780032,10866.0
4800512,15814.0
4820992,15010.0
4840448,12878.0
4860928,15830.0
4880384,11554.0
4900864,19758.0
4920320,15784.0
4940800,12652.0
4960256,14994.0
4980736,23478.0
5000192,13276.0
