Step,Value
20480,22161.599609375
40960,21731.0
60416,11403.599609375
80896,33721.3984375
100352,16566.0
120832,21872.19921875
140288,12359.0
160768,19932.0
180224,11099.0
200704,12237.599609375
220160,27250.0
240640,20878.19921875
260096,19036.0
280576,26444.0
300032,16889.0
320512,16031.7998046875
340992,24455.0
360448,24076.0
380928,49751.19921875
400384,15645.599609375
420864,20476.80078125
440320,29837.0
460800,29282.400390625
480256,23341.80078125
500736,16471.19921875
520192,23555.80078125
540672,23041.400390625
560128,36265.3984375
580608,53505.0
600064,28605.0
620544,20779.0
640000,19617.80078125
660480,11906.599609375
680960,54305.0
700416,26834.80078125
720896,35946.6015625
740352,29257.0
760832,28651.599609375
780288,16069.400390625
800768,14035.400390625
820224,42727.3984375
840704,23516.19921875
860160,20895.80078125
880640,32508.400390625
900096,14572.599609375
920576,22679.0
940032,40211.0
960512,24031.80078125
980992,16748.400390625
1000448,49790.0
1020928,14478.599609375
1040384,26509.400390625
1060864,24853.19921875
1080320,29735.400390625
1100800,24597.19921875
1120256,42205.6015625
1140736,29494.0
1160192,33918.6015625
1180672,13903.7998046875
1200128,43109.0
1220608,13126.599609375
1240064,20866.0
1260544,10788.599609375
1280000,19545.599609375
1300480,31828.80078125
1320960,27059.400390625
1340416,12245.0
1360896,21133.80078125
1380352,42851.6015625
1400832,16762.599609375
1420288,23550.19921875
1440768,15474.599609375
1460224,37044.80078125
1480704,18165.80078125
1500160,20091.0
1520640,19794.0
1540096,12443.599609375
1560576,26259.0
1580032,37907.3984375
1600512,18153.599609375
1620992,37360.0
1640448,67422.796875
1660928,27812.19921875
1680384,23444.80078125
1700864,25573.0
1720320,29489.599609375
1740800,39728.6015625
1760256,36020.6015625
1780736,26661.19921875
1800192,36908.19921875
1820672,50717.0
1840128,33275.19921875
1860608,36615.0
1880064,78188.796875
1900544,34326.6015625
1920000,20892.80078125
1940480,42549.0
1960960,58563.80078125
1980416,15387.599609375
2000896,22134.80078125
2020352,33784.19921875
2040832,23194.599609375
2060288,52813.6015625
2080768,34706.6015625
2100224,21293.599609375
2120704,21098.19921875
2140160,16989.80078125
2160640,17967.19921875
2180096,16570.599609375
2200576,17832.400390625
2220032,22358.19921875
2240512,24634.19921875
2260992,22978.19921875
2280448,51021.6015625
2300928,34793.19921875
2320384,64114.0
2340864,59926.80078125
2360320,17691.599609375
2380800,25627.80078125
2400256,38146.80078125
2420736,17570.80078125
2440192,12249.7998046875
2460672,17088.0
2480128,16391.19921875
2500608,21070.599609375
2520064,46390.19921875
2540544,26155.400390625
2560000,98237.3984375
2580480,18696.0
2600960,37520.0
2620416,16446.0
2640896,36309.19921875
2660352,54570.6015625
2680832,31866.599609375
2700288,38543.3984375
2720768,22224.19921875
2740224,42403.0
2760704,17807.19921875
2780160,43170.80078125
2800640,36304.6015625
2820096,36006.19921875
2840576,25108.19921875
2860032,43543.6015625
2880512,15569.7998046875
2900992,30617.19921875
2920448,27731.0
2940928,52443.0
2960384,22047.400390625
2980864,17384.400390625
3000320,11707.599609375
3020800,20055.599609375
3040256,16493.0
3060736,25548.599609375
3080192,34717.80078125
3100672,6778.7998046875
3120128,21447.19921875
3140608,22770.0
3160064,51106.0
3180544,38442.3984375
3200000,20367.0
3220480,24586.19921875
3240960,20554.599609375
3260416,52584.80078125
3280896,11641.400390625
3300352,31793.80078125
3320832,13541.2001953125
3340288,26478.400390625
3360768,24102.400390625
3380224,10098.7998046875
3400704,48157.3984375
3420160,35145.80078125
3440640,27278.400390625
3460096,46438.3984375
3480576,35364.0
3500032,72314.796875
3520512,69254.203125
3540992,12880.400390625
3560448,13746.400390625
3580928,45857.6015625
3600384,14664.0
3620864,34249.0
3640320,32725.400390625
3660800,14488.2001953125
3680256,29154.80078125
3700736,19916.400390625
3720192,33371.80078125
3740672,23193.0
3760128,23395.599609375
3780608,25221.0
3800064,32490.400390625
3820544,28099.19921875
3840000,20696.599609375
3860480,9766.7998046875
3880960,57244.80078125
3900416,34132.19921875
3920896,57693.80078125
3940352,42775.0
3960832,58742.3984375
3980288,37408.6015625
4000768,21946.0
4020224,26478.599609375
4040704,21781.19921875
4060160,14258.7998046875
4080640,7842.39990234375
4100096,17306.400390625
4120576,33922.19921875
4140032,20862.0
4160512,19925.19921875
4180992,24533.19921875
4200448,26419.0
4220928,60605.80078125
4240384,20035.80078125
4260864,22008.400390625
4280320,23714.599609375
4300800,13582.599609375
4320256,55457.80078125
4340736,61141.80078125
4360192,17433.19921875
4380672,62412.3984375
4400128,15567.7998046875
4420608,24890.400390625
4440064,27913.19921875
4460544,39950.19921875
4480000,30546.80078125
4500480,47152.80078125
4520960,15708.2001953125
4540416,16346.2001953125
4560896,24026.599609375
4580352,31065.599609375
4600832,23562.0
4620288,43602.3984375
4640768,13002.7998046875
4660224,28883.80078125
4680704,48147.19921875
4700160,61808.3984375
4720640,44412.6015625
4740096,45122.0
4760576,11669.7998046875
4780032,33329.80078125
4800512,32753.19921875
4820992,40237.19921875
4840448,34385.80078125
4860928,27749.0
4880384,23991.400390625
4900864,13587.599609375
4920320,27497.0
4940800,13047.0
4960256,34268.19921875
4980736,21632.0
5000192,20465.0
