Step,Value
20480,780.0
40960,1120.0
60416,840.0
80896,2080.0
100352,1520.0
120832,320.0
140288,280.0
160768,420.0
180224,480.0
200704,1380.0
220160,540.0
240640,440.0
260096,1100.0
280576,1000.0
300032,840.0
320512,1000.0
340992,1180.0
360448,780.0
380928,860.0
400384,520.0
420864,1560.0
440320,1680.0
460800,660.0
480256,960.0
500736,600.0
520192,1220.0
540672,900.0
560128,1400.0
580608,960.0
600064,800.0
620544,1400.0
640000,1280.0
660480,660.0
680960,1560.0
700416,780.0
720896,720.0
740352,780.0
760832,740.0
780288,1400.0
800768,1240.0
820224,320.0
840704,900.0
860160,440.0
880640,460.0
900096,960.0
920576,1080.0
940032,1240.0
960512,1160.0
980992,1200.0
1000448,740.0
1020928,1080.0
1040384,1180.0
1060864,2340.0
1080320,1360.0
1100800,1700.0
1120256,1520.0
1140736,1400.0
1160192,1540.0
1180672,1240.0
1200128,1100.0
1220608,1060.0
1240064,1100.0
1260544,820.0
1280000,1420.0
1300480,1040.0
1320960,480.0
1340416,780.0
1360896,1080.0
1380352,720.0
1400832,1300.0
1420288,1580.0
1440768,1220.0
1460224,1120.0
1480704,620.0
1500160,1180.0
1520640,720.0
1540096,660.0
1560576,1220.0
1580032,1000.0
1600512,1000.0
1620992,1440.0
1640448,1020.0
1660928,920.0
1680384,2080.0
1700864,1540.0
1720320,2160.0
1740800,1660.0
1760256,1260.0
1780736,1420.0
1800192,1420.0
1820672,1200.0
1840128,1300.0
1860608,1800.0
1880064,1240.0
1900544,1260.0
1920000,1500.0
1940480,2140.0
1960960,1560.0
1980416,1340.0
2000896,1780.0
2020352,2560.0
2040832,4360.0
2060288,1800.0
2080768,1580.0
2100224,1380.0
2120704,1700.0
2140160,1940.0
2160640,2000.0
2180096,1080.0
2200576,1700.0
2220032,1780.0
2240512,1420.0
2260992,1760.0
2280448,1560.0
2300928,6100.0
2320384,1960.0
2340864,1620.0
2360320,2160.0
2380800,1840.0
2400256,1780.0
2420736,2960.0
2440192,1400.0
2460672,1880.0
2480128,1680.0
2500608,2020.0
2520064,1240.0
2540544,2920.0
2560000,1880.0
2580480,1660.0
2600960,2000.0
2620416,1540.0
2640896,2080.0
2660352,2080.0
2680832,1600.0
2700288,2200.0
2720768,2120.0
2740224,1900.0
2760704,3400.0
2780160,1600.0
2800640,2000.0
2820096,3020.0
2840576,1480.0
2860032,1640.0
2880512,1580.0
2900992,2180.0
2920448,1520.0
2940928,1840.0
2960384,1600.0
2980864,2260.0
3000320,2320.0
3020800,1880.0
3040256,2560.0
3060736,1960.0
3080192,2520.0
3100672,4460.0
3120128,1820.0
3140608,1740.0
3160064,1880.0
3180544,2820.0
3200000,1980.0
3220480,2160.0
3240960,2160.0
3260416,1780.0
3280896,3260.0
3300352,2540.0
3320832,1720.0
3340288,1480.0
3360768,2200.0
3380224,3460.0
3400704,2440.0
3420160,2600.0
3440640,1540.0
3460096,1940.0
3480576,2980.0
3500032,1980.0
3520512,2040.0
3540992,2400.0
3560448,1940.0
3580928,1860.0
3600384,2960.0
3620864,2560.0
3640320,1440.0
3660800,1440.0
3680256,1820.0
3700736,2340.0
3720192,7140.0
3740672,3380.0
3760128,1880.0
3780608,2480.0
3800064,3240.0
3820544,5240.0
3840000,2200.0
3860480,2840.0
3880960,2060.0
3900416,2680.0
3920896,4880.0
3940352,2360.0
3960832,3180.0
3980288,2440.0
4000768,4500.0
4020224,2720.0
4040704,2260.0
4060160,1440.0
4080640,1860.0
4100096,2080.0
4120576,4200.0
4140032,3180.0
4160512,2300.0
4180992,1320.0
4200448,5440.0
4220928,2100.0
4240384,4440.0
4260864,4100.0
4280320,3460.0
4300800,2080.0
4320256,4720.0
4340736,1840.0
4360192,1960.0
4380672,2660.0
4400128,2540.0
4420608,3640.0
4440064,5260.0
4460544,2800.0
4480000,2400.0
4500480,3940.0
4520960,3360.0
4540416,3620.0
4560896,3040.0
4580352,2720.0
4600832,4200.0
4620288,3240.0
4640768,1960.0
4660224,4160.0
4680704,2000.0
4700160,4780.0
4720640,2920.0
4740096,3600.0
4760576,2200.0
4780032,4840.0
4800512,3960.0
4820992,4640.0
4840448,3040.0
4860928,3020.0
4880384,4760.0
4900864,5860.0
4920320,3720.0
4940800,1900.0
4960256,3120.0
4980736,5620.0
5000192,2820.0
