Step,Value
20480,0.0
40960,0.0
60416,0.0
80896,0.0
100352,0.0
120832,0.0
140288,0.0
160768,0.0
180224,0.0
200704,40.0
220160,0.0
240640,0.0
260096,0.0
280576,0.0
300032,240.0
320512,300.0
340992,360.0
360448,240.0
380928,240.0
400384,160.0
420864,120.0
440320,160.0
460800,480.0
480256,80.0
500736,80.0
520192,160.0
540672,300.0
560128,120.0
580608,320.0
600064,160.0
620544,40.0
640000,40.0
660480,440.0
680960,240.0
700416,160.0
720896,200.0
740352,200.0
760832,420.0
780288,80.0
800768,340.0
820224,40.0
840704,0.0
860160,0.0
880640,0.0
900096,0.0
920576,0.0
940032,0.0
960512,0.0
980992,0.0
1000448,0.0
1020928,0.0
1040384,40.0
1060864,80.0
1080320,0.0
1100800,0.0
1120256,0.0
1140736,200.0
1160192,300.0
1180672,200.0
1200128,320.0
1220608,360.0
1240064,360.0
1260544,240.0
1280000,40.0
1300480,0.0
1320960,40.0
1340416,0.0
1360896,0.0
1380352,0.0
1400832,0.0
1420288,0.0
1440768,0.0
1460224,0.0
1480704,0.0
1500160,0.0
1520640,0.0
1540096,0.0
1560576,0.0
1580032,0.0
1600512,0.0
1620992,0.0
1640448,0.0
1660928,0.0
1680384,0.0
1700864,0.0
1720320,0.0
1740800,0.0
1760256,0.0
1780736,0.0
1800192,80.0
1820672,0.0
1840128,80.0
1860608,0.0
1880064,0.0
1900544,0.0
1920000,260.0
1940480,0.0
1960960,0.0
1980416,0.0
2000896,0.0
2020352,0.0
2040832,0.0
2060288,0.0
2080768,0.0
2100224,480.0
2120704,760.0
2140160,260.0
2160640,600.0
2180096,300.0
2200576,500.0
2220032,940.0
2240512,900.0
2260992,360.0
2280448,0.0
2300928,0.0
2320384,520.0
2340864,100.0
2360320,760.0
2380800,480.0
2400256,480.0
2420736,280.0
2440192,740.0
2460672,180.0
2480128,740.0
2500608,600.0
2520064,300.0
2540544,720.0
2560000,280.0
2580480,840.0
2600960,380.0
2620416,540.0
2640896,1040.0
2660352,40.0
2680832,780.0
2700288,840.0
2720768,300.0
2740224,300.0
2760704,760.0
2780160,440.0
2800640,520.0
2820096,820.0
2840576,420.0
2860032,340.0
2880512,1220.0
2900992,1460.0
2920448,580.0
2940928,1000.0
2960384,2120.0
2980864,1180.0
3000320,1240.0
3020800,900.0
3040256,740.0
3060736,1120.0
3080192,1600.0
3100672,2120.0
3120128,1320.0
3140608,2300.0
3160064,1100.0
3180544,1580.0
3200000,1860.0
3220480,2420.0
3240960,1920.0
3260416,3200.0
3280896,2160.0
3300352,2260.0
3320832,1780.0
3340288,1780.0
3360768,2480.0
3380224,2460.0
3400704,1460.0
3420160,2400.0
3440640,2340.0
3460096,2600.0
3480576,2440.0
3500032,3440.0
3520512,2520.0
3540992,1680.0
3560448,3260.0
3580928,940.0
3600384,2120.0
3620864,2340.0
3640320,2320.0
3660800,3880.0
3680256,2000.0
3700736,3020.0
3720192,2500.0
3740672,2520.0
3760128,2860.0
3780608,3760.0
3800064,2740.0
3820544,3920.0
3840000,2060.0
3860480,2780.0
3880960,2960.0
3900416,3600.0
3920896,3740.0
3940352,2580.0
3960832,2820.0
3980288,2520.0
4000768,3520.0
4020224,4680.0
4040704,3040.0
4060160,3060.0
4080640,3160.0
4100096,2300.0
4120576,2160.0
4140032,4680.0
4160512,2360.0
4180992,3580.0
4200448,3340.0
4220928,3600.0
4240384,2020.0
4260864,2280.0
4280320,1840.0
4300800,3000.0
4320256,3820.0
4340736,3260.0
4360192,3480.0
4380672,4520.0
4400128,3700.0
4420608,4080.0
4440064,2860.0
4460544,3680.0
4480000,4720.0
4500480,3600.0
4520960,3100.0
4540416,3060.0
4560896,2760.0
4580352,3380.0
4600832,3100.0
4620288,2480.0
4640768,3460.0
4660224,3560.0
4680704,5380.0
4700160,3840.0
4720640,3300.0
4740096,3860.0
4760576,4180.0
4780032,4740.0
4800512,2760.0
4820992,3540.0
4840448,3640.0
4860928,3460.0
4880384,4440.0
4900864,3040.0
4920320,3840.0
4940800,3900.0
4960256,3520.0
4980736,4480.0
5000192,4820.0
