Step,Value
20480,340.20001220703125
40960,252.0
60416,348.6000061035156
80896,403.20001220703125
100352,420.0
120832,348.6000061035156
140288,424.20001220703125
160768,436.79998779296875
180224,378.0
200704,386.3999938964844
220160,487.20001220703125
240640,487.20001220703125
260096,674.0
280576,699.2000122070312
300032,756.0
320512,609.0
340992,651.0
360448,638.2000122070312
380928,743.4000244140625
400384,701.4000244140625
420864,630.0
440320,583.7999877929688
460800,722.4000244140625
480256,672.0
500736,730.7999877929688
520192,940.7999877929688
540672,961.7999877929688
560128,848.4000244140625
580608,1239.0
600064,737.0
620544,743.4000244140625
640000,735.0
660480,810.5999755859375
680960,726.5999755859375
700416,812.5999755859375
720896,783.2000122070312
740352,1020.5999755859375
760832,768.5999755859375
780288,890.4000244140625
800768,688.7999877929688
820224,932.4000244140625
840704,793.7999877929688
860160,764.4000244140625
880640,852.5999755859375
900096,821.0
920576,1066.5999755859375
940032,919.4000244140625
960512,797.2000122070312
980992,1036.4000244140625
1000448,818.4000244140625
1020928,1051.199951171875
1040384,847.7999877929688
1060864,831.2000122070312
1080320,751.7999877929688
1100800,1032.800048828125
1120256,1037.199951171875
1140736,1305.5999755859375
1160192,1207.199951171875
1180672,1034.5999755859375
1200128,1551.199951171875
1220608,1084.199951171875
1240064,1099.199951171875
1260544,1328.199951171875
1280000,1450.0
1300480,1743.800048828125
1320960,1355.800048828125
1340416,1250.800048828125
1360896,1292.800048828125
1380352,1467.0
1400832,1561.5999755859375
1420288,1250.5999755859375
1440768,1311.0
1460224,1872.4000244140625
1480704,982.2000122070312
1500160,1140.0
1520640,1438.800048828125
1540096,1263.199951171875
1560576,1466.4000244140625
1580032,1769.800048828125
1600512,1196.199951171875
1620992,1263.5999755859375
1640448,1271.4000244140625
1660928,1966.4000244140625
1680384,1948.0
1700864,1450.0
1720320,1179.4000244140625
1740800,1745.0
1760256,1966.5999755859375
1780736,1654.0
1800192,2472.199951171875
1820672,1047.0
1840128,1647.800048828125
1860608,1246.5999755859375
1880064,1767.800048828125
1900544,1553.199951171875
1920000,1349.199951171875
1940480,1241.800048828125
1960960,2124.39990234375
1980416,1447.199951171875
2000896,1970.5999755859375
2020352,1760.5999755859375
2040832,2073.39990234375
2060288,1745.5999755859375
2080768,1937.4000244140625
2100224,1674.199951171875
2120704,2510.0
2140160,2203.199951171875
2160640,1850.4000244140625
2180096,2406.199951171875
2200576,2631.39990234375
2220032,2741.800048828125
2240512,1728.5999755859375
2260992,2884.60009765625
2280448,2605.60009765625
2300928,2174.39990234375
2320384,1078.5999755859375
2340864,2862.0
2360320,2134.199951171875
2380800,2148.800048828125
2400256,1474.800048828125
2420736,1824.800048828125
2440192,2255.199951171875
2460672,2475.800048828125
2480128,1685.800048828125
2500608,3132.39990234375
2520064,2725.800048828125
2540544,1409.5999755859375
2560000,1906.4000244140625
2580480,1596.4000244140625
2600960,1810.5999755859375
2620416,2625.39990234375
2640896,2341.199951171875
2660352,1951.0
2680832,2104.199951171875
2700288,2720.0
2720768,2930.800048828125
2740224,2786.60009765625
2760704,2274.39990234375
2780160,1460.0
2800640,1772.4000244140625
2820096,2661.800048828125
2840576,3177.0
2860032,2278.199951171875
2880512,2826.0
2900992,2337.800048828125
2920448,2414.39990234375
2940928,2170.0
2960384,1405.800048828125
2980864,2146.39990234375
3000320,2978.0
3020800,2775.199951171875
3040256,2240.60009765625
3060736,2209.60009765625
3080192,2469.199951171875
3100672,2660.60009765625
3120128,2773.199951171875
3140608,2672.199951171875
3160064,2728.39990234375
3180544,2730.60009765625
3200000,2126.800048828125
3220480,2103.800048828125
3240960,2454.60009765625
3260416,2445.60009765625
3280896,2205.60009765625
3300352,2733.39990234375
3320832,2536.800048828125
3340288,2664.60009765625
3360768,1819.0
3380224,2098.800048828125
3400704,1750.0
3420160,1997.4000244140625
3440640,2950.60009765625
3460096,1576.0
3480576,2868.60009765625
3500032,1569.5999755859375
3520512,2686.199951171875
3540992,2228.199951171875
3560448,2686.199951171875
3580928,2779.39990234375
3600384,2961.0
3620864,3131.0
3640320,2397.0
3660800,2140.199951171875
3680256,3184.0
3700736,2168.0
3720192,2398.199951171875
3740672,2644.0
3760128,2046.0
3780608,2776.39990234375
3800064,2050.39990234375
3820544,2129.60009765625
3840000,2154.800048828125
3860480,2686.39990234375
3880960,2008.4000244140625
3900416,2423.39990234375
3920896,2062.199951171875
3940352,3172.39990234375
3960832,1479.5999755859375
3980288,2202.0
4000768,2526.199951171875
4020224,2407.39990234375
4040704,2784.60009765625
4060160,2057.800048828125
4080640,2201.800048828125
4100096,3182.199951171875
4120576,2924.800048828125
4140032,2310.0
4160512,2524.199951171875
4180992,2256.0
4200448,2400.39990234375
4220928,2533.199951171875
4240384,2175.800048828125
4260864,2590.60009765625
4280320,2383.800048828125
4300800,2195.199951171875
4320256,1989.800048828125
4340736,3081.199951171875
4360192,2533.199951171875
4380672,2718.0
4400128,2811.0
4420608,2944.0
4440064,2432.39990234375
4460544,1664.199951171875
4480000,2535.0
4500480,2698.0
4520960,2599.39990234375
4540416,2730.800048828125
4560896,2362.39990234375
4580352,2627.0
4600832,2606.199951171875
4620288,3339.199951171875
4640768,2956.39990234375
4660224,3061.39990234375
4680704,2949.199951171875
4700160,2504.0
4720640,3165.800048828125
4740096,3018.800048828125
4760576,2811.800048828125
4780032,2165.199951171875
4800512,2501.199951171875
4820992,2704.39990234375
4840448,2867.199951171875
4860928,2327.0
4880384,2774.800048828125
4900864,3247.0
4920320,3252.800048828125
4940800,2827.60009765625
4960256,2388.39990234375
4980736,2375.0
5000192,2287.39990234375
