Step,Value
20480,240.0
40960,230.0
60416,220.0
80896,310.0
100352,400.0
120832,190.0
140288,130.0
160768,230.0
180224,390.0
200704,390.0
220160,220.0
240640,320.0
260096,160.0
280576,230.0
300032,230.0
320512,260.0
340992,270.0
360448,310.0
380928,300.0
400384,230.0
420864,250.0
440320,380.0
460800,340.0
480256,240.0
500736,300.0
520192,260.0
540672,330.0
560128,520.0
580608,490.0
600064,410.0
620544,490.0
640000,420.0
660480,610.0
680960,640.0
700416,760.0
720896,570.0
740352,760.0
760832,620.0
780288,530.0
800768,600.0
820224,790.0
840704,570.0
860160,940.0
880640,1180.0
900096,800.0
920576,920.0
940032,1050.0
960512,780.0
980992,1130.0
1000448,1330.0
1020928,1180.0
1040384,1030.0
1060864,1180.0
1080320,1030.0
1100800,1090.0
1120256,850.0
1140736,1080.0
1160192,990.0
1180672,1140.0
1200128,970.0
1220608,870.0
1240064,1400.0
1260544,1030.0
1280000,1200.0
1300480,1090.0
1320960,1410.0
1340416,720.0
1360896,1280.0
1380352,1480.0
1400832,1510.0
1420288,1150.0
1440768,1470.0
1460224,1320.0
1480704,1360.0
1500160,1640.0
1520640,1830.0
1540096,1470.0
1560576,1200.0
1580032,1390.0
1600512,1350.0
1620992,1870.0
1640448,1900.0
1660928,1780.0
1680384,1730.0
1700864,1650.0
1720320,1710.0
1740800,1770.0
1760256,1230.0
1780736,1680.0
1800192,1880.0
1820672,2270.0
1840128,1400.0
1860608,2110.0
1880064,2170.0
1900544,1860.0
1920000,1820.0
1940480,2230.0
1960960,1890.0
1980416,1780.0
2000896,1400.0
2020352,2020.0
2040832,2260.0
2060288,1890.0
2080768,1940.0
2100224,2330.0
2120704,2030.0
2140160,1990.0
2160640,1990.0
2180096,2100.0
2200576,1970.0
2220032,1030.0
2240512,2270.0
2260992,2080.0
2280448,1820.0
2300928,1980.0
2320384,1760.0
2340864,2010.0
2360320,2860.0
2380800,2180.0
2400256,1730.0
2420736,2150.0
2440192,2250.0
2460672,2120.0
2480128,2120.0
2500608,2210.0
2520064,2160.0
2540544,2260.0
2560000,2430.0
2580480,2440.0
2600960,2130.0
2620416,2090.0
2640896,2120.0
2660352,2140.0
2680832,2080.0
2700288,1540.0
2720768,2150.0
2740224,2320.0
2760704,2190.0
2780160,2360.0
2800640,2490.0
2820096,2590.0
2840576,2410.0
2860032,2500.0
2880512,2350.0
2900992,2150.0
2920448,2410.0
2940928,2540.0
2960384,2340.0
2980864,1900.0
3000320,2830.0
3020800,1980.0
3040256,2160.0
3060736,1690.0
3080192,2010.0
3100672,2670.0
3120128,2080.0
3140608,2610.0
3160064,2190.0
3180544,2890.0
3200000,2500.0
3220480,2300.0
3240960,1910.0
3260416,2540.0
3280896,1930.0
3300352,2360.0
3320832,2270.0
3340288,2200.0
3360768,2140.0
3380224,2100.0
3400704,2330.0
3420160,2210.0
3440640,2680.0
3460096,2120.0
3480576,1760.0
3500032,2500.0
3520512,2820.0
3540992,2770.0
3560448,2150.0
3580928,2660.0
3600384,2650.0
3620864,2470.0
3640320,1980.0
3660800,2360.0
3680256,2760.0
3700736,2490.0
3720192,2620.0
3740672,2630.0
3760128,2380.0
3780608,2480.0
3800064,2760.0
3820544,2530.0
3840000,2860.0
3860480,2510.0
3880960,2800.0
3900416,2630.0
3920896,2010.0
3940352,2480.0
3960832,2420.0
3980288,2120.0
4000768,2880.0
4020224,2310.0
4040704,2600.0
4060160,2780.0
4080640,2530.0
4100096,2910.0
4120576,2320.0
4140032,2600.0
4160512,2150.0
4180992,2960.0
4200448,2420.0
4220928,2170.0
4240384,2810.0
4260864,2390.0
4280320,2560.0
4300800,2760.0
4320256,2530.0
4340736,2700.0
4360192,2880.0
4380672,2500.0
4400128,2470.0
4420608,2560.0
4440064,2900.0
4460544,2580.0
4480000,2800.0
4500480,2600.0
4520960,1950.0
4540416,2650.0
4560896,3060.0
4580352,2820.0
4600832,2540.0
4620288,2840.0
4640768,2710.0
4660224,2360.0
4680704,2480.0
4700160,2500.0
4720640,2760.0
4740096,2610.0
4760576,2630.0
4780032,2470.0
4800512,2860.0
4820992,2680.0
4840448,2410.0
4860928,2090.0
4880384,2420.0
4900864,2730.0
4920320,2640.0
4940800,2840.0
4960256,2630.0
4980736,2560.0
5000192,2620.0
