Step,Value
20480,16820.0
40960,21840.0
60416,19920.0
80896,23580.0
100352,18140.0
120832,25340.0
140288,25400.0
160768,24840.0
180224,20720.0
200704,23600.0
220160,25220.0
240640,24640.0
260096,30620.0
280576,27560.0
300032,24580.0
320512,23800.0
340992,28220.0
360448,27420.0
380928,32880.0
400384,29520.0
420864,28180.0
440320,40280.0
460800,43300.0
480256,41400.0
500736,38660.0
520192,45880.0
540672,49580.0
560128,48080.0
580608,47380.0
600064,44500.0
620544,47880.0
640000,52960.0
660480,52760.0
680960,50880.0
700416,61960.0
720896,64120.0
740352,60320.0
760832,72120.0
780288,72140.0
800768,69460.0
820224,75520.0
840704,80720.0
860160,79320.0
880640,99500.0
900096,94300.0
920576,76160.0
940032,108880.0
960512,108200.0
980992,139400.0
1000448,104840.0
1020928,118640.0
1040384,144360.0
1060864,144080.0
1080320,167400.0
1100800,217900.0
1120256,346820.0
1140736,320840.0
1160192,1894400.0
1180672,1425660.0
1200128,1165460.0
1220608,2023740.0
1240064,255820.0
1260544,1488420.0
1280000,1530380.0
1300480,1224580.0
1320960,3169180.0
1340416,3297820.0
1360896,1335340.0
1380352,2041540.0
1400832,678980.0
1420288,2032020.0
1440768,1246660.0
1460224,1337540.0
1480704,699920.0
1500160,14700.0
1520640,710500.0
1540096,1357220.0
1560576,1376780.0
1580032,1302640.0
1600512,23220.0
1620992,688480.0
1640448,30820.0
1660928,1971320.0
1680384,1957100.0
1700864,1331800.0
1720320,1979040.0
1740800,684400.0
1760256,677040.0
1780736,687880.0
1800192,660760.0
1820672,1323660.0
1840128,1288140.0
1860608,1948700.0
1880064,1973020.0
1900544,2004540.0
1920000,2592100.0
1940480,1327960.0
1960960,1297040.0
1980416,1337880.0
2000896,1389680.0
2020352,1970240.0
2040832,1992740.0
2060288,2659700.0
2080768,3346440.0
2100224,2624580.0
2120704,1332780.0
2140160,2641660.0
2160640,1339340.0
2180096,691820.0
2200576,2655940.0
2220032,1976080.0
2240512,1987860.0
2260992,3283500.0
2280448,659100.0
2300928,1309880.0
2320384,1973260.0
2340864,1284820.0
2360320,1947060.0
2380800,665840.0
2400256,653580.0
2420736,26380.0
2440192,662160.0
2460672,662580.0
2480128,16860.0
2500608,671800.0
2520064,665740.0
2540544,18680.0
2560000,16460.0
2580480,13680.0
2600960,16120.0
2620416,16060.0
2640896,671820.0
2660352,13500.0
2680832,10420.0
2700288,12120.0
2720768,676280.0
2740224,1295640.0
2760704,636820.0
2780160,2539580.0
2800640,2578620.0
2820096,3237940.0
2840576,3128960.0
2860032,1916460.0
2880512,2496060.0
2900992,3198220.0
2920448,1926880.0
2940928,1301460.0
2960384,3155180.0
2980864,3116760.0
3000320,1875260.0
3020800,2451520.0
3040256,1235280.0
3060736,1816400.0
3080192,1238260.0
3100672,1896480.0
3120128,1268300.0
3140608,1249540.0
3160064,1255100.0
3180544,1871320.0
3200000,2492400.0
3220480,26300.0
3240960,1219580.0
3260416,1247000.0
3280896,2486740.0
3300352,1226280.0
3320832,1239540.0
3340288,1259240.0
3360768,644420.0
3380224,639840.0
3400704,1882980.0
3420160,620460.0
3440640,2539420.0
3460096,1880360.0
3480576,3153760.0
3500032,1849480.0
3520512,1260520.0
3540992,2498740.0
3560448,1250300.0
3580928,1857840.0
3600384,1273960.0
3620864,2507400.0
3640320,1859980.0
3660800,1862640.0
3680256,1290420.0
3700736,3115320.0
3720192,1913300.0
3740672,1273760.0
3760128,3100380.0
3780608,2530340.0
3800064,3169460.0
3820544,2509160.0
3840000,1872100.0
3860480,1908920.0
3880960,2579140.0
3900416,1929340.0
3920896,2502300.0
3940352,2601980.0
3960832,1292080.0
3980288,2538120.0
4000768,1934120.0
4020224,2615640.0
4040704,2546320.0
4060160,2594180.0
4080640,1949780.0
4100096,1977400.0
4120576,3198140.0
4140032,2523140.0
4160512,3220540.0
4180992,2605260.0
4200448,2588580.0
4220928,3172020.0
4240384,1906260.0
4260864,3199180.0
4280320,2560560.0
4300800,1957060.0
4320256,656580.0
4340736,1299860.0
4360192,2566520.0
4380672,1336480.0
4400128,32500.0
4420608,2602640.0
4440064,1942800.0
4460544,1895320.0
4480000,2551580.0
4500480,1287280.0
4520960,2583960.0
4540416,1928760.0
4560896,1302040.0
4580352,1900380.0
4600832,2590360.0
4620288,1927340.0
4640768,2609000.0
4660224,1937840.0
4680704,1338700.0
4700160,1327400.0
4720640,1864220.0
4740096,1313080.0
4760576,1918460.0
4780032,1921540.0
4800512,1289680.0
4820992,1925380.0
4840448,1916120.0
4860928,1951060.0
4880384,1284040.0
4900864,1925380.0
4920320,1293700.0
4940800,1294740.0
4960256,694080.0
4980736,671500.0
5000192,1989280.0
