Step,Value
20480,14.0
40960,10.0
60416,16.0
80896,20.0
100352,12.0
120832,20.0
140288,14.0
160768,22.0
180224,16.0
200704,38.0
220160,18.0
240640,18.0
260096,28.0
280576,22.0
300032,30.0
320512,16.0
340992,30.0
360448,16.0
380928,24.0
400384,26.0
420864,36.0
440320,38.0
460800,42.0
480256,34.0
500736,28.0
520192,32.0
540672,44.0
560128,40.0
580608,28.0
600064,30.0
620544,40.0
640000,46.0
660480,36.0
680960,24.0
700416,28.0
720896,48.0
740352,32.0
760832,52.0
780288,44.0
800768,58.0
820224,300.0
840704,554.0
860160,492.0
880640,600.0
900096,604.0
920576,614.0
940032,612.0
960512,614.0
980992,682.0
1000448,694.0
1020928,690.0
1040384,678.0
1060864,726.0
1080320,748.0
1100800,684.0
1120256,752.0
1140736,800.0
1160192,792.0
1180672,718.0
1200128,766.0
1220608,720.0
1240064,866.0
1260544,790.0
1280000,828.0
1300480,796.0
1320960,790.0
1340416,812.0
1360896,822.0
1380352,820.0
1400832,852.0
1420288,818.0
1440768,762.0
1460224,806.0
1480704,852.0
1500160,870.0
1520640,810.0
1540096,856.0
1560576,860.0
1580032,952.0
1600512,878.0
1620992,880.0
1640448,936.0
1660928,922.0
1680384,896.0
1700864,880.0
1720320,846.0
1740800,962.0
1760256,896.0
1780736,914.0
1800192,824.0
1820672,1002.0
1840128,1012.0
1860608,902.0
1880064,922.0
1900544,796.0
1920000,908.0
1940480,832.0
1960960,942.0
1980416,778.0
2000896,914.0
2020352,954.0
2040832,860.0
2060288,946.0
2080768,878.0
2100224,948.0
2120704,916.0
2140160,958.0
2160640,934.0
2180096,854.0
2200576,912.0
2220032,1034.0
2240512,966.0
2260992,1044.0
2280448,830.0
2300928,932.0
2320384,980.0
2340864,1150.0
2360320,1058.0
2380800,914.0
2400256,1066.0
2420736,946.0
2440192,1068.0
2460672,1020.0
2480128,958.0
2500608,1024.0
2520064,952.0
2540544,936.0
2560000,970.0
2580480,920.0
2600960,884.0
2620416,980.0
2640896,984.0
2660352,934.0
2680832,998.0
2700288,994.0
2720768,968.0
2740224,894.0
2760704,1020.0
2780160,912.0
2800640,996.0
2820096,956.0
2840576,960.0
2860032,946.0
2880512,1028.0
2900992,794.0
2920448,794.0
2940928,1002.0
2960384,940.0
2980864,884.0
3000320,928.0
3020800,940.0
3040256,994.0
3060736,980.0
3080192,1068.0
3100672,904.0
3120128,1082.0
3140608,936.0
3160064,1046.0
3180544,948.0
3200000,974.0
3220480,1152.0
3240960,1056.0
3260416,1092.0
3280896,1006.0
3300352,1038.0
3320832,1076.0
3340288,1074.0
3360768,860.0
3380224,978.0
3400704,1102.0
3420160,1166.0
3440640,1052.0
3460096,1026.0
3480576,1084.0
3500032,1062.0
3520512,1072.0
3540992,1056.0
3560448,1044.0
3580928,1030.0
3600384,1132.0
3620864,1140.0
3640320,1120.0
3660800,1094.0
3680256,1108.0
3700736,1120.0
3720192,922.0
3740672,1088.0
3760128,1080.0
3780608,1136.0
3800064,1128.0
3820544,1054.0
3840000,1184.0
3860480,1120.0
3880960,1182.0
3900416,1224.0
3920896,1068.0
3940352,1110.0
3960832,1156.0
3980288,1208.0
4000768,1124.0
4020224,1134.0
4040704,1136.0
4060160,1004.0
4080640,1074.0
4100096,1196.0
4120576,1112.0
4140032,1194.0
4160512,1230.0
4180992,1112.0
4200448,1124.0
4220928,1108.0
4240384,1148.0
4260864,1168.0
4280320,1144.0
4300800,1118.0
4320256,1224.0
4340736,1086.0
4360192,1130.0
4380672,1174.0
4400128,1206.0
4420608,1078.0
4440064,1086.0
4460544,1240.0
4480000,1148.0
4500480,1164.0
4520960,1072.0
4540416,1102.0
4560896,1202.0
4580352,1138.0
4600832,1168.0
4620288,1128.0
4640768,1190.0
4660224,1122.0
4680704,1168.0
4700160,1212.0
4720640,1230.0
4740096,1102.0
4760576,1096.0
4780032,1214.0
4800512,1180.0
4820992,1108.0
4840448,1100.0
4860928,1228.0
4880384,1158.0
4900864,1056.0
4920320,1154.0
4940800,1166.0
4960256,1194.0
4980736,1086.0
5000192,1162.0
