Step,Value
20480,7000.0
40960,6200.0
60416,6200.0
80896,7200.0
100352,5000.0
120832,3600.0
140288,3400.0
160768,4000.0
180224,3200.0
200704,2400.0
220160,4400.0
240640,3600.0
260096,4600.0
280576,5000.0
300032,3800.0
320512,1600.0
340992,5000.0
360448,3600.0
380928,3400.0
400384,7200.0
420864,4800.0
440320,3000.0
460800,9600.0
480256,4800.0
500736,2600.0
520192,2800.0
540672,7000.0
560128,4200.0
580608,5200.0
600064,2200.0
620544,2800.0
640000,9000.0
660480,6000.0
680960,2600.0
700416,5800.0
720896,6200.0
740352,3400.0
760832,3200.0
780288,4000.0
800768,4600.0
820224,7600.0
840704,8600.0
860160,3000.0
880640,3000.0
900096,5000.0
920576,10000.0
940032,6200.0
960512,8600.0
980992,10200.0
1000448,12000.0
1020928,8800.0
1040384,8000.0
1060864,10600.0
1080320,9200.0
1100800,10800.0
1120256,11800.0
1140736,12000.0
1160192,10200.0
1180672,8600.0
1200128,10800.0
1220608,8400.0
1240064,8800.0
1260544,11800.0
1280000,13000.0
1300480,12800.0
1320960,13800.0
1340416,16800.0
1360896,14400.0
1380352,11000.0
1400832,14200.0
1420288,16800.0
1440768,15800.0
1460224,17200.0
1480704,15800.0
1500160,16400.0
1520640,15000.0
1540096,20000.0
1560576,18800.0
1580032,16200.0
1600512,18800.0
1620992,19400.0
1640448,16400.0
1660928,19000.0
1680384,20000.0
1700864,18600.0
1720320,16200.0
1740800,16600.0
1760256,16800.0
1780736,14800.0
1800192,15600.0
1820672,14200.0
1840128,15000.0
1860608,11600.0
1880064,16000.0
1900544,17200.0
1920000,15400.0
1940480,16000.0
1960960,12600.0
1980416,15400.0
2000896,14800.0
2020352,19000.0
2040832,15000.0
2060288,16400.0
2080768,14600.0
2100224,14800.0
2120704,21800.0
2140160,12800.0
2160640,18200.0
2180096,20800.0
2200576,17000.0
2220032,18000.0
2240512,18400.0
2260992,19000.0
2280448,19000.0
2300928,19400.0
2320384,18600.0
2340864,17800.0
2360320,20600.0
2380800,14800.0
2400256,23600.0
2420736,18400.0
2440192,22800.0
2460672,22800.0
2480128,23800.0
2500608,22000.0
2520064,19400.0
2540544,23000.0
2560000,23200.0
2580480,19800.0
2600960,21800.0
2620416,20000.0
2640896,21000.0
2660352,22600.0
2680832,17800.0
2700288,20800.0
2720768,17400.0
2740224,19800.0
2760704,23800.0
2780160,20800.0
2800640,17800.0
2820096,22600.0
2840576,25000.0
2860032,23000.0
2880512,21800.0
2900992,19000.0
2920448,19000.0
2940928,18400.0
2960384,20000.0
2980864,21400.0
3000320,19400.0
3020800,18600.0
3040256,20000.0
3060736,23800.0
3080192,25400.0
3100672,19200.0
3120128,16400.0
3140608,16600.0
3160064,20400.0
3180544,15400.0
3200000,16000.0
3220480,18600.0
3240960,22600.0
3260416,20200.0
3280896,21400.0
3300352,19400.0
3320832,25600.0
3340288,20400.0
3360768,15000.0
3380224,20600.0
3400704,20800.0
3420160,18800.0
3440640,24600.0
3460096,17600.0
3480576,18400.0
3500032,19800.0
3520512,22400.0
3540992,19800.0
3560448,14000.0
3580928,20400.0
3600384,23200.0
3620864,18800.0
3640320,18000.0
3660800,24800.0
3680256,24000.0
3700736,20000.0
3720192,16400.0
3740672,16200.0
3760128,19000.0
3780608,18200.0
3800064,19200.0
3820544,23400.0
3840000,21600.0
3860480,23000.0
3880960,22000.0
3900416,20800.0
3920896,20400.0
3940352,23000.0
3960832,23000.0
3980288,19800.0
4000768,15600.0
4020224,15200.0
4040704,14400.0
4060160,16400.0
4080640,19400.0
4100096,16600.0
4120576,22600.0
4140032,14800.0
4160512,14400.0
4180992,16400.0
4200448,17200.0
4220928,17000.0
4240384,13000.0
4260864,15000.0
4280320,15000.0
4300800,15000.0
4320256,12800.0
4340736,14800.0
4360192,18000.0
4380672,12400.0
4400128,15400.0
4420608,18200.0
4440064,17800.0
4460544,17800.0
4480000,16200.0
4500480,17200.0
4520960,20400.0
4540416,15400.0
4560896,17200.0
4580352,20400.0
4600832,16200.0
4620288,17400.0
4640768,21800.0
4660224,15600.0
4680704,14200.0
4700160,13600.0
4720640,15800.0
4740096,16200.0
4760576,18800.0
4780032,14200.0
4800512,15600.0
4820992,16600.0
4840448,14600.0
4860928,14400.0
4880384,18600.0
4900864,19400.0
4920320,17400.0
4940800,16000.0
4960256,14800.0
4980736,13000.0
5000192,18000.0
