Step,Value
20480,-88.19999694824219
40960,-95.0
60416,-93.4000015258789
80896,-91.80000305175781
100352,-89.0
120832,-91.0
140288,-96.19999694824219
160768,-91.4000015258789
180224,-92.19999694824219
200704,-93.80000305175781
220160,-94.19999694824219
240640,-97.0
260096,-88.19999694824219
280576,-87.4000015258789
300032,-90.5999984741211
320512,-91.80000305175781
340992,-91.80000305175781
360448,-95.4000015258789
380928,-85.80000305175781
400384,-94.5999984741211
420864,-93.4000015258789
440320,-93.4000015258789
460800,-94.5999984741211
480256,-89.80000305175781
500736,-91.4000015258789
520192,-87.80000305175781
540672,-95.4000015258789
560128,-87.4000015258789
580608,-93.4000015258789
600064,-92.5999984741211
620544,-87.80000305175781
640000,-88.5999984741211
660480,-85.80000305175781
680960,-94.19999694824219
700416,-93.0
720896,-92.19999694824219
740352,-87.0
760832,-88.19999694824219
780288,-94.5999984741211
800768,-88.5999984741211
820224,-91.0
840704,-97.80000305175781
860160,-92.5999984741211
880640,-91.4000015258789
900096,-88.19999694824219
920576,-85.80000305175781
940032,-88.19999694824219
960512,-88.19999694824219
980992,-91.80000305175781
1000448,-85.4000015258789
1020928,-83.80000305175781
1040384,-88.5999984741211
1060864,-85.80000305175781
1080320,-83.4000015258789
1100800,-82.5999984741211
1120256,-84.5999984741211
1140736,-85.80000305175781
1160192,-81.0
1180672,-80.19999694824219
1200128,-86.5999984741211
1220608,-88.5999984741211
1240064,-87.80000305175781
1260544,-83.4000015258789
1280000,-89.80000305175781
1300480,-85.80000305175781
1320960,-82.5999984741211
1340416,-85.0
1360896,-87.4000015258789
1380352,-86.5999984741211
1400832,-87.4000015258789
1420288,-87.80000305175781
1440768,-89.0
1460224,-84.19999694824219
1480704,-83.4000015258789
1500160,-86.5999984741211
1520640,-84.80000305175781
1540096,-89.80000305175781
1560576,-83.80000305175781
1580032,-85.0
1600512,-91.0
1620992,-95.4000015258789
1640448,-88.5999984741211
1660928,-82.5999984741211
1680384,-81.0
1700864,-85.80000305175781
1720320,-85.80000305175781
1740800,-84.19999694824219
1760256,-87.0
1780736,-85.80000305175781
1800192,-87.80000305175781
1820672,-88.19999694824219
1840128,-79.4000015258789
1860608,-79.0
1880064,-92.19999694824219
1900544,-88.5999984741211
1920000,-86.19999694824219
1940480,-85.80000305175781
1960960,-83.4000015258789
1980416,-93.0
2000896,-91.4000015258789
2020352,-93.80000305175781
2040832,-80.19999694824219
2060288,-87.0
2080768,-76.19999694824219
2100224,-86.5999984741211
2120704,-87.0
2140160,-77.80000305175781
2160640,-84.5999984741211
2180096,-78.19999694824219
2200576,-85.80000305175781
2220032,-86.5999984741211
2240512,-84.19999694824219
2260992,-86.5999984741211
